sessionIndex,rep,H.period+t+i,UD.period.t+t.i+t.i,H.t+i+e,UD.t.i+i.e+i.e,H.i+e+five,UD.i.e+e.five+e.five,H.e+five+Shift.r,UD.e.five+five.Shift.r+five.Shift.r,H.five+Shift.r+o,UD.five.Shift.r+Shift.r.o+Shift.r.o,H.Shift.r+o+a,UD.Shift.r.o+o.a+o.a,H.o+a+n,UD.o.a+a.n+a.n,H.a+n+l,UD.a.n+n.l+n.l,H.n+l+Return
1,1,0.3729,0.4136,0.3655,1.2116,0.3732,2.642,0.363,3.19,0.32289999999999996,2.2552,0.34319999999999995,0.7777999999999999,0.3297,0.3838,0.3619,0.4889,0.3012
1,2,0.2713,0.3378,0.2431,1.2179000000000002,0.24260000000000004,1.8723,0.30879999999999996,2.4581,0.3325,1.4058000000000002,0.4048,0.8071,0.3624,0.326,0.3397,0.45589999999999997,0.2732
1,3,0.28800000000000003,0.20249999999999999,0.236,1.0880999999999998,0.2521,1.5632000000000001,0.3154,2.0652,0.3711,1.2618,0.44400000000000006,0.8018000000000001,0.41579999999999995,0.381,0.3878,0.40059999999999996,0.32020000000000004
1,4,0.33899999999999997,0.3658,0.29989999999999994,1.209,0.2853,2.2305,0.3267,2.7403,0.33230000000000004,1.8321,0.3867,0.6842,0.3279,0.2221,0.3168,0.4034,0.2524
1,5,0.30469999999999997,0.2535,0.26030000000000003,0.9291,0.245,1.6723,0.279,2.2426,0.2415,1.6147,0.2985,0.8204,0.26260000000000006,0.3448,0.3099,0.3517,0.2605
1,6,0.29510000000000003,0.2103,0.242,0.9663999999999999,0.2549,1.9131999999999998,0.3486,2.0499,0.3777,1.2122,0.41069999999999995,0.243,0.3284,0.20650000000000002,0.2922,0.4111,0.22410000000000002
1,7,0.273,0.2114,0.2455,0.8287,0.2444,1.8935,0.2592,2.0463,0.30360000000000004,1.3452,0.3499,0.2188,0.3333,0.127,0.29790000000000005,0.31310000000000004,0.2551
1,8,0.2494,0.2061,0.2341,0.6851,0.28959999999999997,1.6794,0.3208,1.8254,0.3335,1.2832,0.3284,0.2047,0.30460000000000004,0.1273,0.3149,0.2794,0.2506
1,9,0.25760000000000005,0.19419999999999998,0.2365,0.7713,0.2394,1.5794000000000001,0.2582,1.6438,0.29410000000000003,0.9982,0.34030000000000005,0.1517,0.3163,0.1638,0.2931,0.3478,0.2303
1,10,0.259,0.1915,0.23099999999999998,0.7938,0.2405,1.4451,0.27949999999999997,1.5937,0.3101,0.9865999999999999,0.3738,0.2326,0.3789,0.1439,0.3874,0.2756,0.3277
1,11,0.2602,0.2004,0.24069999999999997,0.7466,0.23550000000000001,1.4093,0.2794,1.5425,0.305,0.9988,0.3908,0.1497,0.3496,0.2814,0.3475,0.3986,0.2585
1,12,0.24659999999999999,0.1966,0.2387,0.9675,0.2276,1.5755000000000001,0.2738,1.8328,0.3009,1.0967,0.3761,0.42219999999999996,0.3326,0.2432,0.2965,0.3327,0.22790000000000002
1,13,0.2811,0.17049999999999998,0.2405,0.7519,0.2556,1.6816,0.29159999999999997,1.8580999999999999,0.3372,1.3064,0.3725,0.3297,0.35100000000000003,0.3139,0.3439,0.42510000000000003,0.2524
1,14,0.255,0.28400000000000003,0.2262,1.0422,0.2344,1.6061,0.2901,1.7858,0.3247,1.2684000000000002,0.36429999999999996,0.6533,0.2978,0.6071,0.3205,0.5396000000000001,0.224
1,15,0.28,0.2773,0.2597,1.3915000000000002,0.2684,2.2948,0.3083,2.7633,0.34340000000000004,1.5892999999999997,0.4042,0.5699,0.362,0.1647,0.333,1.1132,0.3197
1,16,0.3076,0.1918,0.25449999999999995,0.6679,0.2415,1.3475000000000001,0.2825,1.3311,0.329,0.8523000000000001,0.38470000000000004,0.144,0.3316,0.1905,0.3054,0.3064,0.23470000000000002
1,17,0.25680000000000003,0.2077,0.2389,0.8837999999999999,0.2756,1.5562,0.315,1.7457,0.33130000000000004,1.0444,0.3794,0.26239999999999997,0.3554,0.1117,0.3607,0.1918,0.2738
1,18,0.2735,0.20240000000000002,0.2505,0.8199000000000001,0.2442,1.3818000000000001,0.2854,1.6653,0.272,1.0695999999999999,0.3264,0.3902,0.2726,0.1524,0.32030000000000003,0.2414,0.2751
1,19,0.2933,0.29869999999999997,0.25739999999999996,0.8893,0.2669,1.2553,0.2764,1.3609,0.2506,0.8243,0.2474,0.27749999999999997,0.2622,0.21989999999999998,0.29569999999999996,0.6268999999999999,0.2931
1,20,0.2548,0.21949999999999997,0.2265,0.6837,0.2455,1.2561,0.2764,1.3236999999999999,0.31,0.9058,0.3079,0.48750000000000004,0.30310000000000004,0.9461,0.32499999999999996,1.0008,0.3136
1,21,0.2651,0.1873,0.23819999999999997,0.7933,0.24530000000000002,1.1972,0.2598,1.2809000000000001,0.2097,0.9171,0.2561,0.4592,0.2421,0.4277,0.3078,0.3079,0.2558
