x,y,z,timestamp
-2.1978772,3.5673606,8.954314,1268
-2.1667526,3.6056678,9.14585,6273
-2.1667526,3.6415808,9.375694,11248
-2.1883004,3.6750996,9.888053,16252
-2.2170308,3.7301662,10.563218,21257
-2.2098482,3.787627,10.840945,26262
-2.231396,3.799598,11.106702,31267
-2.2098482,3.7612908,11.372458,36272
-2.1619642,3.7110126,11.449073,41246
-2.0350714,3.6535518,11.492168,46251
-1.9153614,3.6152446,11.575965,51256
-1.8243817,3.5936968,11.657368,56261
-1.7262194,3.6152446,11.686098,61266
-1.6472107,3.620033,11.506534,66271
-1.661576,3.6176388,11.319786,71245
-1.6448165,3.550601,10.891224,76250
-1.5658079,3.4979286,10.484209,81255
-1.5562311,3.466804,10.146626,86260
-1.5562311,3.4452562,9.809045,91265
-1.5131354,3.4763808,9.370906,96269
-1.5155296,3.6056678,8.810662,101244
-1.5179238,3.6703112,8.429984,106249
-1.4437037,3.5817258,7.7931266,111254
-1.6807296,3.7612908,7.517793,116259
-2.018312,3.9384618,7.2927384,121264
-2.468422,4.220978,7.132327,126268
-2.8060043,4.4196963,7.165846,131273
-3.0382419,4.570531,7.350199,136248
-3.110068,4.5753193,7.311892,141252
-3.0885203,4.525041,7.311892,146257
-2.885013,4.4723687,7.383718,151262
-2.7629087,4.4580035,7.639898,156267
-2.6240451,4.525041,7.9870567,161272
-2.4349031,4.5633483,8.252813,166246
-2.360683,4.7668557,8.346188,171251
-2.2337902,4.9583917,8.212111,176256
-2.1428106,5.0517654,8.394072,181261
-1.99437,5.130774,8.449138,186266
-1.8986019,5.21936,8.432379,191271
-1.8650831,5.281609,8.236053,196245
-1.9656396,5.4563856,7.8769236,201250
-2.147599,5.628768,7.627927,206255
-2.3558946,5.805939,7.2113357,211260
-2.6431987,5.973533,6.9288197,216265
-2.9161377,6.0357823,6.7085533,221270
-3.229778,6.009446,5.997475,226244
-3.4859576,5.9639564,5.449203,231249
-3.7469256,5.9639564,4.9536033,236254
-4.0414124,6.0525417,4.757279,241259
-4.321534,6.232107,4.6782703,246264
-4.630386,6.3182983,4.9583917,251268
-4.8147397,6.279991,5.391742,256273
-4.8458643,6.10282,5.7484784,261248
-4.8506527,5.913678,6.2368956,266252
-4.831499,5.7867856,6.715736,271257
-4.7429137,5.717354,7.0605006,276262
-4.673482,5.7029886,6.955156,281267
-4.618415,5.74369,6.4978633,286272
-4.6279917,5.805939,5.9902925,291246
-4.7405195,5.8801594,5.729325,296251
-4.8817773,6.019023,5.6790466,301256
-4.999093,6.136339,5.518635,306261
-5.032612,6.1387334,5.494693,311266
-5.104438,6.05733,5.559336,316271
-5.221754,5.9687448,5.6982,321245
-5.3438582,5.9184666,5.734113,326250
-5.4683566,5.9184666,5.626374,331255
-5.554548,5.9639564,5.6670756,336260
-5.391742,5.9926867,4.5274353,341265
-5.499481,6.2009826,3.0430303,346269
-5.758055,6.4523735,2.9137435,351244
-5.554548,6.349423,4.158728,356249
-5.556942,6.169858,4.606444,361254
-5.645528,6.184223,4.5657425,366259
-5.602432,6.279991,4.6112323,371264
-5.4324436,6.315904,4.9200845,376268
-5.1547165,6.279991,5.2528787,381273
-5.0134583,6.2512608,5.434838,386248
-5.0062757,6.3182983,5.60722,391252
-5.104438,6.4380083,5.7963624,396257
-5.267244,6.567295,5.93762,401262
-5.3678,6.6271505,5.8203044,406267
-5.4539914,6.588843,5.7005944,411272
-5.506664,6.4763155,5.568913,416246
-5.5497594,6.397307,5.475539,421251
-5.523423,6.327875,5.3582234,426256
-5.485116,6.2728086,5.159505,431261
-5.497087,6.2943563,5.12838,436266
-5.461174,6.325481,5.398925,441211
-5.3558292,6.375759,5.837064,446186
-5.12838,6.4068837,6.2129536,451191
-4.8578353,6.3685765,6.3949127,456196
-4.673482,6.301539,6.4284315,461200
-4.548983,6.2249246,6.3949127,466205
-4.450821,6.1650696,6.2345014,471210
-4.390966,6.0836663,5.9567738,476185
-4.285621,6.033388,5.482722,481189
-4.201824,6.0357823,5.068525,486194
-4.146757,6.078878,4.7141833,491199
-4.098873,6.169858,4.441244,496204
-4.0462008,6.303933,4.259285,501209
-3.892972,6.4044895,4.0581717,506214
-3.7181952,6.4882865,3.9504328,511188
-3.6032736,6.540959,3.845088,516193
-3.5458126,6.4978633,3.8379054,521198
-3.5434184,6.4763155,3.8833952,526203
-3.5482068,6.4763155,3.9432502,531208
-3.608062,6.43322,4.1491513,536213
-3.5984852,6.4020953,4.4005427,541187
-3.5218706,6.3542113,4.699818,546192
-3.4237084,6.3111157,4.9823337,551197
-3.2585084,6.2392898,5.255273,556202
-2.9855695,6.1004257,5.4779334,561207
-2.7150247,5.973533,5.6120086,566211
-2.516306,5.8634,5.765238,571186
-2.2649148,5.7604494,6.0166287,576191
-2.0829554,5.686229,6.339846,581196
-1.8363527,5.5617304,6.730101,586200
-1.6831238,5.410896,6.849811,591205
-1.6400281,5.207389,6.8186865,596210
-1.7118542,5.044583,6.8282633,601185
-1.8339585,4.912902,6.9048777,606189
-2.1308396,4.733337,7.086837,611194
-2.3678656,4.6040497,7.302315,616199
-2.5785553,4.4244847,7.52737,621204
-2.731784,4.24492,7.7093296,626209
-2.8203697,4.0653543,7.845799,631214
-2.8419175,3.7469256,7.9966335,636188
-2.789245,3.4261026,8.152257,641193
-2.6001031,3.1268275,8.391677,646198
-2.408567,2.789245,8.6574335,651203
-2.360683,2.4971523,8.937555,656208
-2.384625,2.1284454,9.198523,661213
-2.5354595,1.9297266,9.368511,666187
-2.7724855,1.7884687,9.543288,671192
-3.0430303,1.7429788,9.80665,676197
-3.3423057,1.7525556,10.110714,681202
-3.6727054,1.8195933,10.376471,686207
-3.8953662,1.8986019,10.517728,691211
-4.074931,1.9967642,10.654198,696186
-4.185065,2.0685902,10.802638,701191
-4.2425256,2.111686,11.020511,706196
-4.522647,1.9536686,11.010934,711200
-4.8099513,2.0685902,10.915166,716205
-4.9176903,2.3223755,11.228806,721210
-4.855441,2.4947581,11.489774,726185
-4.462792,2.5330653,11.841722,731189
-3.7134068,2.5139117,12.186486,736194
-3.107674,2.4971523,12.325351,741199
-2.6120741,2.492364,12.366052,746204
-2.2337902,2.4947581,12.378023,751209
-1.9752164,2.4827871,12.706028,756214
-1.5873557,2.2098482,15.763424,761188
-1.3718776,2.303222,14.923059,766193
-2.111686,2.4301147,14.202404,771198
-2.4253263,2.9759927,12.653356,776203
-2.621651,3.4165258,11.137826,781208
-2.8107927,3.5625722,10.093954,786213
-2.9137435,3.4213142,9.198523,791187
-2.846706,3.3662477,8.736442,796192
-2.755726,3.3686419,8.3629465,801197
-2.741361,3.2992098,7.9511437,806202
-2.6527755,3.2225955,7.6710224,811206
-2.6527755,3.0885203,7.4627266,816211
-2.719813,3.004723,7.419631,821186
-2.825158,2.896984,7.5680714,826191
-2.8682537,2.822764,7.8146744,831196
-2.8395233,2.791639,8.085219,836200
-2.741361,2.815581,8.384495,841205
-2.6551697,2.8275523,8.616732,846210
-2.5833437,2.837129,8.7292595,851185
-2.5785553,2.8323407,8.7771435,856189
-2.669535,2.7700913,8.815451,861194
