x,y,z,timestamp
-2.5761611,3.58412,10.223241,3482
-2.5474305,3.6152446,9.9790325,8486
-2.492364,3.6415808,9.746795,13491
-2.4277205,3.6966474,9.504981,18496
-2.3822308,3.7588966,9.325416,23501
-2.4037786,3.8187518,9.186552,28506
-2.4301147,3.8474822,9.181764,33480
-2.4420857,3.857059,9.176975,38485
-2.4899697,3.8786068,9.279925,43490
-2.4756045,3.8786068,9.332599,48495
-2.4875755,3.8355112,9.244013,53500
-2.456451,3.8259344,9.102755,58505
-2.4636335,3.8522706,9.006987,63479
-2.4899697,3.8786068,8.908825,68484
-2.5474305,3.9336734,8.784326,73489
-2.6503813,4.0078936,8.949526,78494
-2.7246015,4.0533834,9.25359,83499
-2.7269957,4.060566,9.387665,88504
-2.765303,4.036624,9.457097,93478
-2.834735,4.039018,9.476251,98483
-2.861071,4.0438066,9.44752,103488
-2.8538885,4.060566,9.3421755,108493
-2.920926,4.096479,9.176975,113497
-3.0238767,4.1276035,9.174581,118502
-3.1364043,4.144363,9.105149,123507
-3.2632968,4.098873,8.896853,128482
-3.3518825,4.0581717,8.578424,133486
-3.3638535,4.0438066,8.286332,138491
-3.3327289,4.074931,7.8865004,143496
-3.359065,4.1132383,7.429208,148501
-3.5458126,4.1802764,7.1993647,153506
-3.6535518,4.2305546,7.0245876,158480
-3.7134068,4.280833,6.9288197,163485
-3.6367924,4.5274353,7.019799,168490
-3.58412,4.450821,6.766014,173495
-3.5003228,4.345476,6.2728086,178500
-3.3686419,4.4125137,7.1251445,183505
-3.335123,4.560954,7.431602,188479
-3.4739866,4.76925,7.501034,193484
-3.632004,4.996699,7.5584946,198489
-3.7780502,5.2265425,7.7308774,203494
-3.4955344,5.755661,7.716512,208499
-3.7349546,5.8945246,7.079654,213504
-4.321534,5.662287,6.885724,218478
-4.546589,5.434838,6.8162923,223483
-4.477157,5.1020436,6.4188547,228488
-4.4125137,4.8123455,6.0238113,233493
-4.51307,4.793192,5.9280434,238497
-4.6375685,4.783615,5.8226986,243502
-4.656722,4.6782703,5.872977,248507
-4.450821,4.522647,6.1004257,253481
-4.1371803,4.5082817,6.303933,258486
-3.8738184,4.685453,6.301539,263491
-3.6703112,4.783615,6.1650696,268496
-3.4955344,4.8626237,6.033388,273501
-3.3782187,4.8865657,5.8945246,278506
-3.359065,4.8865657,5.741296,283480
-3.3925838,4.9200845,5.6215854,288485
-3.4739866,4.912902,5.437232,293490
-3.5745432,4.936844,5.2385135,298495
-3.6583402,4.9224787,5.073313,303500
-3.763685,4.8841715,4.8841715,308505
-3.845088,4.891354,4.7764325,313479
-3.8594532,4.8458643,4.76925,318484
-3.7972038,4.831499,4.841076,323489
-3.7014358,4.795586,5.0637364,328494
-3.5649664,4.7381253,5.5042696,333499
-3.4117374,4.608838,5.995081,338504
-3.289633,4.453215,6.612785,343478
-3.1890767,4.297592,7.323863,348483
-3.1196449,4.0797195,8.09719,353488
-3.1483753,3.9384618,9.02614,358493
-3.1627405,3.7349546,9.677363,363497
-3.1244333,3.608062,10.192117,368502
-3.0789435,3.53863,10.560823,373507
-3.016694,3.478775,10.783484,378482
-2.9281087,3.4739866,10.876859,383486
-2.8898015,3.5290532,10.900801,388491
-2.861071,3.5889084,10.8385515,393496
-2.870648,3.6296098,10.46745,398501
-2.8419175,3.7062242,10.201694,403506
-2.8395233,3.7900212,9.919178,408480
-2.8323407,3.8786068,9.533711,413485
-2.837129,3.9025488,9.3421755,418490
-2.834735,3.881001,9.143456,423495
-2.8419175,3.8187518,8.971074,428500
-2.846706,3.7588966,8.851364,433505
-2.885013,3.691859,8.717288,438479
-2.944868,3.6535518,8.698134,443484
-3.040636,3.6104562,8.7532015,448489
-3.1723173,3.5434184,8.966286,453494
-3.2752678,3.5122938,9.234436,458499
-3.3662477,3.454833,9.653421,463504
-3.3997664,3.3973722,10.041282,468478
-3.4476504,3.2752678,10.359711,473483
-3.4739866,3.1962593,10.5680065,478488
-3.4045548,3.1292217,10.656591,483493
-3.2848446,3.1435869,10.553641,488497
-3.1842883,3.1890767,10.378864,493502
-3.0789435,3.2561142,10.127473,498507
-2.9712043,3.3638535,9.864111,503481
-2.8874073,3.4356794,9.950302,508486
-2.6312277,3.371036,11.626244,513491
-2.3870192,3.5649664,10.326192,518496
-2.5929205,3.691859,9.698911,523501
-2.6767175,3.7828386,8.901642,528506
-2.6288335,3.9384618,8.14268,533480
-2.456451,4.0581717,7.855376,538485
-2.2122424,3.9983168,7.9008656,543490
-1.99437,3.86903,7.920019,548495
-1.8650831,3.7493198,7.788338,553500
-1.769315,3.70383,7.6494746,558505
-1.721431,3.679888,7.6015906,563479
-1.8243817,3.6990416,7.6734166,568484
-2.0254946,3.6990416,7.7548194,573489
-2.2266076,3.6487634,7.8984714,578494
-2.3223755,3.5936968,8.11395,583499
-2.4277205,3.5697548,8.401254,588504
-2.5115175,3.5865142,8.578424,593478
-2.5929205,3.6008794,8.734048,598483
-2.6982653,3.5817258,8.856153,603488
-2.825158,3.5529952,9.009381,608493
-2.9400797,3.5051112,9.095572,613497
-2.980781,3.4500446,9.124303,618502
