x,y,z,timestamp
-2.2505496,3.2225955,9.55047,2798
-2.2385786,3.2202013,9.457097,7803
-2.231396,3.229778,9.40203,12808
-2.1859062,3.2585084,9.375694,17813
-2.1691468,3.2704794,9.399636,22818
-2.1667526,3.2872388,9.399636,27792
-2.1452048,3.2824504,9.399636,32797
-2.1404164,3.2800562,9.354146,37802
-2.1068976,3.2680852,9.306262,42806
-2.1045034,3.277662,9.251195,47811
-2.1284454,3.2968156,9.23683,52816
-2.1499932,3.2800562,9.150639,57791
-2.1068976,3.2824504,9.102755,62795
-2.0638018,3.2800562,9.059659,67800
-2.0446482,3.2920272,9.030929,72805
-2.0326772,3.289633,9.002198,77810
-2.0398598,3.2968156,8.899248,82815
-2.0709844,3.3159695,8.808268,87789
-2.123657,3.3159695,8.731653,92794
-2.2242134,3.2920272,8.738836,97799
-2.3223755,3.2824504,8.781932,102804
-2.4516625,3.2632968,8.860941,107809
-2.4899697,3.2202013,8.916007,112814
-2.5210943,3.1675289,8.956709,117788
-2.5450363,3.1244333,8.956709,122793
-2.5330653,3.1148565,8.930372,127798
-2.528277,3.1268275,8.911219,132803
-2.4947581,3.1411927,8.913613,137808
-2.5306711,3.1651347,8.9279785,142813
-2.585738,3.1627405,8.971074,147818
-2.6431987,3.169923,9.045294,152792
-2.7126305,3.1723173,9.102755,157797
-2.7748797,3.1675289,9.167398,162802
-2.7700913,3.1555579,9.212888,167806
-2.753332,3.1435869,9.210494,172811
-2.7605145,3.1268275,9.19134,177816
-2.72939,3.1028855,9.160215,182791
-2.7246015,3.1292217,9.050082,187795
-2.7341783,3.1507695,8.992621,192800
-2.7700913,3.2010477,9.030929,197805
-2.834735,3.2273839,9.0429,202810
-2.896984,3.2393548,8.971074,207815
-2.9975405,3.2130187,8.872911,212789
-3.0238767,3.1866825,8.813056,217794
-3.0454245,3.145981,8.738836,222799
-3.0430303,3.1675289,8.698134,227804
-3.016694,3.2130187,8.767567,232809
-2.870648,3.265691,8.647857,237814
-2.954445,3.3423057,8.468291,242788
-3.052607,3.3997664,8.221688,247793
-3.0789435,3.406949,7.965509,252798
-3.0071173,3.406949,7.8050976,257803
-2.7724855,3.3758245,7.711724,262808
-2.5570073,3.3494883,7.716512,267813
-2.4013844,3.3614593,7.740454,272818
-2.3247697,3.41892,7.7548194,277792
-2.2960393,3.5122938,7.750031,282797
-2.231396,3.5529952,7.800309,287802
-2.171541,3.5314474,7.869741,292806
