x,y,z,timestamp
-2.4133554,3.2585084,13.426683,448
-2.3870192,3.1603463,13.503298,5453
-2.3798366,3.0885203,13.508086,10458
-2.4396915,3.0789435,13.448231,15463
-2.552219,3.074155,13.359646,20468
-2.5617957,3.0669725,13.005303,25442
-2.5258827,3.0334535,12.406754,30447
-2.4372973,3.0142999,11.599907,35452
-2.348712,2.9831753,10.714052,40457
-2.2816741,3.040636,9.871294,45462
-2.1547816,3.1411927,8.683769,50467
-2.0374656,3.2872388,7.6973586,55441
-1.9177556,3.550601,6.739678,60446
-1.8387469,3.8139634,5.861006,65451
-1.9488802,4.0414124,5.1355624,70455
-2.0015526,4.4340615,4.8147397,75460
-2.0350714,4.6950297,4.7740383,80465
-2.0159178,4.8722005,4.8219223,85470
-1.8148049,5.035006,4.960786,90444
-1.6065093,5.1930237,5.29358,95449
-1.541866,5.3701944,6.588843,100454
-1.4341269,5.41329,7.620744,105459
-1.5586253,5.317522,8.418014,110464
-1.7381904,5.1642933,9.25359,115469
-1.7669208,5.032612,10.005369,120443
-1.7908629,4.948815,10.575189,125448
-1.7860745,4.9176903,10.620679,130453
-1.7812861,4.9224787,10.469844,135458
-1.8148049,4.951209,10.21127,140463
-1.8555063,4.9679685,9.921572,145468
-1.8962077,5.0158525,9.315839,150442
-2.0111294,5.058948,8.674192,155447
-2.1667526,5.0900726,8.11395,160452
-2.2577322,5.092467,7.4962454,165457
-2.3918076,5.0637364,6.7947445,170462
-2.6839,5.0374002,6.155493,175467
-3.0190883,5.080496,5.9519854,180441
-3.2489316,5.142745,5.710171,185446
-3.4093432,5.2648497,5.3247046,190451
-3.5170822,5.377377,4.999093,195456
-3.5314474,5.5377884,4.6591167,200460
-3.5098996,5.6407394,4.5298295,205465
-3.5075054,5.7029886,4.6040497,210470
-3.4739866,5.6982,4.7620673,215444
-3.4261026,5.6790466,4.8362875,220449
-3.1651347,5.595249,4.1659107,225454
-3.454833,5.755661,4.5633483,230459
-3.763685,5.755661,5.422867,235464
-3.775656,5.60722,6.0860605,240469
-3.691859,5.518635,6.325481,245443
-3.5793316,5.473145,6.4427967,250448
-3.5003228,5.5042696,6.655881,255453
-3.5553896,5.681441,6.8522053,260458
-3.490746,5.841852,6.9383965,265463
-3.1555579,5.8681884,6.9024835,270468
-2.719813,5.767632,6.6750345,275442
-2.3582888,5.590461,6.256049,280447
-2.3463178,5.5377884,6.0381765,285452
-2.44448,5.5282116,5.849035,290457
-2.5713725,5.5856724,5.6359506,295462
