x,y,z,timestamp
-4.6040497,2.3870192,11.149797,822
-4.63278,2.3319526,11.039664,5826
-4.5801077,2.2529438,10.989386,10831
-4.4939165,2.1188686,10.884041,15836
-4.378995,1.9895816,10.9582615,20811
-4.158728,1.9632454,10.953473,25815
-3.9097314,1.9680338,10.828975,30820
-3.4859576,2.0709844,10.3932295,35825
-3.145981,2.135628,10.038888,40830
-2.9352913,2.1499932,9.696517,45835
-3.2752678,1.7932571,9.224859,50809
-2.8993783,1.946486,8.559271,55814
-2.3056161,2.2409728,7.61835,60819
-1.7908629,2.5881321,7.0341644,65824
-1.2785037,2.9352913,6.6486983,70829
-0.39025488,2.9616275,6.646304,75834
-0.059855044,3.2345665,6.6391215,80808
0.055066638,3.5649664,6.682217,85813
0.19632454,3.7828386,6.8569937,90818
0.20350714,4.003105,7.1107793,95823
0.3184288,3.9576154,7.2544312,100828
-0.031124622,4.63278,7.73806,105832
-1.5897499,5.801151,8.243237,110807
-3.0813377,6.26802,8.271967,115812
-4.0677485,6.2847795,8.221688,120817
-4.3646297,5.9304376,8.197746,125822
-4.1156325,5.5401826,8.109161,130826
-3.6966474,5.365406,7.93199,135831
-3.5362358,5.3486466,7.8625584,140836
-3.727772,5.243302,8.104373,145811
-3.9624038,5.118803,8.312668,150815
-4.000711,5.1140146,8.334216,155820
-3.9815574,5.1116204,8.085219,160825
-4.010288,4.9655743,7.57286,165830
-4.367024,4.8745947,7.0245876,170835
-5.0302176,4.8219223,6.5625067,175809
-5.592855,4.76925,6.1650696,180814
-6.0285997,4.7524905,5.90889,185819
-6.1530986,4.9464207,5.4324436,190824
-6.1387334,5.171476,5.21936,195829
-6.114791,5.3941364,5.1547165,200834
-5.9400144,5.554548,5.0757074,205808
-5.6982,5.6120086,5.0062757,210813
-5.4922986,5.568913,4.8626237,215818
-5.3366756,5.499481,4.8099513,220823
-5.118803,5.473145,4.951209,225828
-4.951209,5.580884,5.2600613,230832
-4.8841715,5.765238,5.494693,235807
-4.9559975,5.851429,5.628768,240812
-5.1762643,5.923255,5.556942,245817
-5.4659624,5.98311,5.463568,250821
-5.542577,5.5138464,5.707777,255826
-5.6766524,5.2480903,5.899313,260831
-5.805939,5.2002063,5.959168,265836
-5.949591,4.9679685,6.117185,270811
-6.14831,4.817134,6.126762,275815
-6.0956373,4.781221,6.0836663,280820
