x,y,z,timestamp
-3.4691982,2.8395233,10.134656,3917
-3.5003228,2.873042,10.184934,8922
-3.5242648,2.8754363,10.055647,13927
-3.490746,2.9400797,10.01734,18932
-3.4620156,2.9520507,9.995792,23937
-3.4476504,2.9257145,10.038888,28942
-3.5290532,2.8921957,10.172963,33916
-3.7852328,2.9640217,10.216059,38921
-3.7541082,2.834735,10.168175,43926
-3.6272156,2.7150247,10.149021,48931
-3.5649664,2.6503813,10.139444,53936
-3.5673606,2.6551697,10.04607,58941
-3.6463692,2.7126305,9.938332,63915
-3.821146,2.777274,9.900024,68920
-3.8977604,2.822764,9.880871,73925
-3.9791632,2.873042,9.878476,78930
-3.9791632,2.8874073,9.739613,83935
-3.8881836,2.9113493,9.526528,88939
-3.6056678,2.9113493,9.260772,93944
-3.323152,2.966416,9.131485,98919
-3.0573955,3.0382419,9.038112,103924
-2.8275523,3.169923,8.932767,108928
-2.56419,3.323152,8.774749,113933
-2.111686,3.3183637,8.171411,118938
-2.1188686,3.394978,7.8888946,123943
-2.3104045,3.4356794,7.7428484,128917
-2.5091233,3.5529952,7.714118,133922
-2.5953147,3.6056678,7.6231384,138927
-2.5210943,3.6128504,7.4507556,143932
-2.3918076,3.5936968,7.1586633,148937
-2.2146366,3.6056678,6.931214,153942
-2.0685902,3.643975,6.7731967,158916
-2.0614076,3.7205894,6.7468605,163921
-2.3319526,3.9959226,6.825869,168926
-2.6910827,4.3143516,6.993463,173931
-3.1675289,4.7189717,7.3286514,178936
-3.6535518,5.1810527,8.075643,183941
-4.2784386,5.2528787,8.343793,188915
-4.9536033,5.085284,8.415619,193920
-5.221754,4.9536033,8.604761,198925
-5.233725,4.819528,8.63828,203930
-5.1810527,4.6495395,8.561666,208935
-5.1259856,4.4675803,8.257602,213940
-5.0493712,4.39336,7.687782,218944
-4.9703627,4.51307,7.2831616,223919
-4.84347,4.675876,6.907272,228924
-4.735731,4.8506527,6.5505357,233928
-4.6279917,4.996699,6.3350577,238933
-4.5034933,5.1571107,6.3925185,243938
-4.39336,5.29358,6.6175733,248943
-4.268862,5.3965306,6.9743094,253917
-4.0821137,5.4061074,7.261614,258922
-3.9911342,5.363012,7.3669586,263927
-3.9480386,5.351041,7.16824,268932
-3.98874,5.4180784,6.7971387,273937
-3.9935284,5.439626,6.3901243,278942
-3.7900212,5.305551,5.949591,283916
-4.1132383,5.5258174,5.6646814,288921
-4.6016555,5.755661,5.401319,293926
-4.6279917,5.626374,5.1235914,298931
-4.6686935,5.353435,4.9583917,303936
-5.142745,5.41329,4.9679685,308941
-5.533,5.3127337,4.829105,313915
-5.3941364,4.975151,4.441244,318920
-5.753267,5.3007627,3.0597897,323925
-6.7133417,5.41329,3.4165258,328930
-7.4746976,5.4899044,4.331111,333935
-7.905654,5.707777,4.687847,338939
-7.8865004,5.765238,4.7165775,343944
-7.469909,5.530606,4.7309427,348919
-7.120356,5.29358,4.8722005,353924
-6.895301,5.097255,5.2002063,358928
-6.742072,4.9775453,5.60722,363933
-6.5361705,4.999093,5.9448028,368938
-6.203377,5.1020436,6.157887,373943
-5.861006,5.2026005,6.217742,378917
-5.5377884,5.3318872,6.229713,383922
-5.233725,5.4300494,6.244078,388927
-5.0613422,5.5282116,6.1866174,393932
-4.960786,5.604826,5.9807158,398937
-4.8937483,5.626374,5.731719,403942
-4.84347,5.638345,5.4204726,408916
-4.8147397,5.647922,5.092467,413921
-4.781221,5.6646814,4.7979803,418926
-4.7740383,5.7029886,4.4723687,423931
-4.745308,5.7245364,4.237737,428936
-4.6902413,5.7149596,3.9983168,433941
-4.618415,5.671864,3.8139634,438915
-4.6495395,5.5401826,3.6583402,443920
-4.711789,5.523423,3.9935284,448925
-4.855441,5.439626,4.711789,453930
-4.9536033,5.317522,5.2145715,458934
-5.097255,5.281609,5.9160724,463939
-5.245696,5.21936,6.469133,468944
-5.33907,5.130774,6.801927,473919
-5.3941364,5.035006,7.1466923,478924
-5.425261,4.9416323,7.599196,483928
-5.499481,4.8985367,8.008605,488933
-5.475539,4.8147397,8.183381,493938
-5.2026005,4.6950297,8.123527,498943
-4.939238,4.572925,8.054094,503917
-4.5537715,4.31914,7.9511437,508922
-4.173094,4.0677485,7.943961,513927
-3.8043866,3.8642416,8.154651,518932
-3.4835634,3.6990416,8.559271,523937
-3.2968156,3.5410242,8.808268,528942
-3.1292217,3.4524388,8.901642,533916
-3.0597897,3.430891,8.9758625,538921
-3.5482068,3.9121256,8.935161,543926
-3.3039982,3.7493198,8.724471,548931
-2.669535,3.3255463,8.480263,553936
-2.2098482,3.0023289,8.4826565,558941
-1.9177556,2.753332,8.252813,563915
-1.8626889,2.6743233,8.032547,568920
-2.123657,2.7724855,7.836222,573925
-2.789245,3.0573955,7.7069354,578930
-3.2800562,3.2704794,7.797915,583935
-3.5793316,3.335123,7.929596,588939
-3.7181952,3.3207579,7.9942393,593944
-3.8666358,3.2465374,7.989451,598919
-3.9863458,3.2249897,8.058883,603924
-4.096479,3.2249897,8.008605,608928
