x,y,z,timestamp
-2.5761611,2.873042,11.288661,3154
-2.633622,2.8514943,11.101913,8159
-2.6120741,2.8323407,10.951078,13163
-2.5929205,2.8299465,10.771513,18168
-2.6288335,2.885013,10.718841,23143
-2.6791117,2.966416,10.656591,28147
-2.813187,2.9496565,10.603919,33152
-2.789245,2.920926,10.474632,38157
-2.6910827,2.9137435,10.263943,43162
-2.4396915,2.9017725,9.976639,48167
-2.123657,2.9783869,9.569624,53141
-1.8770541,3.1651347,9.102755,58146
-1.8267759,3.3566709,9.083601,63151
-2.3008277,3.1986535,9.174581,68156
-2.3798366,3.4261026,9.179369,73161
-2.3223755,3.6415808,9.260772,78166
-2.1859062,3.8786068,9.40203,83171
-1.9632454,3.892972,9.423578,88145
-1.7597382,3.809175,9.308656,93150
-1.6376339,3.6990416,8.930372,98155
-1.6759412,3.6607344,8.590396,103160
-1.8459295,3.6822822,8.221688,108164
-1.9033904,3.7852328,7.884106,113169
-1.4915876,3.3806129,7.603985,118144
-1.1683705,3.323152,7.6015906,123149
-1.388637,4.1180267,7.3549876,128154
-2.5785553,5.1786585,6.531382,133159
-3.4237084,5.8921304,6.0621185,138163
-3.643975,6.349423,5.542577,143168
-3.454833,6.5241995,5.279215,148143
-2.8060043,6.567295,5.78918,153147
-2.7629087,5.9783216,4.8817773,158152
-2.932897,5.631162,5.5377884,163157
-3.0813377,5.6000376,6.3206925,168162
-3.0023289,5.731719,6.1387334,173167
-3.052607,5.865794,6.265626,178141
-3.1124623,5.793968,6.7851677,183146
-3.098097,5.602432,7.055712,188151
-3.074155,5.425261,7.1251445,193156
-3.1052797,5.33907,7.201759,198161
-3.095703,5.3199162,7.067683,203166
-3.1771057,5.425261,6.679823,208171
-3.2609026,5.521029,6.3901243,213145
-3.3399115,5.544971,6.0621185,218150
-3.2632968,5.5521536,5.3606176,223155
-3.0765493,5.93762,2.540248,228160
-4.0773253,6.3949127,2.0638018,233164
-4.3382936,5.877765,4.8243165,238169
-4.4460325,5.8322754,5.255273,243144
-4.5178585,5.9878983,5.509058,248149
-4.6279917,6.0238113,5.825093,253154
-4.757279,5.8705826,5.920861,258159
-4.9416323,5.571307,6.184223,263163
-5.020641,5.45878,6.528988,268168
-5.080496,5.533,6.8450227,273143
-5.1475334,5.6790466,7.098808,278147
-5.00867,5.719748,7.1227503,283152
-4.618415,5.6551046,6.7923503,288157
-4.333505,5.556942,6.2608376,293162
-4.2042184,5.568913,5.6910176,298167
-4.2042184,5.631162,5.094861,303141
-4.2880154,5.695806,4.4939165,308146
-4.4101195,5.7365074,3.8426938,313151
-4.450821,5.753267,3.5338416,318156
-4.3957543,5.791574,3.4117374,323161
-4.0916905,5.7508726,3.3255463,328166
-3.5984852,5.66947,3.2609026,333171
-3.1244333,5.662287,3.4332852,338145
-2.8419175,5.647922,3.7684734,343150
-2.5737667,5.475539,4.211401,348155
-2.3056161,5.2480903,4.9440265,353160
-2.0566192,4.912902,5.9878983,358164
-1.5035586,4.0653543,7.431602,363169
-1.0702082,3.3183637,8.532935,368144
-0.79248077,2.741361,9.263166,373149
-0.90979666,2.5187001,9.945514,378154
-1.3790601,2.755726,10.244789,383159
-2.006341,3.1651347,10.395624,388163
-2.5594015,3.5913026,10.395624,393168
-3.1268275,4.0581717,10.3214035,398143
-3.643975,4.4125137,10.225636,403147
-3.9504328,4.498705,10.18254,408152
-3.7541082,4.213795,10.352529,413157
-3.1531637,3.7110126,10.582372,418162
-2.2744915,3.1555579,10.800244,423167
-1.364695,2.6791117,11.025299,428141
-0.6799533,2.336741,11.252748,433146
-0.16519992,2.111686,11.6908865,438151
-0.22505496,1.99437,11.68131,443156
-0.7469909,2.1188686,11.310209,448161
-1.436521,2.4516625,11.422736,453166
-2.135628,2.815581,11.32218,458171
-2.765303,3.1124623,11.121067,463145
-3.2728736,3.2249897,10.749966,468150
-3.3854012,3.1196449,10.237606,473155
-3.3327289,2.9903579,9.837775,478160
-3.3063924,2.837129,9.749189,483164
-3.3566709,2.765303,9.892841,488169
-3.4404678,2.7461493,10.053253,493144
-3.3782187,2.7940333,10.067618,498149
-3.25372,2.8658595,9.964667,503154
-3.1028855,3.016694,9.710882,508159
-2.9400797,3.1196449,9.43076,513163
-2.7940333,3.083732,9.234436,518168
-2.72939,3.004723,9.315839,523143
-2.7102363,2.9017725,9.428367,528147
-2.7341783,2.870648,9.545682,533152
-2.7389667,2.8778305,9.591172,538157
-2.645593,2.9855695,9.49301,543162
-2.5067291,3.0789435,9.502586,548167
-2.3439236,3.1004913,9.682152,553141
-2.2146366,3.0765493,9.923966,558146
-2.1284454,3.040636,10.139444,563151
-2.018312,2.9712043,11.427525,568156
-1.6400281,2.8323407,12.167333,573161
-1.6232687,2.9041667,11.305421,578166
-1.9536686,3.1124623,10.728417,583171
-2.1643584,3.3542767,10.029311,588145
-2.0949266,3.4165258,9.368511,593150
-1.8387469,3.2513258,9.241618,598155
-1.5658079,3.098097,9.0716305,603160
-1.340753,3.086126,8.760384,608164
-1.2330139,3.2202013,8.341399,613169
-1.1492168,3.3806129,7.8529816,618144
-1.1444284,3.4237084,7.6470804,623149
-1.2114661,3.3758245,7.6710224,628154
-1.3455414,3.2968156,7.7811556,633159
-1.4700398,3.2489316,7.9487495,638163
-1.6472107,3.2465374,8.171411,643168
-1.7884687,3.2393548,8.274361,648143
-1.9201498,3.2202013,8.322245,653147
-2.0326772,3.1962593,8.329428,658152
-2.135628,3.181894,8.336611,663157
-2.1667526,3.1507695,8.312668,668162
