x,y,z,timestamp
-2.956839,4.357447,10.196905,1182
-2.8682537,4.331111,10.33098,6187
-2.767697,4.297592,10.414778,11192
-2.6862943,4.285621,10.362105,16166
-2.6767175,4.333505,10.192117,21171
-2.7222073,4.3742065,9.981427,26176
-2.7940333,4.417302,9.809045,31181
-2.896984,4.43885,9.674969,36186
-2.9400797,4.4436383,9.459491,41191
-2.9616275,4.4220905,9.244013,46165
-3.0071173,4.3885717,9.02614,51170
-3.0502129,4.3861775,8.844181,56175
-3.110068,4.390966,8.722076,61180
-3.1842883,4.4220905,8.779537,66185
-3.1603463,4.465186,8.803479,71190
-3.1148565,4.5537715,8.765172,76195
-3.064578,4.5872903,8.798691,81169
-2.9735985,4.6375685,8.793902,86174
-2.8874073,4.7141833,8.796297,91179
-2.791639,4.795586,8.841787,96183
-2.777274,4.853047,9.090784,101188
-2.72939,4.8961425,9.303867,106193
-2.693477,4.939238,9.397242,111168
-2.6982653,4.951209,9.442732,116172
-2.6982653,4.9823337,9.536105,121177
-2.7150247,5.00867,9.560047,126182
-2.717419,5.020641,9.507375,131187
-2.7509377,5.0613422,9.308656,136192
-2.8514943,5.0876784,9.064447,141166
-3.083732,5.171476,8.748413,146171
-3.2154129,5.2289367,8.446744,151176
-3.3183637,5.2768207,8.137892,156181
-3.3399115,5.327099,7.747637,161186
-3.3063924,5.403713,7.273585,166191
-3.335123,5.449203,6.667852,171165
-3.3446999,5.5401826,6.3206925,176170
-3.3686419,5.6431336,6.045359,181175
-3.3758245,5.7245364,5.841852,186180
-3.3327289,5.851429,5.590461,191185
-3.2465374,5.9902925,5.2385135,196190
-3.2106245,6.133945,4.9536033,201195
-3.0933087,6.157887,4.2305546,206169
-3.0502129,6.253655,2.6024973,211174
-3.3327289,6.517017,2.6192567,216179
-3.490746,6.4643445,3.2800562,221184
-3.8762126,6.6606693,3.3279405,226188
-3.9121256,6.7085533,3.2824504,231193
-3.6535518,6.540959,3.5242648,236168
-3.3662477,6.3063273,3.9480386,241172
-3.3566709,6.169858,4.465186,246177
-3.6703112,6.1770406,5.109226,251182
-3.8977604,6.2368956,5.5282116,256187
-4.0677485,6.351817,5.683835,261192
-4.050989,6.409278,5.7245364,266166
-3.8402996,6.325481,5.60722,271171
-3.3542767,6.14831,5.2480903,276176
-3.0789435,5.9663506,4.7429137,281181
-3.028665,5.889736,4.2042184,286186
-3.1675289,5.920861,3.691859,291191
-3.3542767,5.947197,3.2944214,296165
-3.466804,5.9783216,2.837129,301170
-3.4572272,5.9878983,2.60968,306175
-3.41892,5.98311,2.542642,311180
-3.3734303,5.9902925,2.7102363,316185
-3.3063924,5.9783216,3.0382419,321190
-3.1411927,5.9160724,3.6727054,326195
-3.0119057,5.8634,4.2544966,331169
-2.930503,5.758055,5.0038815,336174
-2.8778305,5.626374,6.0118403,341179
-2.7868507,5.509058,7.079654,346183
-2.6312277,5.3582234,8.300697,351188
-2.5187001,5.2959743,9.105149,356193
-2.5019407,5.2504845,9.698911,361168
-2.5330653,5.2840033,10.206482,366172
-2.5474305,5.2840033,10.498574,371177
-2.6192567,5.2768207,10.606314,376182
-2.6767175,5.2768207,10.539276,381187
-2.8083985,5.2744265,10.405201,386192
-3.0262709,5.2768207,10.218452,391166
-3.2513258,5.3007627,9.991004,396171
-3.5075054,5.3366756,9.660604,401176
-3.6894648,5.3007627,9.287108,406181
-3.8259344,5.2744265,8.887277,411186
-3.9073372,5.2169657,8.50181,416191
-3.9791632,5.1810527,8.1642275,421165
-4.015076,5.1762643,7.8170686,426170
-4.0342298,5.2169657,7.429208,431175
-4.0174704,5.2361193,7.165846,436180
-3.9552212,5.2409077,6.9503675,441185
-3.8402996,5.243302,6.730101,446190
-3.739743,5.1906295,6.5864487,451195
-3.667917,5.149928,6.4858923,456169
-3.643975,5.1571107,6.5457473,461174
-3.6272156,5.142745,6.6367273,466179
-3.572149,5.133168,6.787562,471183
-3.4835634,5.08289,6.933608,476188
-3.4404678,4.9895163,7.1826053,481193
-3.3997664,4.9344497,7.457938,486168
-3.4093432,4.8865657,7.81228,491172
-3.4093432,4.817134,8.207323,496177
-3.4141316,4.721366,8.62152,501182
-3.4524388,4.606444,9.169792,506187
-3.53863,4.5034933,9.622296,511192
-3.632004,4.414908,10.055647,516166
-3.6631286,4.3526587,10.328587,521171
-3.6655228,4.3167458,10.419566,526176
-3.6415808,4.3167458,10.390836,531181
-3.5865142,4.3119574,10.242394,536186
-3.4883518,4.3119574,10.000581,541191
-3.3399115,4.3358994,9.68694,546165
-3.1603463,4.4005427,9.284714,551170
-2.9999347,4.4675803,9.088389,556175
-2.7150247,4.292804,10.292673,561180
-2.6431987,4.4795513,9.205706,566185
-3.0071173,4.745308,8.355764,571190
-3.1124623,4.939238,7.2664022,576195
-2.9975405,5.0397944,6.167464,581169
-2.7820623,4.9583917,5.81791,586174
-2.4875755,4.7907977,5.901707,591179
-2.2577322,4.7046065,6.0142345,596184
-2.2697031,4.783615,5.9902925,601188
-2.4181437,4.841076,6.0022635,606193
-2.432509,4.8099513,6.143522,611168
-2.4037786,4.7788267,6.447585,616172
-2.372654,4.7644615,6.811504,621177
-2.420538,4.7788267,7.1586633,626182
-2.552219,4.805163,7.651869,631187
-2.681506,4.7979803,8.003817,636192
-2.765303,4.7740383,8.3821,641166
-2.8203697,4.7500963,8.755595,646171
