x,y,z,timestamp
-1.4772224,2.777274,12.74673,297
-1.1085154,2.492364,12.076353,5302
-0.8834604,2.2840683,11.477803,10306
-0.79008657,2.207454,10.955867,15281
-0.91697925,2.2816741,10.70687,20286
-1.1994951,2.5091233,10.625467,25291
-1.4317327,2.942474,10.036493,30296
-1.685518,3.2944214,9.3182335,35300
-1.9321208,3.5865142,8.53054,40305
-2.0638018,3.7469256,7.78355,45280
-2.0494366,3.8738184,7.129933,50285
-1.8866309,3.8618474,6.289568,55289
-1.9728222,4.027047,6.184223,60294
-2.111686,4.1012673,6.373365,65299
-2.3175871,4.2161894,6.6247563,70304
-2.4660277,4.333505,6.9838862,75278
-2.5953147,4.5322237,7.1730285,80283
-2.705448,4.7046065,7.4268136,85288
-2.7940333,4.8219223,7.513005,90293
-2.8921957,4.8626237,7.6351094,95298
-2.9759927,4.8267107,7.8266454,100303
-3.1196449,4.7620673,8.767567,105277
-3.13401,4.6782703,9.354146,110282
-3.095703,4.6160207,9.526528,115287
-3.0550013,4.5178585,9.289502,120292
-3.13401,4.489128,9.088389,125297
-3.2585084,4.4843397,8.853758,130302
-3.3662477,4.4699745,8.497022,135306
-3.5122938,4.474763,8.075643,140281
-3.70383,4.5441947,7.5824366,145286
-3.9432502,4.6710877,6.9886746,150291
-4.3646297,4.9224787,6.349423,155296
-4.72376,5.1906295,5.827487,160301
-5.0158525,5.463568,5.470751,165305
-5.303157,5.731719,5.303157,170280
-5.499481,5.9998693,5.2480903,175285
-5.5880666,6.241684,5.3725886,180289
-5.568913,6.337452,5.6431336,185294
-5.485116,6.3685765,6.0238113,190299
-5.279215,6.3230867,6.2608376,195304
-5.046977,6.265626,6.505046,200278
-4.7788267,6.0860605,6.670246,205283
-4.5537715,5.925649,6.4643445,210288
-4.4484267,5.755661,6.2345014,215293
-4.4125137,5.5976434,5.997475,220298
-4.453215,5.473145,5.7724204,225303
-4.5082817,5.365406,5.482722,230277
-4.5537715,5.317522,5.267244,235282
-4.5872903,5.3725886,5.0781016,240287
-4.606444,5.535394,4.9895163,245292
-4.6351743,5.758055,4.924873,250297
-4.663905,6.0118403,5.00867,255302
-4.654328,6.14831,4.972757,260306
-4.5920787,6.2225304,4.8458643,265281
-4.4436383,6.157887,4.285621,270286
-4.1611223,6.129156,1.7357962,275291
-4.9919105,6.667852,0.39025488,280296
-4.9799395,6.6175733,2.2122424,285300
-4.6710877,6.457162,3.3446999,290305
-4.295198,6.43322,3.8833952,295280
-3.8666358,6.4140663,4.5633483,300285
-3.3686419,6.3805475,5.2409077,305289
-3.0550013,6.3589997,5.8801594,310294
-3.110068,6.409278,6.1100025,315299
-3.3782187,6.5337763,6.1195793,320304
-3.7014358,6.6989765,5.947197,325278
-3.9624038,6.823475,5.746084,330283
-4.06296,6.823475,5.547365,335288
-3.9911342,6.703765,5.3582234,340293
-3.8546648,6.531382,5.020641,345298
-3.8355112,6.3326635,4.63278,350303
-3.9001546,6.2345014,4.177882,355277
-4.158728,6.1530986,3.6487634,360282
-4.4005427,6.1626754,3.2728736,365287
-4.6399627,6.179435,2.9376855,370292
-4.8338933,6.217742,2.731784,375297
-5.044583,6.2608376,2.9041667,380302
-5.121197,6.26802,3.5649664,385306
-5.0278234,6.1985884,4.1539397,390281
-4.939238,6.205771,4.924873,395286
-4.8458643,6.1746464,5.9400144,400291
-4.757279,6.117185,7.338228,405296
-4.5920787,6.0597243,9.016563,410300
-4.465186,5.9998693,9.9790325,415305
-4.5298295,5.9663506,10.903194,420280
-4.5920787,5.887342,11.554418,425285
-4.5777135,5.779603,11.676521,430289
-4.584896,5.6096144,11.180922,435294
-4.6375685,5.482722,10.474632,440299
-4.699818,5.3558292,9.607931,445304
-4.7620673,5.2648497,8.66701,450278
-4.8338933,5.245696,7.7428484,455283
-4.891354,5.2887917,6.789956,460288
-4.8937483,5.3318872,6.133945,465293
-4.831499,5.351041,5.619191,470298
-4.675876,5.353435,5.2169657,475303
-4.4603977,5.379771,4.8937483,480277
-4.249708,5.401319,4.618415,485282
-4.0773253,5.439626,4.501099,490287
-3.9384618,5.4563856,4.4963107,495292
-3.7900212,5.463568,4.5274353,500297
-3.6870706,5.5018754,4.709395,505302
-3.6367924,5.5856724,5.1906295,510306
-3.6152446,5.6910176,5.865794,515281
-3.5793316,5.791574,6.7013707,520286
-3.5075054,5.825093,7.6590514,525291
-3.3662477,5.8346696,8.702923,530296
-3.2034419,5.8083334,9.490616,535301
-3.1675289,5.7029886,10.3214035,540305
-3.1292217,5.5856724,10.730812,545280
-3.110068,5.473145,10.817003,550285
-3.157952,5.377377,10.596737,555289
-3.2561142,5.291186,10.180145,560294
-3.4715924,5.245696,9.481039,565299
-3.7229836,5.2600613,8.863335,570304
-3.9336734,5.281609,8.317456,575278
-4.1276035,5.33907,7.836222,580283
-4.27365,5.4061074,7.374141,585288
-4.3478703,5.485116,6.825869,590293
-4.307169,5.497087,6.399701,595298
-4.1539397,5.547365,6.0285997,600303
-3.9600096,5.595249,5.770026,605277
-3.7110126,5.6886234,5.6000376,610282
-3.4739866,5.8634,5.5018754,615287
