x,y,z,timestamp
-3.0597897,3.7660792,10.773908,2105
-3.0358477,3.7373488,10.998962,7110
-2.932897,3.7612908,11.130644,12084
-2.8395233,3.7493198,11.197681,17089
-2.717419,3.7205894,11.190498,22094
-2.5785553,3.679888,11.049241,27099
-2.4779987,3.6727054,10.800244,32104
-2.3798366,3.70383,10.400413,37108
-2.3535004,3.7828386,10.031705,42083
-2.3750482,3.9097314,9.562442,47088
-2.4133554,3.9983168,9.097966,52092
-2.4875755,4.0892963,8.659827,57097
-2.5905263,4.1515455,8.271967,62102
-2.657564,4.261679,8.133103,67107
-2.6910827,4.3622355,7.9511437,72082
-2.6719291,4.4939165,7.759608,77087
-2.554613,4.685453,7.675811,82091
-2.291251,4.855441,7.5704656,87096
-1.8602947,4.9440265,7.40766,92101
-1.5227122,4.948815,7.4746976,97106
-1.2808979,4.900931,7.807492,102080
-1.2306197,4.805163,8.453926,107085
-1.3072342,4.7500963,9.26556,112090
-1.6065093,4.6950297,10.058042,117095
-1.9249382,4.644751,10.46745,122100
-2.111686,4.5298295,10.448297,127105
-2.3295584,4.405331,10.160992,132110
-2.585738,4.3047748,9.7084875,137084
-2.870648,4.259285,9.018958,142089
-3.1483753,4.2760444,8.415619,147094
-3.4213142,4.3143516,7.872135,152099
-3.6032736,4.405331,7.36217,157104
-3.6966474,4.4915223,6.8905125,162108
-3.7205894,4.5896845,6.339846,167083
-3.7253778,4.6232033,6.0285997,172088
-3.6008794,4.534618,5.221754,177092
-3.5673606,4.594473,4.7884035,182097
-3.596091,4.656722,4.8961425,187102
-3.7110126,4.7381253,4.999093,192107
-3.7349546,4.8626237,4.984728,197082
-3.7732618,4.855441,5.1020436,202086
-3.6607344,4.747702,5.4922986,207091
-3.4979286,4.654328,6.0166287,212096
-3.3806129,4.687847,6.612785,217101
-3.3207579,4.805163,7.0724716,222106
-3.301604,4.9320555,7.419631,227080
-3.181894,4.9559975,7.563283,232085
-2.8754363,4.8243165,7.5201874,237090
-2.4732103,4.5154643,7.2328835,242095
-2.3750482,4.3742065,7.074866,247100
-2.540248,4.3742065,6.969521,252105
-2.8419175,4.4556093,6.7971387,257110
-3.1627405,4.5681367,6.531382,262084
-3.4141316,4.6255975,6.157887,267089
-3.478775,4.6136265,5.875371,272094
-3.3758245,4.5561657,5.7365074,277099
-3.193865,4.4795513,5.674258,282104
-3.040636,4.3742065,5.7125654,287108
-2.9281087,4.3382936,5.8226986,292083
-2.846706,4.3406878,6.0501475,297088
-2.741361,4.3406878,6.3087215,302092
-2.60968,4.3502645,6.6606693,307097
-2.4756045,4.3406878,7.0724716,312102
-2.2768857,4.295198,7.4603324,317107
-2.1691468,4.2161894,7.97748,322082
-2.111686,4.1395745,8.429984,327087
-2.1380222,4.0701427,8.899248,332091
-2.219425,3.9935284,9.332599,337096
-2.384625,3.9336734,9.742006,342101
-2.5785553,3.8307228,10.199299,347106
-2.7844565,3.751714,10.529699,352080
-2.9592333,3.6750996,10.776301,357085
-3.0885203,3.6032736,10.955867,362090
-3.1890767,3.5290532,11.001357,367095
-3.2513258,3.526659,10.922348,372100
-3.2441432,3.5410242,10.737994,377105
-3.1627405,3.560178,10.58716,382110
-3.1004913,3.5697548,10.469844,387084
-3.0478187,3.6296098,10.359711,392089
-3.0214825,3.6990416,10.290278,397094
-3.0334535,3.7181952,10.335769,402099
-3.0813377,3.691859,10.443508,407104
-3.1292217,3.6703112,10.565612,412108
-3.1292217,3.6391866,10.647015,417083
-3.1364043,3.5697548,10.5919485,422088
-3.1771057,3.5338416,10.43872,427092
-3.2106245,3.550601,10.21127,432097
-3.1962593,3.5865142,9.957485,437102
-3.1842883,3.6272156,9.653421,442107
-3.1483753,3.7134068,9.303867,447082
-3.0238767,3.596091,10.412383,452086
-2.669535,3.5218706,10.831368,457091
-2.89459,3.6942532,9.76116,462096
-3.1962593,3.8714242,8.9758625,467101
-3.2561142,4.0940847,7.9008656,472106
-3.157952,4.1706996,7.467515,477080
-2.896984,4.0414124,7.422025,482085
-2.5953147,3.8738184,7.469909,487090
-2.4157495,3.8283286,7.386112,492095
-2.267309,3.9983168,7.2807674,497100
-2.15957,4.156334,7.2544312,502105
-2.1308396,4.24492,7.2352777,507110
-2.1906946,4.2401314,7.3430166,512084
-2.2361844,4.1659107,7.599196,517089
-2.243367,4.072537,8.1163435,522094
-2.2840683,4.0294414,8.525752,527099
-2.4133554,4.015076,8.784326,532104
-2.5354595,4.0198646,8.9519205,537108
-2.6551697,4.0198646,9.016563,542083
-2.731784,3.976769,8.9998045,547088
-2.825158,3.9480386,8.899248,552092
