x,y,z,timestamp
-2.6743233,3.6272156,10.984597,3124
-2.6671407,3.6224272,10.833763,8129
-2.6527755,3.620033,10.745177,13134
-2.5929205,3.6248214,10.654198,18139
-2.6072857,3.6631286,10.546458,23113
-2.5833437,3.7014358,10.386047,28118
-2.5474305,3.7301662,10.189722,33123
-2.4636335,3.7325604,9.950302,38128
-2.3654714,3.739743,9.603143,43133
-2.2505496,3.7828386,9.203311,48138
-2.1547816,3.8714242,8.911219,53112
-2.066196,3.9959226,8.599973,58117
-2.0135236,4.0940847,8.291121,63122
-1.9057846,4.201824,7.8912888,68127
-1.7788919,4.3119574,7.675811,73132
-1.6304513,4.4364557,7.587225,78136
-1.4652514,4.5513773,7.551312,83111
-1.3551182,4.6375685,7.651869,88116
-1.3551182,4.663905,7.9990277,93121
-1.4891934,4.673482,8.37013,98125
-1.6352397,4.673482,8.652645,103130
-1.8531121,4.6495395,8.961497,108135
-2.078167,4.618415,9.241618,113110
-2.3582888,4.596867,9.289502,118115
-2.5905263,4.584896,9.349358,123119
-2.815581,4.5657425,9.349358,128124
-3.0071173,4.5633483,9.325416,133129
-3.1435869,4.5992613,9.284714,138134
-3.323152,4.6160207,9.093178,143139
-3.4356794,4.6160207,8.942344,148113
-3.4596214,4.5992613,8.671799,153118
-3.3997664,4.606444,8.279149,158123
-3.2944214,4.6232033,7.795521,163128
-3.0597897,4.7141833,7.141904,168133
-2.7605145,4.8865657,6.1985884,173138
-2.681506,5.08289,5.5856724,178112
-2.753332,5.1762643,5.959168,183117
-2.9999347,5.3462524,6.0884547,188122
-2.8778305,5.391742,5.66947,193127
-2.4947581,5.3103395,5.4563856,198132
-2.3127987,5.197812,5.4803276,203136
-2.384625,5.106832,5.647922,208111
-2.5785553,5.0302176,5.849035,213116
-2.7365725,5.00867,6.0142345,218120
-2.789245,5.023035,6.172252,223125
-2.7605145,4.9943047,6.279991,228130
-2.6623523,4.972757,6.3805475,233135
-2.5139117,4.927267,6.3661823,238110
-2.3870192,4.8506527,6.241684,243115
-2.2864625,4.7524905,5.971139,248119
-2.3894134,4.747702,5.693412,253124
-2.528277,4.7668557,5.3725886,258129
-2.719813,4.7668557,5.1786585,263134
-2.8514943,4.745308,5.035006,268139
-2.9376855,4.6662993,5.023035,273113
-2.9592333,4.5801077,5.233725,278118
-2.9783869,4.4963107,5.5856724,283123
-2.9496565,4.4005427,6.1219735,288128
-2.834735,4.3502645,6.7708025,293133
-2.6360161,4.249708,7.785944,298138
-2.4971523,4.220978,8.750807,303112
-2.3702598,4.2185836,9.7084875,308117
-2.2170308,4.185065,10.536881,313122
-2.0111294,4.1419687,11.11149,318127
-1.922544,4.086902,11.492168,323132
-1.8986019,4.036624,11.616667,328136
-1.9752164,4.0174704,11.554418,333111
-2.111686,4.0414124,11.348516,338116
-2.3008277,4.060566,11.025299,343120
-2.4181437,4.06296,10.474632,348125
-2.480393,4.0892963,9.959879,353130
-2.5785553,4.1611223,9.40203,358135
-2.7246015,4.2161894,8.870518,363110
-2.822764,4.2425256,8.324639,368115
-2.873042,4.2544966,7.704541,373119
-2.8754363,4.297592,7.2209125,378124
-2.858677,4.283227,6.813898,383129
-2.7988217,4.280833,6.5505357,388134
-2.6886885,4.225766,6.483498,393139
-2.5474305,4.1252093,6.6295447,398113
-2.4660277,4.039018,6.967127,403118
-2.4851813,3.9815574,7.539341,408123
-2.6024973,3.916914,8.487445,413128
-2.669535,3.8355112,9.457097,418133
-2.5785553,3.691859,10.45069,423138
-2.4540567,3.5625722,11.042058,428112
-2.3080103,3.4141316,11.358093,433117
-2.2050598,3.3518825,11.468226,438122
-2.1978772,3.3925838,11.374852,443127
-2.2720973,3.490746,11.164163,448132
-2.3415294,3.632004,10.91756,453136
-2.396596,3.7014358,10.613496,458111
-2.420538,3.7565024,10.290278,463116
-2.4013844,3.7900212,9.991004,468121
-2.384625,3.8259344,9.682152,473125
-2.4109612,3.8283286,9.382876,478130
-2.4732103,3.8426938,9.165004,483135
-2.542642,3.8043866,9.361329,488110
-2.5234885,3.7828386,9.411607,493115
-2.5570073,3.8546648,9.126697,498119
-2.707842,4.012682,8.631097,503124
-2.6982653,4.134786,8.178593,508129
-2.6024973,4.1299977,7.8912888,513134
-2.4779987,4.0462008,7.831434,518139
-2.3127987,3.9480386,7.9128366,523113
-2.0470424,3.8738184,8.123527,528118
-1.7764976,3.8857894,8.219295,533123
-1.5682021,3.9264908,8.3390045,538128
-1.4053963,3.952827,8.497022,543133
-1.3144168,3.964798,8.635885,548138
-1.2904748,3.9312792,8.698134,553112
-1.376666,3.940856,8.688558,558117
-1.508347,3.9097314,8.7532015,563122
