x,y,z,timestamp
-2.468422,2.930503,12.301409,4227
-2.3678656,2.8778305,12.346898,9232
-2.384625,2.815581,12.469003,14237
-2.5498247,2.7964275,12.732365,19242
-2.56419,2.8634653,12.665327,24247
-2.4277205,2.9113493,12.567164,29221
-2.3415294,2.8060043,12.2080345,34226
-2.3630772,2.7006595,11.611878,39231
-2.4157495,2.6479871,10.79785,44236
-2.4756045,2.6503813,9.995792,49241
-2.585738,2.7844565,9.088389,54246
-2.777274,3.0238767,8.3868885,59251
-2.992752,3.217807,7.8745294,64225
-3.3686419,3.41892,8.303091,69230
-3.3614593,3.5889084,8.508993,74235
-3.229778,3.6774938,8.540117,79240
-2.9520507,3.620033,8.312668,84244
-2.7269957,3.5338416,8.025364,89249
-2.408567,3.490746,7.615956,94224
-2.2960393,3.5817258,7.4028716,99229
-2.3343468,3.7588966,7.4387846,104234
-2.5330653,4.0078936,7.4148426,109238
-2.705448,4.220978,7.455544,114243
-2.822764,4.3742065,7.603985,119248
-2.89459,4.4819455,7.5106106,124223
-2.9233203,4.525041,7.36217,129227
-2.9233203,4.5322237,7.2544312,134232
-2.846706,4.5322237,7.1347213,139237
-2.8419175,4.5537715,7.249643,144242
-2.8778305,4.656722,7.4723034,149247
-2.8898015,4.807557,7.4387846,154221
-2.96881,4.975151,7.52737,159226
-3.0142999,5.0182467,7.4363904,164231
-3.0142999,5.0421886,7.445967,169236
-2.932897,5.0278234,7.323863,174241
-2.7605145,5.0517654,6.895301,179246
-2.554613,5.104438,6.3589997,184251
-2.4612393,5.2504845,6.145916,189225
-2.1212628,5.6790466,6.143522,194230
-2.327164,5.695806,6.291962,199235
-2.791639,5.590461,5.1140146,204239
-3.1196449,5.5521536,5.825093,209244
-3.0262709,5.556942,5.482722,214249
-2.9735985,5.547365,5.1690817,219224
-3.157952,5.556942,5.389348,224229
-3.1962593,5.6766524,5.104438,229234
-3.359065,5.9400144,4.3598413,234238
-3.6487634,6.0262055,4.7261543,239243
-3.7708676,5.9184666,5.4204726,244248
-3.9025488,5.8322754,5.7748146,249222
-4.0078936,5.8322754,5.8586116,254227
-4.003105,5.8562174,5.985504,259232
-3.976769,5.849035,6.203377,264237
-3.916914,5.793968,6.409278,269242
-3.8379054,5.681441,6.528988,274247
-3.775656,5.595249,6.6415157,279221
-3.7900212,5.556942,6.679823,284226
-3.904943,5.7508726,6.5146227,289231
-4.010288,6.0716953,6.205771,294236
-3.833117,6.232107,5.7843914,299241
-3.4117374,6.203377,5.3007627,304246
-2.813187,6.054936,4.7500963,309251
-2.5498247,5.9184666,4.1515455,314225
-2.4253263,5.8945246,3.7828386,319230
-2.4372973,5.923255,3.502717,324235
-2.5019407,5.949591,3.2944214,329240
-2.6144683,6.0166287,3.2465374,334244
-2.765303,6.0716953,3.2800562,339249
-2.8179753,6.0477533,3.4356794,344224
-2.834735,5.959168,3.679888,349229
-2.8682537,5.829881,4.0821137,354234
-2.8682537,5.657499,4.699818,359238
-2.8921957,5.365406,5.767632,364243
-2.9472623,5.1547165,7.053318,369248
-2.9592333,4.9799395,8.604761,374223
-2.9759927,4.8482585,10.213664,379227
-3.0095115,4.7668557,11.473015,384232
-3.1196449,4.663905,12.406754,389237
-3.3135753,4.644751,12.660539,394242
-3.5075054,4.644751,12.679692,399247
-3.7924154,4.685453,12.488156,404221
-3.8857894,4.6926355,12.045229,409226
-3.8355112,4.7285485,11.073183,414231
-3.7708676,4.807557,10.184934,419236
-3.763685,4.927267,9.176975,424241
-3.8043866,5.0158525,8.389283,429246
-3.6990416,5.08289,7.630321,434251
-3.4045548,5.109226,6.6271505,439225
-3.0933087,5.094861,5.8825536,444230
-2.765303,5.068525,5.221754,449235
-2.5258827,5.0014873,4.6662993,454239
-2.315193,4.8937483,4.3406878,459244
-2.147599,4.7548847,4.0797195,464249
-2.0973208,4.596867,4.000711,469224
-2.087744,4.4101195,4.036624,474229
