x,y,z,timestamp
-3.4500446,2.4540567,11.504139,3352
-3.6128504,2.5234885,11.851298,8357
-3.5290532,2.5210943,11.884817,13331
-3.3135753,2.4612393,11.856087,18336
-3.0023289,2.3989902,11.844116,23341
-2.767697,2.3582888,11.832145,28346
-2.5258827,2.384625,11.506534,33351
-2.4061728,2.396596,11.08276,38356
-2.3080103,2.3654714,10.785878,43360
-2.1523874,2.2936451,10.5440645,48335
-2.0805612,2.327164,10.268731,53340
-2.054225,2.4037786,9.78989,58344
-2.054225,2.4851813,9.299079,63349
-2.078167,2.528277,8.762778,68354
-2.2122424,2.5617957,8.35337,73359
-2.420538,2.5258827,7.929596,78333
-2.5354595,2.5115175,7.48188,83338
-2.528277,2.554613,7.091625,88343
-2.5115175,2.5953147,6.95755,93348
-2.4157495,2.7006595,6.9743094,98353
-2.3463178,2.7988217,6.9862804,103358
-2.4420857,2.8514943,7.0485296,108332
-2.7102363,2.7581203,7.144298,113337
-2.944868,2.6767175,7.144298,118342
-3.107674,2.72939,7.359776,123347
-3.157952,2.9281087,7.551312,128352
-3.083732,3.2561142,7.7691846,133357
-2.8658595,3.6463692,7.9942393,138331
-2.6264393,3.9863458,8.104373,143336
-2.4037786,4.357447,8.226477,148341
-2.3774424,4.7405195,8.312668,153346
-2.4301147,5.0661306,8.437167,158351
-2.6527755,5.4180784,8.300697,163356
-2.885013,5.7005944,8.118738,168360
-3.205836,5.9663506,7.97748,173335
-3.4476504,6.0357823,7.8027034,178340
-3.6367924,5.9902925,7.615956,183345
-4.0701427,5.997475,7.290344,188349
-4.3622355,5.9184666,6.9383965,193354
-4.534618,5.8083334,6.6056023,198359
-4.6519337,5.6886234,6.327875,203333
-4.7405195,5.523423,6.093243,208338
-4.999093,5.377377,5.8083334,213343
-5.233725,5.2959743,5.6646814,218348
-5.497087,5.1882353,5.533,223353
-5.645528,5.0661306,5.4061074,228358
-5.6431336,4.721366,5.3342814,233332
-5.590461,4.19943,5.523423,238337
-6.217742,4.247314,6.007052,243342
-6.847417,4.369418,6.531382,248347
-6.8569937,4.0892963,6.967127,253352
-6.7588315,3.8738184,7.350199,258357
-7.117962,4.1659107,7.7093296,263331
-7.350199,4.3167458,7.920019,268336
-7.2664022,4.3646297,8.056489,273341
-6.3302693,3.6703112,8.080431,278346
-5.7604494,3.4356794,7.979874,283351
-5.6910176,3.6703112,7.8984714,288356
-5.3821654,3.7253778,7.759608,293360
-5.255273,4.0414124,7.536947,298335
-5.035006,4.285621,7.2424603,303340
-4.560954,4.3742065,6.825869,308345
-4.2305546,4.6495395,6.754043,313349
-4.187459,5.221754,6.751649,318354
-4.120421,5.542577,6.5744777,323359
-3.739743,5.3725886,6.3566055,328333
-3.4883518,5.2624555,6.4260373,333338
-3.608062,5.3701944,6.2752028,338343
-3.7493198,5.279215,5.949591,343348
-3.9456444,5.3007627,5.6120086,348353
-4.0940847,5.707777,3.7588966,353358
-4.9703627,6.411672,1.6543933,358332
-5.93762,6.8785415,1.3862427,363337
-6.6534867,7.1083846,2.2242134,368342
-7.062895,7.311892,2.4660277,373347
-7.07726,7.091625,2.80361,378352
-6.7947445,6.5218053,3.3806129,383357
-6.481104,5.877765,4.0821137,388331
-6.2728086,5.2169657,5.094861,393336
-6.208165,4.9583917,5.815516,398341
-6.2129536,4.924873,6.3805475,403346
-6.2249246,5.032612,6.730101,408351
-6.2704144,5.2026005,6.931214,413356
-6.3949127,5.3965306,7.0006456,418360
-6.531382,5.547365,6.9383965,423335
-6.646304,5.686229,6.730101,428340
-6.667852,5.741296,6.4643445,433344
-6.6056023,5.717354,6.155493,438349
-6.483498,5.590461,5.7005944,443354
-6.4188547,5.48751,5.3845596,448359
-6.3446345,5.3606176,5.068525,453333
-6.227319,5.2720323,4.781221,458338
-6.0860605,5.2528787,4.534618,463343
-5.9160724,5.3486466,4.309563,468348
-5.8322754,5.4539914,4.259285,473353
-5.755661,5.5856724,4.220978,478358
-5.638345,5.6982,4.235343,483332
-5.461174,5.777209,4.2664676,488337
-5.080496,5.8442464,4.307169,493342
-4.7500963,5.9304376,4.39336,498347
-4.4723687,6.0262055,4.474763,503352
