x,y,z,timestamp
-2.8993783,4.4699745,10.553641,4389
-2.908955,4.4340615,10.673351,9394
-2.9520507,4.3957543,10.757148,14399
-2.9951463,4.3287168,10.776301,19403
-3.083732,4.331111,10.704475,24378
-3.241749,4.3502645,10.613496,29383
-3.3806129,4.3742065,10.613496,34388
-3.394978,4.405331,10.493786,39392
-3.371036,4.4196963,10.160992,44397
-3.3039982,4.4196963,9.821015,49402
-3.2202013,4.3981485,9.512163,54376
-3.0909145,4.3861775,9.255983,59381
-2.89459,4.462792,8.875306,64386
-2.5953147,4.6112323,8.283937,69391
-2.4420857,4.7620673,7.9008656,74396
-2.3175871,4.9296613,7.5680714,79401
-2.243367,5.1020436,7.2544312,84375
-2.2050598,5.2744265,7.0724716,89380
-2.1523874,5.415684,7.03177,94385
-2.0326772,5.5497594,7.0461354,99390
-1.9512744,5.6000376,7.1107793,104395
-1.9536686,5.6215854,7.3789296,109400
-2.018312,5.6359506,7.881712,114374
-2.0901382,5.616797,8.271967,119379
-2.2218192,5.6431336,8.784326,124384
-2.2984335,5.619191,9.078813,129389
-2.3511062,5.5880666,9.009381,134394
-2.4372973,5.535394,8.748413,139399
-2.5378537,5.509058,8.39886,144403
-2.6910827,5.434838,7.821857,149378
-2.834735,5.4300494,7.3406224,154383
-3.052607,5.449203,6.931214,159388
-3.1914709,5.475539,6.579266,164392
-3.2872388,5.5138464,6.363788,169397
-3.3758245,5.580884,6.105214,174402
-3.3327289,5.6431336,5.9998693,179377
-3.2968156,5.7245364,5.973533,184381
-3.1914709,5.791574,5.9184666,189386
-3.0310593,5.839458,5.695806,194391
-2.966416,5.877765,5.4324436,199396
-2.9496565,5.935226,5.415684,204401
-2.908955,6.007052,5.523423,209375
-2.80361,6.0597243,5.566519,214380
-2.6839,6.1219735,5.518635,219385
-2.5737667,6.157887,5.410896,224390
-2.5234885,6.1650696,5.2265425,229395
-2.5306711,6.1866174,5.0661306,234400
-2.4612393,6.1650696,4.3742065,239374
-2.554613,6.253655,3.6535518,244379
-3.095703,6.5098343,3.7732618,249384
-3.406949,6.5122285,4.1539397,254389
-3.550601,6.5002575,4.345476,259394
-3.502717,6.469133,4.4843397,264399
-3.3279405,6.3709707,4.8386817,269403
-3.181894,6.349423,5.3007627,274378
-3.1986535,6.457162,5.554548,279383
-3.1196449,6.55293,5.8107276,284388
-2.8802247,6.5696893,5.947197,289392
-2.6479871,6.5241995,5.9519854,294397
-2.4540567,6.445191,5.779603,299402
-2.4277205,6.385336,5.5737014,304376
-2.4229321,6.3805475,5.401319,309381
-2.4492683,6.3925185,5.161899,314386
-2.5187001,6.4044895,4.865018,319391
-2.6072857,6.3949127,4.4580035,324396
-2.7341783,6.3661823,4.220978,329401
-2.8323407,6.291962,4.0438066,334375
-2.8874073,6.227319,4.0054994,339380
-2.9712043,6.133945,4.0533834,344385
-3.0190883,6.054936,4.19943,349390
-2.9999347,5.973533,4.5896845,354395
-2.908955,5.839458,4.9559975,359400
-2.80361,5.717354,5.506664,364374
-2.6671407,5.614403,6.3063273,369379
-2.504335,5.499481,7.21373,374384
-2.291251,5.4180784,8.334216,379389
-2.1930888,5.341464,9.167398,384394
-2.078167,5.315128,9.859323,389399
-1.99437,5.257667,10.3932295,394403
-1.9201498,5.2385135,10.728417,399378
-1.8818425,5.2049947,10.939108,404383
-1.9440918,5.1930237,10.972627,409388
-2.030283,5.197812,10.955867,414392
-2.1643584,5.195418,10.773908,419397
-2.2888567,5.2049947,10.515334,424402
-2.492364,5.2026005,9.983821,429376
-2.585738,5.21936,9.533711,434381
-2.6623523,5.221754,9.059659,439386
-2.789245,5.2385135,8.611943,444391
-2.8778305,5.2361193,8.226477,449396
-2.9376855,5.221754,7.8290396,454401
-3.0071173,5.207389,7.5800424,459375
-3.071761,5.159505,7.371747,464380
-3.1627405,5.133168,7.302315,469385
-3.1986535,5.032612,7.2592196,474390
-3.2465374,4.9200845,7.323863,479395
-3.2465374,4.855441,7.345411,484400
-3.2345665,4.7644615,7.383718,489374
-3.2369606,4.7285485,7.4028716,494379
-3.2489316,4.697424,7.52737,499384
-3.3255463,4.6232033,7.78355,504389
-3.3399115,4.572925,8.078036,509394
-3.2848446,4.5058875,8.39886,514399
-3.1771057,4.4675803,8.602366,519403
-3.1124623,4.4244847,8.791509,524378
-3.0693667,4.39336,9.050082,529383
-3.0119057,4.3502645,9.169792,534388
-3.0071173,4.309563,9.244013,539392
-3.0071173,4.297592,9.332599,544397
-3.052607,4.3143516,9.44752,549402
-3.145981,4.3287168,9.586384,554377
-3.169923,4.3263226,9.67018,559381
-3.1747115,4.3143516,9.691729,564386
-3.1603463,4.295198,9.636662,569391
-3.107674,4.261679,9.591172,574396
-2.9951463,4.268862,9.469068,579401
-2.908955,4.1539397,10.295067,584375
-2.72939,4.0653543,11.022904,589380
-2.8538885,4.307169,10.278308,594385
-3.1364043,4.537012,9.572019,599390
-3.1316159,4.721366,8.48984,604395
-2.992752,4.8003745,7.5082164,609400
-2.7700913,4.7620673,7.240066,614374
-2.5306711,4.663905,7.0724716,619379
-2.3774424,4.608838,6.885724,624384
-2.3008277,4.534618,6.8043213,629389
-2.2122424,4.5154643,6.945579,634394
-2.195483,4.5298295,7.144298,639399
-2.2098482,4.5896845,7.374141,644403
-2.267309,4.6375685,7.5584946,649378
-2.3918076,4.6591167,7.776367,654383
-2.504335,4.654328,7.9870567,659388
-2.56419,4.6351743,8.152257,664392
