x,y,z,timestamp
-2.542642,3.0190883,9.866506,3001
-2.4708161,3.0358477,9.919178,7975
-2.384625,3.0550013,9.91439,12980
-2.3199813,3.0789435,9.952697,17985
-2.2864625,3.1196449,9.904813,22990
-2.2409728,3.1627405,9.82341,27995
-2.1859062,3.1914709,9.739613,32999
-2.1667526,3.2249897,9.562442,37974
-2.111686,3.2465374,9.337387,42979
-2.0949266,3.2704794,9.129091,47984
-2.0733786,3.3063924,8.8777,52988
-2.0518308,3.3039982,8.707711,57993
-2.0350714,3.3183637,8.549694,62998
-1.9991584,3.3303347,8.348581,67973
-1.9728222,3.3614593,8.204929,72977
-2.0015526,3.359065,8.145074,77982
-2.1092918,3.3614593,8.257602,82987
-2.2457612,3.3255463,8.418014,87992
-2.3535004,3.3039982,8.576031,92997
-2.4420857,3.2561142,8.734048,98002
-2.5210943,3.2130187,8.978256,102976
-2.585738,3.1627405,9.203311,107981
-2.6264393,3.145981,9.3733,112986
-2.6719291,3.110068,9.473856,117991
-2.6719291,3.074155,9.504981,122996
-2.6910827,3.0502129,9.490616,128001
-2.7006595,3.0430303,9.387665,132975
-2.7389667,3.0573955,9.267955,137980
-2.7988217,3.0478187,9.107543,142985
-2.8395233,3.083732,8.911219,147990
-2.8802247,3.1052797,8.798691,152995
-2.9017725,3.145981,8.53054,157999
-2.9759927,3.1435869,8.420407,162974
-3.0789435,3.1411927,8.497022,167979
-3.145981,3.1603463,8.583213,172984
-3.1747115,3.1507695,8.74123,177988
-3.145981,3.0933087,8.92319,182993
-3.1124623,3.0334535,9.002198,187998
-3.086126,2.992752,9.062054,192972
-3.0765493,2.9879637,9.085996,197977
-3.0621839,3.004723,9.045294,202982
-3.0573955,3.1316159,9.006987,207987
-2.9783869,3.1842883,9.038112,212992
-2.8682537,3.1747115,8.817844,217997
-2.932897,3.2082303,8.595184,223002
-3.052607,3.2082303,8.300697,227976
-3.1435869,3.2704794,7.93199,232981
-3.0933087,3.3087866,7.7428484,237986
-2.944868,3.3039982,7.6015906,242991
-2.719813,3.2345665,7.5465236,247996
-2.5617957,3.2441432,7.505822,253001
-2.4851813,3.3279405,7.4746976,257975
-2.4516625,3.4141316,7.505822,262980
-2.4109612,3.4380736,7.575254,267985
-2.3750482,3.4093432,7.702147,272990
-2.4037786,3.3854012,7.843405,277995
-2.4372973,3.4141316,7.9966335,282999
-2.4995465,3.430891,8.149862,287974
-2.5929205,3.394978,8.336611,292979
-2.6360161,3.3973722,8.53054,297984
-2.6623523,3.3806129,8.690952,302988
-2.6886885,3.3854012,8.815451,307993
-2.6862943,3.4165258,8.9519205,312998
-2.6431987,3.430891,9.028535,317973
-2.585738,3.4284968,9.198523,322977
-2.5306711,3.4093432,9.320627,327982
-2.468422,3.4021606,9.423578,332987
-2.4133554,3.347094,9.593566,337992
-2.4349031,3.3207579,9.746795,342997
-2.4492683,3.3039982,9.828198,348002
-2.4420857,3.2680852,9.85214,352976
-2.3654714,3.2609026,9.799467,357981
-2.3582888,3.241749,9.679757,362986
-2.3750482,3.2632968,9.52174,367991
-2.4253263,3.3183637,9.385271,372996
-2.492364,3.323152,9.26556,378001
-2.5234885,3.3159695,9.121908,382975
-2.5378537,3.3039982,8.956709,387980
-2.5498247,3.2872388,8.844181,392985
-2.5498247,3.2704794,8.762778,397990
-2.566584,3.2680852,8.710106,402995
-2.540248,3.2225955,8.700529,407999
-2.5450363,3.205836,8.659827,412974
-2.4947581,3.2154129,8.640674,417979
-2.4732103,3.2249897,8.626308,422984
-2.4468741,3.2345665,8.599973,427988
-2.4612393,3.2393548,8.599973,432993
-2.4277205,3.2130187,8.662222,437998
-2.408567,3.2225955,8.707711,442973
-2.456451,3.2010477,8.76996,447977
-2.4372973,3.1962593,8.875306,452982
-2.4013844,3.1531637,8.980651,457987
-2.3870192,3.1244333,9.11712,462992
-2.4133554,3.1268275,9.196129,467997
-2.44448,3.1028855,9.275137,473002
-2.4588451,3.0789435,9.354146,477976
-2.44448,3.0334535,9.41879,482981
-2.4037786,3.0214825,9.476251,487986
-2.3870192,3.0334535,9.476251,492991
-2.3582888,3.052607,9.428367,497996
-2.3439236,3.0693667,9.363723,503001
-2.3654714,3.064578,9.299079,507975
-2.4349031,3.064578,9.227253,512980
-2.5258827,3.064578,9.153033,517985
-2.5737667,3.074155,9.033323,522990
-2.6264393,3.0813377,8.925584,527995
-2.657564,3.0502129,8.848969,532999
-2.6719291,3.016694,8.793902,537974
-2.7006595,3.0119057,8.813056,542979
-2.7126305,2.9999347,8.860941,547984
-2.767697,2.980781,9.083601,552988
-2.72939,2.9472623,9.32781,557993
-2.72939,2.930503,9.378088,562998
-2.72939,2.96881,9.308656,567972
-2.6767175,3.0310593,9.14585,572977
-2.56419,3.0765493,8.9519205,577982
-2.3630772,3.1244333,8.810662,582987
-2.2290018,3.1172507,8.678981,587992
-2.1499932,3.1411927,8.504205,592997
-2.1739352,3.1555579,8.429984,598002
-2.1859062,3.1914709,8.425196,602976
-2.1787236,3.2154129,8.523358,607981
-2.15957,3.1962593,8.690952,612986
-2.2098482,3.157952,8.963891,617991
-2.2529438,3.1364043,9.176975,622996
-2.3175871,3.095703,9.32781,628001
-2.3894134,3.0693667,9.454702,632975
-2.432509,3.071761,9.555259,637980
-2.4708161,3.0550013,9.583989,642985
-2.4516625,3.0358477,9.576807,647990
