x,y,z,timestamp
-3.1723173,2.705448,11.259931,2582
-2.9975405,2.791639,11.200075,7556
-3.335123,3.074155,11.125855,12561
-3.1124623,3.1292217,10.896012,17566
-2.7341783,3.083732,10.67814,22571
-2.7820623,2.755726,10.398018,27576
-2.6192567,2.6312277,10.223241,32580
-2.56419,2.5881321,9.947908,37555
-2.6048915,2.6024973,9.7563715,42560
-3.4979286,2.2625206,9.976639,47565
-4.060566,1.970428,9.765948,52570
-3.6966474,2.0326772,8.772355,57574
-3.2513258,2.0853498,8.317456,62579
-2.56419,2.2266076,7.6949644,67554
-1.8650831,2.3439236,6.969521,72559
-1.2114661,2.5570073,6.3326635,77563
-0.20829555,2.753332,5.865794,82568
0.110133275,3.3446999,5.825093,87573
0.557849,3.679888,5.583278,92578
0.40940848,3.8833952,5.544971,97583
-0.20829555,5.0900726,5.9807158,102557
-1.1180922,6.9647326,6.6606693,107562
-2.0805612,7.3071036,6.6247563,112567
-2.8395233,6.751649,6.7205243,117572
-3.0933087,5.777209,7.1059904,122577
-2.5785553,4.805163,7.5848308,127582
-1.5825673,4.185065,8.034941,132556
-1.3958195,4.3358994,8.169016,137561
-1.7812861,4.8099513,8.039729,142566
-2.3463178,4.9775453,8.020576,147571
-2.834735,4.948815,8.106767,152576
-3.1364043,4.5513773,8.341399,157580
-3.6296098,4.283227,8.329428,162555
-4.3143516,4.2760444,8.264784,167560
-5.080496,4.4005427,8.408437,172565
-5.896919,4.5441947,8.4826565,177570
-6.3901243,4.5753193,8.350976,182574
-6.6606693,4.5681367,8.0445175,187579
-6.955156,4.548983,7.7548194,192554
-7.1873937,4.663905,7.4842744,197559
-7.3166804,4.999093,7.0940194,202563
-7.40766,5.497087,6.667852,207568
-7.383718,6.253655,5.997475,212573
-7.2424603,6.622362,5.4539914,217578
-6.9767036,6.7444663,4.936844,222583
-6.5601125,6.7348895,4.534618,227557
-6.1004257,6.6079965,4.2760444,232562
-5.4659624,6.4499793,4.1395745,237567
-5.0374002,6.289568,4.249708,242572
-4.7668557,6.093243,4.4244847,247577
-4.5513773,5.925649,4.5537715,252582
-4.4005427,5.7508726,4.841076,257556
-4.644751,5.425261,5.3199162,262561
-5.0038815,5.422867,5.5880666,267566
-5.267244,5.499481,5.923255,272571
-5.269638,5.497087,6.4068837,277576
-5.779603,5.2241483,6.885724,282580
-6.133945,5.245696,7.132327,287555
-6.0716953,5.303157,7.347805,292560
-5.887342,5.451597,7.61835,297565
-5.7508726,5.2959743,7.807492,302570
-5.805939,5.133168,7.249643,307574
-5.374983,5.315128,6.3087215,312579
-4.972757,5.437232,5.78918,317554
