x,y,z,timestamp
-2.5761611,3.0885203,9.303867,3249
-2.56419,3.098097,9.296685,8254
-2.5713725,3.1028855,9.25359,13259
-2.5474305,3.1124623,9.212888,18263
-2.5067291,3.13401,9.165004,23268
-2.5139117,3.1483753,9.155427,28273
-2.5139117,3.1411927,9.222465,33247
-2.542642,3.157952,9.330204,38252
-2.5833437,3.1555579,9.461885,43257
-2.60968,3.1316159,9.615114,48262
-2.6479871,3.0909145,9.744401,53267
-2.657564,3.0621839,9.868899,58272
-2.6384103,3.016694,9.904813,63246
-2.5929205,3.028665,9.866506,68251
-2.56419,3.0502129,9.773131,73256
-2.56419,3.0885203,9.727641,78261
-2.6144683,3.095703,9.653421,83266
-2.6408045,3.1364043,9.52174,88271
-2.7102363,3.1411927,9.414001,93245
-2.813187,3.1028855,9.172187,98250
-2.908955,3.1028855,9.009381,103255
-2.992752,3.0789435,8.889671,108260
-3.0621839,3.0550013,8.810662,113265
-3.1723173,3.0214825,8.736442,118270
-3.2848446,3.0430303,8.724471,123274
-3.3159695,3.016694,8.796297,128249
-3.347094,3.0310593,8.954314,133254
-3.371036,3.0095115,9.0716305,138259
-3.394978,2.9855695,9.205706,143263
-3.3327289,2.9472623,9.308656,148268
-3.1866825,2.9400797,9.31105,153273
-3.0358477,2.9616275,9.284714,158248
-2.944868,3.0358477,9.205706,163252
-2.8778305,3.1555579,9.289502,168257
-2.693477,3.1531637,9.13388,173262
-2.7341783,3.1387985,8.908825,178267
-2.906561,3.0885203,8.552089,183272
-3.0885203,3.1052797,8.173804,188246
-3.2249897,3.1842883,7.8290396,193251
-3.1866825,3.2202013,7.4603324,198256
-3.0789435,3.2154129,7.285556,203261
-2.9376855,3.1962593,7.1466923,208266
-2.896984,3.241749,7.0724716,213271
-2.8898015,3.277662,7.007828,218245
-2.9257145,3.3207579,7.017405,223250
-2.9592333,3.3806129,7.21373,228255
-2.96881,3.3854012,7.457938,233260
-2.954445,3.3494883,7.836222,238265
-2.9161377,3.3135753,8.176199,243270
-2.9352913,3.2561142,8.508993,248274
-3.004723,3.2273839,8.875306,253249
-3.0669725,3.229778,9.090784,258254
-3.110068,3.2202013,9.246407,263259
-3.1028855,3.2273839,9.334992,268263
-3.0454245,3.217807,9.394848,273268
-2.9400797,3.2034419,9.416395,278273
-2.8491,3.2249897,9.392453,283247
-2.767697,3.2585084,9.40203,288252
-2.6839,3.2944214,9.3733,293257
-2.645593,3.3399115,9.296685,298262
-2.60968,3.3638535,9.200917,303267
-2.6192567,3.4021606,9.14585,308272
-2.597709,3.3854012,9.066842,313246
-2.552219,3.394978,8.985439,318251
-2.528277,3.3877954,8.911219,323256
-2.5474305,3.3758245,8.846576,328261
-2.597709,3.3662477,8.846576,333266
-2.6671407,3.3446999,8.851364,338271
-2.767697,3.311181,8.853758,343245
-2.8443117,3.2824504,8.836999,348250
-2.896984,3.2249897,8.791509,353255
-2.942474,3.1986535,8.765172,358260
-2.954445,3.1603463,8.719683,363265
-2.9951463,3.145981,8.688558,368270
-2.9999347,3.1292217,8.63828,373274
-3.0334535,3.13401,8.599973,378249
-3.040636,3.122039,8.580819,383254
-3.0142999,3.0909145,8.542512,388259
-2.9759927,3.086126,8.516175,393263
-2.9352913,3.1004913,8.520964,398268
-2.9113493,3.1004913,8.599973,403273
-2.8921957,3.074155,8.702923,408248
-2.870648,3.0502129,8.810662,413252
-2.89459,3.0358477,8.9519205,418257
-2.9137435,3.0119057,9.050082,423262
-2.9496565,2.9999347,9.188946,428267
-2.9831753,3.004723,9.26556,433272
-3.0119057,3.016694,9.320627,438246
-3.016694,3.0214825,9.382876,443251
-2.992752,3.0310593,9.464279,448256
-2.966416,3.0310593,9.593566,453261
-2.9712043,3.0214825,9.68694,458266
-2.956839,2.9951463,9.691729,463271
-2.9137435,2.980781,9.655815,468245
-2.8491,2.9759927,9.528923,473250
-2.813187,2.9879637,9.3733,478255
-2.7724855,3.0214825,9.112331,483260
-2.7629087,3.0573955,8.954314,488265
-2.7964275,3.095703,8.820239,493270
-2.8874073,3.1411927,8.738836,498274
-2.9903579,3.1244333,8.738836,503249
-3.0693667,3.1124623,8.700529,508254
-3.0693667,3.074155,8.664616,513259
-3.0430303,3.0621839,8.63828,518263
-3.0119057,3.0621839,8.65025,523268
-2.9257145,3.0885203,8.659827,528273
-2.8203697,3.122039,8.7053175,533247
-2.7581203,3.1771057,8.738836,538252
-2.741361,3.2010477,8.78672,543257
-2.7341783,3.2106245,9.093178,548262
-2.6479871,3.1603463,9.313444,553267
-2.6312277,3.1747115,9.337387,558272
-2.6551697,3.205836,9.193734,563246
-2.657564,3.2465374,9.018958,568251
-2.633622,3.25372,8.930372,573256
-2.585738,3.265691,8.937555,578261
-2.4851813,3.2728736,8.901642,583266
-2.4013844,3.3063924,8.805874,588271
-2.3774424,3.3159695,8.6574335,593245
-2.3750482,3.3207579,8.573636,598250
-2.3870192,3.323152,8.494628,603255
-2.4349031,3.2848446,8.444349,608260
-2.4851813,3.277662,8.494628,613265
-2.5115175,3.277662,8.604761,618270
-2.542642,3.2489316,8.710106,623274
-2.5881321,3.229778,8.834604,628249
-2.6120741,3.205836,8.956709,633254
-2.6240451,3.1747115,9.038112,638259
-2.6671407,3.157952,9.093178,643263
-2.6647465,3.157952,9.121908,648268
-2.719813,3.145981,9.109938,653273
-2.767697,3.1411927,9.11712,658248
