x,y,z,timestamp
-3.0262709,2.5139117,12.471396,2784
-3.122039,2.5617957,12.5025215,7789
-3.1555579,2.5210943,12.325351,12794
-3.1555579,2.4037786,12.148179,17799
-3.2273839,2.3511062,12.071565,22804
-3.217807,2.3774424,11.980585,27809
-3.2273839,2.456451,11.880029,32783
-3.2202013,2.5330653,11.707646,37788
-3.1483753,2.5785553,11.496957,42793
-3.016694,2.5881321,11.152191,47798
-2.861071,2.5785553,10.766725,52803
-2.5809495,2.645593,10.3453455,57807
-2.3894134,2.7844565,9.888053,62812
-2.195483,2.8778305,9.296685,67787
-2.0374656,2.9831753,8.513782,72792
-1.9488802,3.107674,7.9008656,77797
-1.8531121,3.3279405,7.4986396,82802
-1.7741034,3.5817258,7.2089415,87806
-1.6687586,3.8187518,7.1730285,92811
-1.5753847,4.039018,7.0461354,97786
-1.5394717,4.213795,7.1083846,102790
-1.4700398,4.355053,7.1514807,107795
-1.4532804,4.429273,7.4124484,112800
-1.5346833,4.4723687,8.137892,117805
-1.6950948,4.4915223,8.461109,122810
-1.8650831,4.525041,8.537724,127784
-2.0805612,4.570531,8.446744,132789
-2.2936451,4.572925,8.429984,137794
-2.5187001,4.5801077,8.406042,142799
-2.7605145,4.5657425,8.298303,147804
-3.0597897,4.5513773,8.374918,152809
-3.394978,4.537012,8.214506,157783
-3.5769374,4.4723687,7.9128366,162788
-3.7325604,4.3981485,7.860164,167793
-3.3734303,3.7493198,8.180987,172798
-3.3734303,3.8977604,7.61835,177803
-3.8953662,4.307169,7.1466923,182807
-4.369418,4.6016555,6.8210807,187812
-4.331111,4.771644,6.4643445,192787
-3.9145198,4.8338933,6.215348,197792
-3.3854012,4.8003745,5.959168,202797
-3.0071173,4.8626237,5.9160724,207802
-2.9376855,5.1140146,5.887342,212806
-2.7700913,5.427655,5.1690817,217811
-2.504335,6.203377,3.5051112,222786
-2.837129,6.6654577,4.0797195,227790
-2.8658595,6.208165,4.8482585,232795
-2.882619,5.8466406,5.765238,237800
-2.6839,5.8586116,5.21936,242805
-2.3870192,5.899313,4.6495395,247810
-2.4229321,5.884948,4.8506527,252784
-2.5929205,5.7843914,5.159505,257789
-2.89459,5.6335564,5.3342814,262794
-3.1435869,5.580884,5.449203,267799
