x,y,z,timestamp
-3.6248214,3.394978,10.25676,1192
-3.6152446,3.3375173,10.536881,6197
-3.5242648,3.289633,10.721235,11202
-3.4356794,3.277662,10.852917,16207
-3.3063924,3.2872388,10.972627,21212
-3.2202013,3.3279405,10.927136,26186
-3.1890767,3.3327289,10.757148,31191
-3.241749,3.359065,10.520123,36196
-3.3207579,3.3686419,10.465055,41201
-3.3806129,3.394978,10.477027,46206
-3.394978,3.383007,10.177752,51211
-3.3854012,3.383007,9.809045,56185
-3.2824504,3.383007,9.299079,61190
-3.1627405,3.4261026,8.920795,66195
-3.0765493,3.4524388,8.588001,71200
-3.0262709,3.5482068,8.23366,76204
-3.0430303,3.679888,7.836222,81209
-3.0693667,3.904943,7.40766,86184
-3.0597897,4.0797195,7.1347213,91188
-2.9759927,4.2401314,6.861782,96193
-2.7605145,4.405331,6.6103907,101198
-2.504335,4.5537715,6.4164605,106203
-2.207454,4.699818,6.5002575,111208
-2.0398598,4.7309427,6.7564373,116183
-1.9608512,4.642357,7.1586633,121187
-2.0470424,4.477157,7.5321584,126192
-2.078167,4.4795513,7.8888946,131197
-2.1523874,4.453215,8.169016,136202
-2.183512,4.4723687,8.298303,141207
-2.2361844,4.4915223,8.327033,146212
-2.3104045,4.548983,8.2169,151186
-2.360683,4.6782703,7.711724,156191
-2.4181437,4.7644615,7.1849995,161196
-2.6048915,4.735731,6.9264255,166201
-3.3925838,4.537012,6.9360023,171206
-3.2393548,4.7189717,6.0357823,176211
-3.0478187,4.8362875,5.590461,181185
-3.0909145,4.795586,5.741296,186190
-3.086126,4.6399627,6.0645127,191195
-3.1292217,4.5298295,6.2368956,196200
-3.1675289,4.4819455,6.4188547,201204
-3.1771057,4.4340615,6.6079965,206209
-3.2034419,4.3766007,6.71813,211184
-3.1771057,4.4077253,6.8569937,216189
-3.1627405,4.474763,6.9503675,221193
-3.1435869,4.5274353,6.969521,226198
-3.1842883,4.5178585,6.9000893,231203
-3.2393548,4.453215,6.71813,236208
-3.2561142,4.3861775,6.4978633,241183
-3.2225955,4.355053,6.325481,246187
-3.1627405,4.369418,6.1243677,251192
-3.071761,4.414908,5.949591,256197
-2.908955,4.4699745,5.896919,261202
-2.6551697,4.5322237,6.0262055,266207
-2.4492683,4.5202527,6.2704144,271212
-2.2768857,4.414908,6.6247563,276186
-2.1739352,4.3167458,6.9958572,281191
-2.1380222,4.2066126,7.40766,286196
-2.0829554,4.0318356,7.9248075,291201
-1.6639702,3.53863,8.145074,296206
-1.8698715,3.5697548,8.475474,301211
-2.1930888,3.7014358,8.856153,306185
-2.5187001,3.8139634,9.232041,311190
-2.8562827,3.799598,9.653421,316195
-3.0119057,3.679888,9.923966,321200
-3.0310593,3.5625722,10.144233,326204
-2.9712043,3.4452562,10.2735195,331209
-2.885013,3.3423057,10.335769,336184
-2.8491,3.2561142,10.378864,341188
-2.8898015,3.1962593,10.433931,346193
-3.0023289,3.1866825,10.477027,351198
-3.1483753,3.1555579,10.522516,356203
-3.2465374,3.1435869,10.5680065,361208
-3.265691,3.1986535,10.498574,366183
-3.2345665,3.2225955,10.4171715,371187
-3.1675289,3.2585084,10.390836,376192
-3.095703,3.2824504,10.376471,381197
-3.0789435,3.323152,10.371682,386202
-3.095703,3.2872388,10.34774,391207
-3.098097,3.2345665,10.338163,396212
-3.157952,3.1747115,10.309433,401186
-3.2728736,3.122039,10.228029,406191
-3.3494883,3.1052797,10.16578,411196
-3.3854012,3.0909145,10.019734,416201
-3.2752678,3.0382419,11.398794,421206
-2.932897,2.956839,11.753136,426211
-3.098097,3.086126,10.845734,431185
-3.3063924,3.2632968,10.086772,436190
-3.4620156,3.502717,9.176975,441195
-3.5649664,3.7828386,8.406042,446200
-3.3806129,3.787627,8.133103,451204
-2.956839,3.679888,7.929596,456209
-2.4779987,3.6128504,7.7093296,461184
-2.042254,3.6487634,7.52737,466189
-1.8291701,3.775656,7.405266,471193
-1.8962077,3.7828386,7.2711906,476198
-2.0207062,3.7445314,7.28795,481203
-2.1547816,3.70383,7.4387846,486208
-2.2098482,3.6966474,7.750031,491183
-2.2385786,3.7181952,8.180987,496187
-2.2529438,3.7181952,8.513782,501192
-2.3511062,3.6966474,8.76996,506197
-2.4588451,3.6822822,8.949526,511202
-2.5809495,3.6511576,9.040505,516207
-2.7389667,3.6056678,9.076419,521212
