x,y,z,timestamp
-2.980781,3.739743,10.16578,4368
-2.861071,3.7445314,10.340557,9373
-2.6839,3.7732618,10.42196,14378
-2.4875755,3.8019924,10.532093,19383
-2.408567,3.8402996,10.654198,24388
-2.3463178,3.8546648,10.658986,29362
-2.2840683,3.857059,10.474632,34367
-2.2457612,3.8498764,10.196905,39372
-2.2218192,3.86903,9.799467,44377
-2.2218192,3.892972,9.416395,49382
-2.2170308,3.976769,9.004593,54386
-2.243367,4.0414124,8.520964,59391
-2.336741,4.096479,8.121132,64366
-2.4827871,4.1922474,7.8649526,69371
-2.5306711,4.256891,7.6015906,74375
-2.5713725,4.3622355,7.347805,79380
-2.6312277,4.417302,7.1706343,84385
-2.6120741,4.477157,7.0844426,89390
-2.585738,4.5322237,7.216124,94365
-2.5498247,4.5801077,7.345411,99369
-2.5187001,4.618415,7.4842744,104374
-2.4157495,4.711789,7.5800424,109379
-2.219425,4.7907977,7.587225,114384
-1.9321208,4.8626237,7.479486,119389
-1.8267759,4.924873,7.5968018,124363
-1.8028339,4.9320555,7.9846625,129368
-1.8339585,4.8961425,8.576031,134373
-1.9057846,4.7788267,9.11712,139378
-2.0015526,4.6136265,9.591172,144383
-2.0805612,4.4939165,9.77792,149388
-2.123657,4.390966,9.866506,154362
-2.2409728,4.345476,9.80665,159367
-2.4708161,4.4244847,9.536105,164372
-2.779668,4.522647,9.153033,169377
-2.9137435,4.620809,8.511387,174382
-2.966416,4.6830587,7.73806,179387
-2.930503,4.7189717,6.7612257,184391
-3.169923,4.7548847,6.1195793,189366
-3.2609026,4.7740383,5.841852,194371
-3.2680852,4.8362875,5.6000376,199375
-3.1651347,4.879383,5.45878,204380
-3.2273839,4.711789,5.511452,209385
-3.3973722,4.4723687,5.841852,214390
-3.4021606,4.3263226,6.220136,219365
-3.3925838,4.3742065,6.622362,224370
-3.4476504,4.5872903,6.8545995,229374
-3.359065,4.7668557,6.9886746,234379
-2.9759927,4.7644615,7.050924,239384
-2.5761611,4.594473,7.074866,244389
-2.4157495,4.3742065,7.089231,249363
-2.5713725,4.3167458,7.0844426,254368
-2.8562827,4.331111,6.9599442,259373
-3.169923,4.3837833,6.76362,264378
-3.4117374,4.4556093,6.5505357,269383
-3.5793316,4.4364557,6.2991447,274388
-3.5362358,4.405331,6.227319,279362
-3.3925838,4.369418,6.256049,284367
-3.1435869,4.3478703,6.4188547,289372
-2.9352913,4.297592,6.634333,294377
-2.719813,4.261679,6.979098,299382
-2.6120741,4.2521024,7.2089415,304386
-2.5234885,4.2305546,7.479486,309391
-2.4229321,4.201824,7.711724,314366
-2.336741,4.1252093,7.9272017,319371
-2.315193,4.06296,8.226477,324375
-2.3822308,3.9791632,8.504205,329380
-2.4372973,3.86903,8.765172,334385
-2.4851813,3.7804444,9.088389,339390
-2.5761611,3.715801,9.385271,344365
-2.7102363,3.6248214,9.734824,349369
-2.8083985,3.5793316,9.92636,354374
-2.885013,3.5482068,10.120291,359379
-2.9233203,3.5529952,10.158598,364384
-2.918532,3.53863,10.184934,369389
-2.9712043,3.560178,10.127473,374363
-3.0382419,3.5529952,10.115502,379368
-3.107674,3.560178,10.125079,384373
-3.181894,3.5553896,10.093954,389378
-3.2561142,3.5673606,10.072407,394383
-3.3183637,3.5649664,10.086772,399388
-3.2872388,3.5577838,10.105926,404362
-3.2369606,3.5745432,10.084377,409367
-3.1914709,3.560178,10.072407,414372
-3.1986535,3.5170822,10.09156,419377
-3.1675289,3.4931402,10.101137,424382
-3.1842883,3.490746,10.041282,429387
-3.1651347,3.394978,11.087548,434391
-2.791639,3.229778,12.445061,439366
-2.9137435,3.359065,11.147403,444371
-3.3973722,3.53863,10.510546,449375
-3.643975,3.7852328,9.32781,454380
-3.763685,4.024653,8.669404,459385
-3.5410242,4.0198646,8.425196,464390
-3.0262709,3.8953662,8.195353,469365
-2.5115175,3.7900212,7.8984714,474370
-2.0254946,3.8738184,7.565677,479374
-1.7381904,4.0414124,7.381324,484379
-1.6136919,4.1659107,7.2927384,489384
-1.6184803,4.177882,7.33344,494389
-1.6472107,4.0940847,7.445967,499363
-1.7166426,3.9504328,7.7428484,504368
-1.8483237,3.9073372,8.094796,509373
-1.9871874,3.8498764,8.48984,514378
-2.1667526,3.8355112,8.846576,519383
-2.3750482,3.7924154,9.143456,524388
-2.6431987,3.7684734,9.332599,529362
-2.8275523,3.7325604,9.406818,534367
-2.954445,3.7110126,9.423578,539372
