x,y,z,timestamp
-2.6048915,3.25372,10.323798,4539
-2.5905263,3.2393548,10.184934,9544
-2.5785553,3.2082303,10.0269165,14549
-2.597709,3.2130187,9.876082,19554
-2.5713725,3.2249897,9.792285,24528
-2.5306711,3.241749,9.744401,29533
-2.480393,3.2872388,9.7084875,34538
-2.3582888,3.3255463,9.636662,39542
-2.1667526,3.3734303,9.572019,44547
-1.9393034,3.4404678,9.524135,49552
-1.6879122,3.5098996,9.469068,54527
-1.4772224,3.5482068,9.397242,59531
-1.3359646,3.5745432,9.306262,64536
-1.2018893,3.6631286,9.078813,69541
-1.127669,3.7253778,8.832211,74546
-1.1061212,3.857059,8.623915,79551
-1.1563994,3.916914,8.508993,84556
-1.2401965,3.9863458,8.408437,89530
-1.2976574,3.9911342,8.346188,94535
-1.3814543,4.012682,8.324639,99540
-1.5011644,4.0557775,8.401254,104545
-1.5658079,4.1180267,8.465898,109550
-1.5705963,4.1611223,8.461109,114555
-1.5945383,4.232949,8.439561,119529
-1.5825673,4.3047748,8.595184,124534
-1.5514427,4.4125137,9.0716305,129539
-1.496376,4.414908,9.533711,134544
-1.3359646,4.2664676,9.888053,139549
-1.2186487,4.0773253,10.168175,144554
-1.0989386,3.9360676,10.457873,149528
-1.043872,3.7900212,10.608707,154533
-1.151611,3.7205894,10.522516,159538
-1.2976574,3.6846764,10.134656,164542
-1.352724,3.7062242,9.627085,169547
-1.4413095,3.7229836,9.136273,174552
-1.4867992,3.799598,8.695741,179527
-1.5705963,3.9025488,8.056489,184531
-1.6472107,3.940856,7.560889,189536
-1.7621324,4.0054994,7.0724716,194541
-1.7764976,4.110844,6.411672,199546
-1.7525556,4.1419687,5.7604494,204551
-1.8219875,4.2305546,5.5760956,209556
-1.9249382,4.232949,5.7365074,214530
-1.9536686,4.209007,6.0884547,219535
-1.9680338,4.1706996,6.4044895,224540
-1.9871874,4.132392,6.612785,229545
-2.006341,4.086902,6.9886746,234550
-2.0398598,4.0438066,7.40766,239555
-2.066196,4.0078936,7.7931266,244529
-2.042254,3.9983168,8.135497,249534
-2.0087352,4.024653,8.432379,254539
-1.9081788,4.110844,8.602366,259544
-1.6998832,4.0533834,8.59279,264549
-1.4652514,3.9480386,8.425196,269554
-1.3335704,3.8666358,8.240842,274528
-1.3024458,3.8043866,8.049306,279533
-1.3670892,3.7732618,7.8170686,284538
-1.5011644,3.8115692,7.666234,289542
-1.6903064,3.9025488,7.589619,294547
-1.8315643,4.015076,7.690176,299552
-1.9057846,4.0653543,7.872135,304527
-1.9393034,4.0414124,8.283937,309531
-1.9393034,3.9097314,8.578424,314536
-1.9416976,3.8019924,8.892065,319541
-1.9249382,3.667917,9.234436,324546
-1.9297266,3.5458126,9.49301,329551
-1.910573,3.4380736,9.706094,334556
-1.8866309,3.3901896,9.78989,339530
-1.8435353,3.394978,9.792285,344535
-1.7932571,3.3758245,9.785102,349540
-1.7597382,3.3566709,9.785102,354545
-1.8243817,3.3877954,9.718064,359550
-1.8866309,3.383007,9.605537,364555
-1.8890251,3.3399115,9.497798,369529
-1.8986019,3.2920272,9.368511,374534
-1.9057846,3.2249897,9.227253,379539
-1.9369092,3.2202013,9.126697,384544
-1.9656396,3.2202013,9.057265,389549
-2.0135236,3.2273839,9.02614,394554
-2.0614076,3.25372,9.018958,399528
-2.1164744,3.2800562,9.011775,404533
-2.1092918,3.2632968,9.004593,409538
-1.9919758,3.3183637,8.985439,414542
-1.9321208,3.3494883,8.968679,419547
-1.9153614,3.3566709,9.0237465,424552
-1.9009962,3.3518825,9.126697,429527
-1.9249382,3.3518825,9.224859,434531
-1.9081788,3.3159695,9.437943,439536
-1.9369092,3.2465374,9.627085,444541
-1.9776106,3.205836,9.77792,449546
-2.0015526,3.1172507,9.957485,454551
-2.0614076,3.0119057,10.146626,459556
-2.2242134,2.9855695,10.271125,464530
-2.3535004,2.992752,10.230424,469535
-2.4492683,3.0214825,10.170568,474540
-2.516306,3.0382419,10.065224,479545
-2.5115175,3.040636,9.923966,484550
-2.4229321,3.016694,10.362105,489555
-2.123657,2.9233203,10.828975,494529
-2.018312,2.9472623,10.3214035,499534
-2.0949266,3.0310593,9.677363,504539
-2.1092918,3.1723173,9.260772,509544
-2.0470424,3.2992098,9.01417,514549
-1.9656396,3.3806129,8.959103,519554
-1.8028339,3.3542767,8.942344,524528
-1.6041151,3.3303347,8.875306,529533
-1.4101849,3.3207579,8.693346,534538
-1.1779473,3.3734303,8.4826565,539542
-1.0295067,3.454833,8.293514,544547
-0.9576807,3.5051112,8.240842,549552
-0.9744401,3.5625722,8.240842,554527
-1.0414777,3.58412,8.310274,559531
-1.2354081,3.5697548,8.554482,564536
-1.352724,3.550601,8.755595,569541
-1.448492,3.4691982,8.908825,574546
-1.5298948,3.3614593,9.033323,579551
-1.6328455,3.2800562,9.085996,584556
-1.7980455,3.2321723,9.179369,589530
-1.9488802,3.2202013,9.198523,594535
-2.0949266,3.2249897,9.25359,599540
