x,y,z,timestamp
-2.183512,3.7541082,10.055647,1728
-2.4181437,3.8163576,9.959879,6702
-2.540248,3.8115692,9.816227,11707
-2.585738,3.7708676,9.742006,16712
-2.5953147,3.7325604,9.844957,21717
-2.60968,3.7325604,9.830592,26722
-2.6001031,3.799598,9.746795,31727
-2.6360161,3.892972,9.785102,36701
-2.6431987,3.9935284,9.91439,41706
-2.4779987,4.0342298,9.854534,46711
-2.2864625,3.9791632,9.775525,51716
-2.0829554,3.6391866,9.306262,56720
-2.0973208,3.6056678,8.911219,61725
-2.2625206,3.667917,8.841787,66700
-2.408567,3.8163576,8.781932,71705
-2.2337902,3.892972,8.6574335,76709
-1.9033904,3.8857894,8.429984,81714
-1.5753847,3.821146,8.202535,86719
-1.3311762,3.7229836,7.8888946,91724
-1.0989386,3.7325604,7.422025,96699
-0.89782566,3.845088,7.050924,101703
-0.7493851,4.0174704,6.823475,106708
-0.6584055,4.122815,6.775591,111713
-0.6967127,3.9121256,6.5457473,116718
-0.82360536,4.010288,6.8545995,121723
-1.2378023,4.1922474,7.079654,126728
-1.8028339,4.4963107,7.2807674,131702
-2.3774424,4.879383,7.5441294,136707
-2.932897,5.329493,8.010999,141712
-3.550601,5.877765,8.573636,146717
-3.8618474,6.2009826,8.808268,151722
-3.6104562,6.619968,8.908825,156727
-3.347094,6.4044895,9.251195,161701
-3.6822822,6.0501475,8.719683,166706
-4.55856,6.0118403,8.1642275,171711
-4.3718123,6.2512608,7.6015906,176716
-4.1491513,6.3566055,7.00304,181720
-4.24492,6.327875,6.339846,186725
-4.4795513,6.3230867,5.791574,191700
-4.441244,6.4020953,5.439626,196705
-4.4340615,6.4140663,5.185841,201709
-4.450821,6.337452,5.0493712,206714
-4.333505,6.2632318,4.9464207,211719
-4.1922474,6.1219735,4.8386817,216724
-4.146757,5.9759274,4.7285485,221699
-4.120421,5.9184666,4.876989,226703
-4.0797195,5.9304376,4.996699,231708
-4.197036,5.889736,5.2887917,236713
-4.4220905,5.8203044,5.7508726,241718
-4.687847,5.8107276,6.191406,246723
-4.924873,5.839458,6.859388,251728
-5.133168,5.872977,7.1634517,256702
-5.3342814,5.932832,7.2807674,261707
-5.410896,5.985504,7.345411,266712
-5.5258174,5.959168,7.4627266,271717
-5.753267,5.913678,7.3885064,276722
-5.9400144,6.0118403,7.2472486,281727
