x,y,z,timestamp
-3.3135753,4.3143516,9.785102,3901
-3.3207579,4.3646297,9.813833,8906
-3.2944214,4.3981485,9.876082,13911
-3.2441432,4.43885,9.85214,18916
-3.1890767,4.4316673,9.7803135,23921
-3.1507695,4.450821,9.859323,28895
-3.071761,4.4963107,9.950302,33900
-2.96881,4.5753193,9.938332,38905
-2.846706,4.6112323,9.892841,43910
-2.681506,4.5633483,9.727641,48915
-2.5881321,4.5082817,9.548077,53920
-2.5139117,4.4675803,9.339781,58894
-2.4588451,4.4364557,9.016563,63899
-2.4588451,4.465186,8.573636,68904
-2.5330653,4.5537715,8.032547,73908
-2.6479871,4.6686935,7.759608,78913
-2.8419175,4.7860093,7.7572136,83918
-2.908955,4.829105,7.541735,88893
-2.932897,4.783615,7.3190746,93898
-2.8802247,4.721366,7.0820484,98903
-2.8778305,4.745308,7.0221934,103907
-2.9640217,4.8027687,7.1131735,108912
-2.9831753,4.9296613,7.1059904,113917
-2.954445,4.987122,6.967127,118892
-2.882619,5.0158525,6.7372837,123896
-2.8203697,5.0517654,6.7253127,128901
-2.8083985,5.106832,6.8186865,133906
-2.7988217,5.1786585,6.8426285,138911
-2.825158,5.2002063,6.8043213,143916
-2.920926,5.2409077,6.8402343,148921
-3.0454245,5.267244,6.8785415,153895
-3.2345665,5.353435,7.050924,158900
-3.3901896,5.475539,7.3166804,163905
-3.5913026,5.4204726,7.1059904,168910
-3.8546648,5.374983,7.189788,173915
-4.0414124,5.41329,7.299921,178920
-4.185065,5.4180784,7.1131735,183894
-4.3957543,5.41329,6.8905125,188899
-4.534618,5.425261,6.706159,193904
-4.510676,5.559336,6.6367273,198908
-4.5992613,5.853823,6.196194,203913
-4.960786,5.9424086,5.9902925,208918
-5.140351,5.98311,5.923255,213893
-5.046977,5.877765,5.657499,218898
-4.9536033,5.731719,5.434838,223903
-4.960786,5.650316,5.3007627,228907
-4.984728,5.583278,5.269638,233912
-4.96318,5.451597,5.365406,238917
-4.829105,5.3079453,5.544971,243891
-4.594473,5.303157,5.729325,248896
-4.2760444,5.427655,5.815516,253901
-3.9815574,5.530606,5.803545,258906
-3.6774938,5.556942,5.7963624,263911
-3.4763808,5.544971,5.81791,268916
-3.3877954,5.533,5.837064,273921
-3.4404678,5.473145,5.889736,278895
-3.596091,5.473145,5.8921304,283900
-3.7565024,5.4779334,5.899313,288905
-3.9695864,5.4659624,5.8322754,293910
-4.146757,5.41329,5.7628436,298915
-4.4196963,5.365406,5.781997,303920
-4.644751,5.3007627,6.0118403,308894
-4.831499,5.2409077,6.244078,313899
-4.9703627,5.149928,6.6247563,318904
-5.0493712,5.080496,7.1251445,323909
-5.106832,5.0182467,7.762002,328913
-5.106832,4.9895163,8.288726,333918
-5.0517654,4.972757,8.7532015,338893
-4.9176903,4.948815,9.126697,343898
-4.783615,4.936844,9.394848,348903
-4.6112323,4.9224787,9.5385,353907
-4.4675803,4.9296613,9.536105,358912
-4.3598413,4.939238,9.449914,363917
-4.237737,4.9416323,9.277532,368892
-4.1156325,4.9703627,9.064447,373896
-4.0054994,5.0374002,8.760384,378901
-3.9456444,5.1020436,8.3390045,383906
-3.8881836,5.121197,7.941567,388911
-3.8163576,5.121197,7.5225816,393916
-3.7062242,5.1259856,7.129933,398921
-3.6128504,5.1020436,6.727707,403895
-3.5410242,5.046977,6.2991447,408900
-3.5122938,5.0062757,5.949591,413905
-3.4811692,4.9679685,5.6120086,418910
-3.4715924,4.951209,5.329493,423915
-3.4476504,4.9296613,5.0302176,428920
-3.4476504,4.9296613,4.735731,433894
-3.4476504,4.9200845,4.594473,438899
-3.4572272,4.927267,4.630386,443904
-3.4883518,4.855441,4.8722005,448908
-3.5075054,4.745308,5.327099,453913
-3.6176388,4.560954,6.1219735,458918
-3.739743,4.381389,6.9719152,463893
-3.8379054,4.249708,7.788338,468898
-3.916914,4.177882,8.508993,473903
-3.9983168,4.122815,9.172187,478907
-4.1132383,4.1299977,9.962274,483912
-4.2042184,4.1180267,10.508151,488917
-4.2185836,4.084508,10.87207,493891
-4.175488,4.036624,11.063606,498896
-4.084508,3.9743748,11.087548,503901
-3.952827,3.9719806,10.900801,508906
-3.8546648,4.0414124,10.627861,513911
-3.8857894,3.940856,12.354081,518916
-3.6463692,4.039018,11.446678,523921
-3.8067808,4.378995,10.251971,528895
-3.9671922,4.7189717,8.762778,533900
-4.050989,4.9655743,7.539341,538905
-4.0581717,5.046977,6.801927,543910
-3.9240966,4.939238,6.423643,548915
-3.6391866,4.7788267,6.229713,553920
-3.2082303,4.642357,6.0142345,558894
-2.9161377,4.644751,5.8921304,563899
-2.597709,4.6806645,5.8226986,568904
-2.3223755,4.699818,5.865794,573909
-2.255338,4.6710877,5.971139,578581
-2.4660277,4.6375685,6.1746464,583918
-2.7365725,4.663905,6.5098343,588893
-2.9783869,4.733337,6.9288197,593898
-3.1435869,4.771644,7.350199,598903
-3.2513258,4.757279,7.702147,603907
-3.3327289,4.697424,8.087613,608912
-3.3901896,4.661511,8.300697,613917
-3.4500446,4.6471453,8.42759,618891
-3.5410242,4.6686935,8.595184,623896
