x,y,z,timestamp
-3.122039,4.891354,8.157045,3107
-3.1316159,4.9559975,8.300697,8112
-3.0621839,5.0062757,8.429984,13086
-2.9616275,4.996699,8.513782,18091
-2.8514943,4.984728,8.595184,23096
-2.779668,4.951209,8.602366,28101
-2.743755,4.948815,8.6813755,33106
-2.7748797,4.9703627,8.74123,38111
-2.815581,4.9799395,8.750807,43085
-2.777274,4.9655743,8.6334915,48090
-2.621651,4.951209,8.487445,53095
-2.516306,4.9344497,8.449138,58099
-2.552219,4.9775453,8.499416,63104
-2.6288335,5.0302176,8.506598,68109
-2.7964275,5.0278234,8.568848,73084
-2.873042,5.00867,8.525752,78089
-2.9137435,4.984728,8.418014,83094
-2.9855695,4.927267,8.252813,88098
-3.098097,4.9224787,8.121132,93103
-3.289633,4.9583917,8.046912,98108
-3.478775,5.00867,7.8793178,103082
-3.6248214,5.046977,7.7189064,108087
-3.6750996,5.1020436,7.5848308,113092
-3.6870706,5.145139,7.4627266,118097
-3.7062242,5.2026005,7.443573,123102
-3.6870706,5.2600613,7.374141,128107
-3.6583402,5.2863975,7.347805,133112
-3.526659,5.291186,7.1849995,138086
-3.5290532,5.315128,6.993463,143091
-3.4644098,5.3821654,7.2304893,148096
-3.4620156,5.353435,7.156269,153101
-3.5051112,5.279215,7.1347213,158106
-3.4691982,5.2720323,7.1371155,163111
-3.560178,5.109226,6.9144545,168085
-3.7373488,5.0781016,6.6415157,173090
-3.8977604,5.080496,6.6079965,178095
-4.012682,5.080496,6.6295447,183100
-4.0916905,5.1810527,6.5481415,188104
-4.096479,5.351041,6.5098343,193109
-4.10845,5.509058,6.4882865,198084
-4.06296,5.6407394,6.4404025,203089
-4.0581717,5.803545,6.540959,208094
-4.158728,5.9902925,6.691794,213098
-4.2305546,6.179435,6.95755,218103
-4.2999864,6.291962,7.120356,223108
-4.345476,6.325481,7.2568254,228083
-4.1635165,6.603208,7.3190746,233087
-4.156334,6.969521,6.8522053,238092
-4.759673,6.9168487,6.5840545,243097
-4.88896,6.8545995,6.423643,248102
-4.6902413,6.576872,5.9807158,253107
-4.4963107,6.3087215,5.683835,258112
-4.3957543,6.129156,5.415684,263086
-4.4915223,5.971139,5.2289367,268091
-4.55856,5.8107276,5.3965306,273096
-4.4580035,5.7508726,5.6215854,278101
-4.225766,5.8322754,5.707777,283106
-3.9983168,5.9783216,5.7245364,288111
-3.7301662,6.1219735,5.5880666,293085
-3.5362358,6.229713,5.482722,298090
-3.3638535,6.2584434,5.415684,303095
-3.323152,6.2129536,5.3486466,308100
-3.3782187,6.1866174,5.233725,313104
-3.5434184,6.1890116,5.118803,318109
-3.7325604,6.1387334,4.939238,323084
-3.9121256,6.078878,4.687847,328089
-4.074931,6.0238113,4.4340615,333094
-4.220978,5.961562,4.209007,338098
-4.357447,5.911284,3.9743748,343103
-4.414908,5.8562174,3.8953662,348108
-4.477157,5.8226986,3.9983168,353083
-4.343082,5.7269306,4.1156325,358087
-4.086902,5.6215854,4.2401314,363092
-3.8666358,5.559336,4.5441947,368097
-3.8642416,5.542577,5.159505,373102
-3.9264908,5.533,6.0621185,378107
-3.881001,5.4683566,7.0820484,383112
-3.7229836,5.3678,8.094796,388086
-3.490746,5.1930237,9.241618,393091
-3.3399115,5.080496,9.957485,398096
-3.2393548,4.9943047,10.407595,403101
-3.1651347,4.939238,10.702082,408106
-3.0597897,4.939238,10.802638,413111
-3.0190883,4.951209,10.7356,418085
-2.9903579,4.975151,10.486604,423090
-3.0238767,4.9799395,10.201694,428095
-3.1004913,4.9823337,9.837775,433099
-3.2225955,4.9895163,9.382876,438104
-3.3973722,5.0397944,8.805874,443109
-3.550601,5.0541596,8.365341,448084
-3.70383,5.070919,7.9822683,453089
-3.8666358,5.0493712,7.69257,458094
-3.9911342,5.0374002,7.491457,463098
-4.0533834,4.9583917,7.311892,468103
-4.0701427,4.9105077,7.216124,473108
-4.074931,4.8626237,7.1730285,478082
-4.0821137,4.807557,7.1347213,483087
-4.060566,4.7668557,7.0724716,488092
-4.0653543,4.711789,7.0221934,493097
-4.096479,4.6519337,6.9024835,498102
-4.158728,4.6232033,6.871359,503107
-4.177882,4.6351743,6.9288197,508112
-4.1826706,4.661511,7.0341644,513086
-4.0557775,4.699818,7.1251445,518091
-3.8235402,4.7524905,7.3071036,523096
-3.6535518,4.7860093,8.166622,528101
-3.2968156,4.5896845,9.68694,533106
-3.1244333,4.819528,8.959103,538111
-3.3207579,5.1379566,8.7053175,543085
-3.4524388,5.463568,8.085219,548090
-3.335123,5.6120086,7.716512,553095
-3.0430303,5.521029,7.603985,558100
-2.6623523,5.2959743,7.6590514,563104
-2.4061728,5.056554,7.680599,568109
-2.3535004,4.9440265,7.620744,573084
-2.4468741,4.948815,7.630321,578089
-2.60968,4.9943047,7.6351094,583094
-2.7269957,5.0014873,7.735666,588098
-2.8107927,4.9799395,7.819463,593103
-2.9161377,4.9703627,7.8290396,598108
-3.0813377,4.996699,7.776367,603083
-3.3303347,5.0158525,7.6829934,608087
-3.6056678,5.0134583,7.6853876,613092
-3.7684734,4.9416323,7.6949644,618097
