x,y,z,timestamp
-2.815581,3.8067808,10.979809,2294
-2.767697,3.751714,10.81461,7299
-2.72939,3.6631286,10.520123,12304
-2.6743233,3.596091,10.093954,17309
-2.6264393,3.5434184,9.437943,22314
-2.566584,3.5649664,8.781932,27318
-2.56419,3.7373488,8.238448,32323
-2.5450363,3.9384618,7.8625584,37298
-2.540248,4.1491513,7.627927,42302
-2.633622,4.3406878,7.7213006,47307
-2.7102363,4.426879,7.908048,52312
-2.8107927,4.3287168,8.331821,57317
-2.8514943,4.209007,8.599973,62322
-2.8491,4.10845,8.858546,67297
-2.8179753,4.0557775,9.059659,72301
-2.7844565,4.010288,9.155427,77306
-2.765303,3.8786068,8.947132,82311
-2.741361,3.7588966,8.848969,87316
-2.7629087,3.7062242,8.774749,92321
-2.956839,3.7900212,8.437167,97295
-3.1771057,4.015076,8.0684595,102300
-3.478775,4.4077253,7.807492,107305
-3.6655228,4.6662993,7.675811,112310
-3.8355112,4.8745947,7.615956,117315
-4.0174704,5.0254292,7.66384,122320
-4.1180267,5.0996494,7.800309,127294
-4.2305546,5.1523223,8.075643,132299
-4.331111,5.1379566,8.26239,137304
-4.1252093,5.4180784,8.588001,142309
-3.6583402,5.901707,8.348581,147314
-4.429273,5.849035,7.2089415,152318
-5.17387,5.681441,7.264008,157323
-4.7644615,5.1882353,6.4308257,162298
-4.6471453,4.8338933,5.7508726,167302
-4.9176903,4.8506527,5.5497594,172307
-5.1666875,4.8985367,5.3606176,177312
-5.257667,4.7668557,5.3558292,182317
-5.094861,4.51307,5.8107276,187322
-4.654328,4.369418,6.241684,192297
-4.10845,4.355053,6.459556,197301
-3.7469256,4.560954,6.5505357,202306
-3.4596214,4.819528,6.540959,207311
-3.0693667,5.068525,6.3326635,212316
-2.7868507,5.1786585,6.136339,217321
-2.6001031,5.209783,5.961562,222295
-2.5594015,5.209783,5.767632,227300
-2.6384103,5.233725,5.60722,232305
-2.89459,5.243302,5.4563856,237310
-3.145981,5.257667,5.389348,242315
-3.4332852,5.2289367,5.2840033,247320
-3.6990416,5.1523223,5.2121773,252294
-3.8857894,5.0900726,5.2289367,257299
-4.0797195,4.9775453,5.327099,262304
-4.122815,4.903325,5.535394,267309
-4.096479,4.8003745,5.78918,272313
-3.9815574,4.7070007,6.069301,277318
-3.7732618,4.630386,6.445191,282323
-3.5122938,4.525041,7.038953,287298
-3.2944214,4.4580035,7.575254,292302
-3.1124623,4.367024,8.183381,297307
-2.9041667,4.292804,8.736442,302312
-2.705448,4.2185836,9.251195,307317
-2.4588451,4.1802764,9.770737,312322
-2.2529438,4.1922474,10.0269165,317296
-2.0901382,4.2544966,10.170568,322301
-1.9393034,4.285621,10.21127,327306
-1.8626889,4.3358994,10.168175,332311
-1.7932571,4.355053,9.986216,337316
-1.7980455,4.369418,9.794679,342321
-1.8339585,4.3406878,9.562442,347295
-1.922544,4.295198,9.330204,352300
-2.1260512,4.2281604,8.863335,357305
-2.348712,4.144363,8.250419,362310
-2.542642,4.0677485,7.8170686,367315
-2.7365725,4.0462008,7.4244194,372320
-2.9951463,4.0078936,7.201759,377294
-3.311181,3.9671922,7.1634517,382299
-3.5362358,3.904943,7.2424603,387304
-3.608062,3.8019924,7.433996,392309
-3.5338416,3.7110126,7.6949644,397314
-3.4021606,3.6535518,8.058883,402318
-3.2273839,3.5889084,8.441956,407323
-3.0885203,3.478775,8.853758,412298
-3.0190883,3.3925838,9.437943,417302
-3.0573955,3.323152,9.895236,422307
-3.157952,3.3135753,10.28549,427312
-3.2489316,3.3614593,10.582372,432317
-3.3614593,3.4261026,10.776301,437322
-3.4165258,3.4763808,10.931925,442296
-3.3638535,3.5098996,11.044453,447301
-3.2872388,3.53863,11.154586,452306
-3.1411927,3.4261026,13.532028,457311
-2.5498247,3.4021606,12.914324,462316
-2.542642,3.5458126,11.63582,467321
-2.6551697,3.6415808,10.7356,472295
-2.6048915,3.9240966,9.485827,477300
-2.5498247,4.185065,8.868123,482305
-2.3774424,4.2161894,8.415619,487310
-2.0350714,4.084508,7.9104424,492315
-1.8028339,3.9336734,7.515399,497320
-1.6065093,3.8522706,7.141904,502294
-1.5442601,3.7900212,6.9024835,507299
-1.721431,3.7732618,6.76362,512304
-2.1859062,3.679888,6.7803793,517309
-2.516306,3.6056678,6.969521,522314
-2.707842,3.560178,7.285556,527318
-2.7988217,3.560178,7.7213006,532323
-2.8491,3.5529952,8.12592,537298
-2.930503,3.572149,8.655039,542302
-2.992752,3.5913026,9.0429,547307
-3.0430303,3.632004,9.330204,552312
-3.0430303,3.667917,9.504981,557317
