x,y,z,timestamp
-2.2481554,3.1651347,9.911995,4358
-2.3750482,3.1866825,10.160992,9363
-2.3750482,3.1627405,10.412383,14368
-2.3295584,3.0933087,10.898406,19342
-2.315193,3.0310593,11.140221,24347
-2.3319526,2.96881,11.226412,29352
-2.3127987,2.906561,11.080365,34357
-2.1978772,2.8514943,10.800244,39362
-2.006341,2.8491,10.496181,44367
-1.8315643,2.906561,10.254366,49341
-1.6831238,2.9999347,9.859323,54346
-1.5945383,3.0765493,9.466674,59351
-1.5610195,3.1292217,9.16261,64356
-1.6304513,3.1914709,9.011775,69361
-1.7764976,3.2680852,9.045294,74365
-2.066196,3.3997664,9.244013,79340
-2.0470424,3.4093432,9.303867,84345
-1.8626889,3.3806129,9.093178,89350
-1.4341269,3.2872388,8.784326,94355
-1.2521675,3.229778,8.860941,99360
-1.2282255,3.217807,9.069236,104364
-1.2210429,3.277662,9.040505,109369
-1.3311762,3.3327289,8.841787,114344
-1.5705963,3.5170822,8.796297,119348
-1.721431,3.727772,8.686164,124353
-1.8842367,3.9911342,8.659827,129358
-1.9919758,4.24492,8.76996,134363
-2.1428106,4.453215,8.671799,139368
-2.3343468,4.663905,8.437167,144342
-2.5474305,4.7405195,8.169016,149347
-2.8491,4.7285485,7.9224133,154352
-3.157952,4.675876,7.821857,159357
-3.4332852,4.5872903,7.785944,164362
-3.7014358,4.477157,7.967903,169367
-3.833117,4.477157,8.106767,174341
-3.9600096,4.6016555,7.9272017,179346
-4.0318356,4.709395,7.771579,184351
-4.0892963,4.807557,7.642292,189356
-4.132392,4.900931,7.5225816,194361
-4.1276035,4.9296613,7.2089415,199365
-4.06296,4.975151,6.754043,204340
-4.048595,5.130774,6.2345014,209345
-4.060566,5.389348,5.8466406,214350
-4.2401314,5.657499,6.081272,219355
-4.417302,5.9687448,6.703765,224360
-4.6160207,6.045359,7.4363904,229364
-4.819528,5.971139,7.9104424,234369
-4.9943047,5.7963624,7.843405,239344
-5.1810527,5.5760956,7.785944,244348
-5.415684,5.3606176,8.145074,249353
-5.499481,5.2624555,8.293514,254358
-5.554548,5.221754,8.283937,259363
-5.602432,5.2002063,8.042124,264368
-5.595249,5.185841,7.759608,269342
-5.554548,5.2002063,7.553706,274347
-5.45878,5.2241483,7.2927384,279352
-5.315128,5.2289367,6.8809357,284357
-5.1906295,5.2504845,6.2847795,289362
-5.0374002,5.2744265,5.767632,294367
