x,y,z,timestamp
-3.7062242,2.1763294,11.077971,2038
-3.6846764,2.1787236,10.833763,7043
-3.4452562,2.2146366,10.757148,12048
-3.1435869,2.2649148,10.864887,17053
-2.6647465,2.3247697,10.87207,22058
-2.2361844,2.3463178,10.759542,27032
-1.7932571,2.3535004,10.474632,32037
-1.5466543,2.408567,10.196905,37042
-1.3718776,2.5067291,9.998186,42047
-1.2401965,2.681506,9.677363,47052
-1.2449849,2.956839,9.196129,52057
-1.3575124,3.1531637,8.413225,57061
-1.5610195,3.13401,7.872135,62036
-2.1978772,2.7461493,7.4124484,67041
-2.4253263,2.731784,7.350199,72046
-2.4277205,2.56419,7.1514807,77051
-2.1619642,2.4612393,6.6391215,82055
-1.6663644,2.6431987,6.3661823,87060
-1.3790601,2.8419175,6.069301,92035
-1.3503298,3.0334535,5.949591,97040
-1.5873557,3.301604,6.2608376,102044
-2.006341,3.58412,6.859388,107049
-2.44448,3.6750996,7.723695,112054
-3.028665,3.8642416,8.6334915,117059
-3.7684734,3.9360676,9.270349,122033
-4.6016555,3.9456444,9.751583,127038
-5.554548,3.9791632,10.443508,132043
-5.932832,4.0222588,10.603919,137048
-5.889736,3.9671922,10.132261,142053
-5.731719,3.8522706,9.514558,147058
-5.590461,3.775656,8.908825,152032
-5.3941364,3.8738184,8.293514,157037
-5.2409077,4.0294414,7.85777,162042
-5.145139,4.0294414,7.465121,167047
-5.106832,4.0054994,7.0605006,172052
-4.924873,4.096479,6.631939,177057
-4.582502,4.462792,6.3542113,182061
-4.5992613,4.6950297,6.543353,187036
-4.8626237,4.924873,6.691794,192041
-5.185841,5.068525,6.8091097,197045
-5.4204726,5.161899,7.0365586,202050
-5.5401826,5.3486466,7.201759,207055
-5.5641246,5.461174,7.3645644,212060
-5.523423,5.5617304,7.2472486,217035
-5.3845596,5.6431336,7.062895,222040
-5.2600613,5.499481,6.9719152,227044
-5.0517654,5.2648497,6.7253127,232049
-4.7788267,4.9703627,6.5960255,237054
-4.5394063,4.6950297,6.579266,242059
-4.501099,4.5992613,6.567295,247033
-4.630386,4.7141833,6.5146227,252038
-4.865018,4.9105077,6.469133,257043
-4.951209,5.023035,6.5984197,262048
-5.00867,5.1235914,6.825869,267053
-4.939238,5.233725,7.074866,272058
-4.8602295,5.3462524,7.21373,277032
-4.6662993,5.410896,7.311892,282037
-4.3766007,5.291186,7.335834,287042
-4.209007,5.1642933,7.2209125,292047
-4.1635165,5.118803,7.0700774,297052
-4.175488,5.17387,6.9120603,302057
-4.10845,5.267244,6.742072,307061
-4.074931,5.3007627,6.615179,312036
-4.185065,5.3701944,6.517017,317041
-4.378995,5.401319,6.2967505,322046
-4.5801077,5.3486466,6.0166287,327050
-4.8123455,5.2169657,5.722142,332055
