x,y,z,timestamp
-1.9871874,3.2465374,11.113884,4621
-1.9416976,3.4237084,10.922348,9626
-1.5801731,3.3686419,10.6877165,14630
-1.4317327,3.3638535,10.316615,19635
-1.4149733,3.4165258,9.859323,24610
-1.4269443,3.4500446,9.368511,29615
-1.4341269,3.4763808,8.846576,34620
-1.3383588,3.5003228,8.305486,39625
-1.2354081,3.560178,7.9726915,44629
-1.1563994,3.751714,7.6351094,49634
-1.1133038,3.9504328,7.3166804,54609
-1.3000516,3.964798,7.098808,59613
-1.697489,3.9384618,7.091625,64618
-1.6160861,3.9552212,7.1730285,69623
-1.352724,3.8474822,7.431602,74628
-1.0079589,3.8235402,7.515399,79633
-0.7613561,3.892972,7.5201874,84607
-0.6368576,4.0557775,7.493851,89612
-0.7398083,4.235343,7.632715,94617
-0.9959879,4.378995,7.66384,99622
-1.3359646,4.4675803,7.6494746,104627
-1.8339585,4.5441947,7.7907324,109632
-2.4708161,4.4939165,8.444349,114606
-2.72939,4.450821,8.74123,119611
-2.815581,4.4484267,9.129091,124616
-2.8921957,4.501099,9.507375,129621
-3.040636,4.5154643,9.720459,134626
-3.2489316,4.414908,9.871294,139631
-3.205836,4.235343,9.485827,144635
-3.0669725,4.0677485,8.865729,149610
-2.932897,3.98874,8.226477,154615
-2.8682537,4.0222588,7.627927,159620
-2.920926,4.3718123,7.189788,164625
-3.083732,4.7285485,6.9288197,169629
-3.0933087,5.145139,6.706159,174634
-2.3942018,5.74369,6.9886746,179609
-2.492364,5.741296,6.9743094,184613
-3.655946,5.837064,7.005434,189618
-3.86903,6.3709707,6.811504,194623
-3.1507695,6.694188,6.2871737,199628
-2.6408045,6.9383965,6.777985,204633
-2.327164,7.1849995,7.726089,209607
-2.8203697,6.7372837,8.355764,214612
-4.283227,5.9639564,9.3661175,219617
-5.17387,5.707777,8.9758625,224622
-5.130774,5.7389016,7.967903,229627
-4.7907977,5.9064956,7.7093296,234632
-5.0062757,5.5617304,7.4028716,239606
-5.791574,4.8482585,7.680599,244611
-6.373365,4.76925,7.321469,249616
-6.4044895,5.1762643,6.43322,254621
-5.949591,5.559336,6.5122285,259626
-5.6766524,5.592855,6.897695,264630
-5.791574,5.619191,7.3789296,269635
-5.9759274,5.935226,7.479486,274610
-5.8083334,6.397307,7.117962,279615
-5.3079453,6.564901,7.180211,284620
-4.876989,6.1866174,7.03177,289625
-4.7500963,5.722142,6.766014,294629
-4.781221,5.8562174,5.7987566,299634
-4.5178585,6.0645127,4.903325,304609
-4.2760444,5.705383,4.297592,309613
-4.0797195,5.3606176,2.4947581,314618
-4.924873,6.5218053,-2.6048915,319623
-5.197812,7.0221934,-1.1683705,324628
-4.685453,6.603208,1.4748282,329633
-4.570531,6.375759,2.4851813,334607
-4.745308,6.5936313,3.3782187,339612
-4.7141833,6.766014,5.068525,344617
-4.570531,6.667852,6.7109475,349622
-4.596867,6.6103907,7.489063,354627
-4.876989,6.5936313,7.393295,359632
-5.133168,6.5265937,6.9743094,364606
-5.130774,6.3661823,6.1890116,369611
-5.00867,6.208165,5.499481,374616
-4.9775453,6.0525417,4.783615,379621
-5.080496,6.019023,4.0821137,384626
-5.3079453,6.078878,3.4620156,389631
-5.619191,6.196194,2.731784,394635
-5.81791,6.2752028,2.1428106,399610
-5.877765,6.2943563,1.7118542,404615
-5.8681884,6.2967505,1.4293385,409620
-5.746084,6.351817,1.3000516,414625
-5.5497594,6.3566055,1.4748282,419629
-5.2145715,6.3781533,1.9488802,424634
-4.709395,6.5218053,2.6408045,429609
-4.175488,6.6654577,3.5170822,434613
-3.667917,6.7684083,4.7860093,439618
-2.942474,6.8545995,6.2488666,444623
-2.4253263,6.8761473,7.675811,449628
-1.8722657,6.9743094,8.406042,454633
-1.2425907,7.0605006,9.006987,459607
-0.79248077,7.074866,9.129091,464612
-0.7086837,7.03177,9.196129,469617
-0.81642276,6.64391,8.7532015,474622
-0.9911995,6.229713,8.12592,479627
-1.1827357,5.722142,7.3047094,484632
-1.4101849,5.2409077,6.5098343,489606
-1.70946,4.8745947,5.758055,494611
-2.183512,4.5992613,5.0397944,499616
-2.6503813,4.5513773,4.9224787,504621
-3.0573955,4.55856,5.032612,509626
-3.4093432,4.606444,5.243302,514630
-3.7948096,4.6279917,5.614403,519635
-4.3023806,4.735731,6.4499793,524610
-4.5394063,4.807557,7.36217,529615
-4.1826706,4.5896845,8.231265,534620
