x,y,z,timestamp
-2.8634653,4.1299977,10.072407,4896
-2.9281087,4.0916905,10.237606,9901
-2.9712043,4.0677485,10.412383,14906
-3.004723,4.1299977,10.702082,19911
-3.0478187,4.189853,10.778696,24885
-2.9712043,4.173094,10.828975,29890
-2.8682537,4.1276035,10.771513,34895
-2.7581203,4.0414124,10.651803,39899
-2.6719291,4.027047,10.491392,44904
-2.6623523,4.0318356,10.3214035,49909
-2.8754363,3.9025488,10.048465,54914
-2.9281087,3.9671922,9.679757,59888
-2.9017725,4.1491513,9.279925,64893
-2.815581,4.3406878,8.935161,69898
-2.6599581,4.462792,8.5473,74903
-2.384625,4.5034933,8.032547,79908
-2.1404164,4.572925,7.606379,84913
-1.958457,4.687847,7.261614,89887
-1.8219875,4.8458643,7.0940194,94892
-1.6879122,5.0158525,6.991069,99897
-1.4867992,5.2289367,6.6893997,104902
-1.364695,5.386954,6.7468605,109907
-1.3838485,5.4779334,6.955156,114912
-1.4748282,5.580884,7.117962,119886
-1.6376339,5.650316,7.3071036,124891
-1.8267759,5.681441,7.6351094,129896
-2.0757728,5.6335564,7.9008656,134901
-2.3918076,5.5401826,8.192958,139906
-2.6743233,5.439626,8.477868,144911
-2.4277205,5.3127337,8.925584,149885
-2.825158,4.939238,8.480263,154890
-3.572149,4.9320555,8.63828,159895
-4.1922474,5.104438,8.731653,164899
-4.405331,5.197812,8.492233,169904
-4.2521024,5.0397944,8.104373,174909
-4.039018,4.675876,7.1466923,179914
-4.201824,4.5513773,6.8306575,184888
-4.4005427,4.5753193,6.603208,189893
-4.4603977,4.6040497,6.10282,194898
-4.501099,4.6471453,5.647922,199903
-4.5154643,4.76925,5.329493,204908
-4.357447,4.927267,5.2002063,209913
-4.177882,5.068525,5.011064,214887
-3.9839516,5.1906295,4.8626237,219892
-3.8905778,5.281609,4.948815,224897
-3.7612908,5.3701944,5.2121773,229902
-3.6966474,5.5162406,5.3079453,234907
-3.7349546,5.6886234,5.4922986,239912
-3.8522706,5.9160724,5.616797,244886
-3.8666358,6.2368956,5.604826,249891
-3.9600096,6.5361705,5.542577,254896
-4.3023806,6.4308257,5.4922986,259901
-4.6040497,6.325481,5.6239796,264906
-4.5513773,6.4547677,5.8634,269911
-4.5322237,6.481104,5.9519854,274885
-4.7285485,6.1866174,4.841076,279890
-6.007052,6.399701,3.4691982,284895
-6.4284315,6.2943563,4.817134,289900
-6.069301,6.155493,5.6335564,294904
-5.559336,6.0238113,5.657499,299909
-4.960786,6.009446,5.4659624,304914
-4.5513773,6.191406,5.521029,309888
-4.5058875,6.421249,5.74369,314893
-4.501099,6.615179,5.947197,319898
-4.261679,6.6534867,6.090849,324903
-3.8977604,6.5744777,6.157887,329908
-3.4644098,6.375759,6.007052,334913
-3.3542767,6.279991,5.777209,339887
-3.5290532,6.2632318,5.4659624,344892
-3.9097314,6.2943563,5.080496,349897
-4.3358994,6.349423,4.6830587,354902
-4.7309427,6.3661823,4.096479,359907
-4.927267,6.279991,3.7014358,364912
-5.0062757,6.1890116,3.347094,369886
-5.0397944,6.0980315,3.0933087,374891
-5.149928,5.9519854,3.1172507,379896
-4.709395,5.7125654,2.707842,384901
-4.367024,5.619191,2.5234885,389906
-4.223372,5.533,2.815581,394911
-4.1419687,5.3725886,3.5410242,399885
-4.039018,5.1642933,4.656722,404890
-3.9360676,4.972757,6.567295,409895
-3.9025488,4.927267,8.576031,414899
-3.833117,4.9536033,10.225636,419904
-3.7373488,5.00867,11.477803,424909
-3.7181952,4.9799395,12.246342,429914
-3.7421372,4.7860093,12.725182,434888
-3.8259344,4.5537715,12.806585,439893
-4.0940847,4.3718123,12.619837,444898
-4.853047,4.4125137,11.480197,449903
-4.987122,4.333505,11.089942,454908
-4.596867,4.0462008,11.027693,459913
-3.9145198,3.5338416,10.31901,464887
-2.9640217,3.0502129,10.503363,469892
-2.3439236,2.6839,10.429143,474897
-2.2720973,2.7102363,10.240001,479902
-2.9903579,3.1316159,9.813833,484907
-3.7804444,3.8786068,9.181764,489912
-4.3406878,4.3861775,8.312668,494886
