x,y,z,timestamp
-2.825158,4.2640734,9.821015,3887
-2.8874073,4.295198,9.801862,8892
-2.8898015,4.2664676,9.701305,13896
-2.837129,4.247314,9.576807,18871
-2.7964275,4.283227,9.428367,23876
-2.753332,4.331111,9.320627,28881
-2.6479871,4.4101195,9.19134,33886
-2.516306,4.4556093,8.9758625,38890
-2.4492683,4.465186,8.738836,43895
-2.3822308,4.4915223,8.532935,48900
-2.3080103,4.5441947,8.444349,53875
-2.2697031,4.608838,8.367735,58879
-2.3558946,4.6662993,8.346188,63884
-2.5306711,4.7046065,8.47308,68889
-2.779668,4.7668557,8.736442,73894
-2.9352913,4.76925,8.863335,78899
-3.0885203,4.6591167,8.858546,83873
-3.2489316,4.510676,8.781932,88878
-3.4284968,4.4005427,8.738836,93883
-3.5936968,4.3358994,8.559271,98888
-3.7086184,4.4125137,8.59279,103893
-3.679888,4.522647,8.568848,108898
-3.5697548,4.642357,8.422802,113872
-3.490746,4.771644,8.47308,118877
-3.1866825,4.7644615,8.032547,123882
-2.9831753,4.7548847,7.867347,128887
-2.6240451,4.745308,7.4627266,133892
-2.7844565,4.96318,7.3525934,138896
-3.0071173,5.106832,7.285556,143871
-3.3375173,5.243302,7.1083846,148876
-3.5553896,5.3127337,7.065289,153881
-3.7014358,5.365406,6.9623384,158886
-3.7588966,5.365406,6.754043,163891
-3.7828386,5.3318872,6.5218053,168895
-3.8307228,5.379771,6.1866174,173900
-3.9121256,5.521029,6.033388,178875
-3.9911342,5.793968,5.971139,183879
-3.892972,6.43322,5.8107276,188884
-4.5920787,6.777985,5.403713,193889
-5.17387,6.823475,5.770026,198894
-4.7979803,6.619968,5.45878,203899
-4.3957543,6.196194,5.092467,208873
-4.307169,5.9041014,5.104438,213878
-4.297592,5.7149596,5.12838,218883
-4.2880154,5.5282116,5.3103395,223888
-4.1683054,5.415684,5.875371,228893
-3.9456444,5.5258174,6.2345014,233898
-3.596091,5.722142,6.4882865,238872
-3.205836,5.8681884,6.5816603,243877
-2.8395233,5.9280434,6.5002575,248882
-2.585738,5.9064956,6.3230867,253887
-2.6001031,5.839458,6.155493,258892
-2.791639,5.753267,5.93762,263896
-3.083732,5.6551046,5.6551046,268871
-3.3686419,5.595249,5.3582234,273876
-3.70383,5.5042696,4.9440265,278881
-3.8953662,5.4563856,4.63278,283886
-4.0797195,5.415684,4.3861775,288890
-4.3143516,5.3845596,4.268862,293895
-4.5082817,5.3462524,4.2904096,298900
-4.6830587,5.315128,4.55856,303875
-4.9440265,5.233725,4.9799395,308879
-4.8745947,5.104438,5.45878,313884
-4.7429137,5.0541596,6.1387334,318889
-4.6662993,5.0278234,7.050924,323894
-4.6016555,4.9775453,8.300697,328899
-4.525041,4.9224787,9.375694,333873
-4.3526587,4.831499,10.378864,338878
-4.146757,4.783615,11.135432,343883
-3.8546648,4.7524905,11.674128,348888
-3.4452562,4.7309427,11.954249,353893
-3.1411927,4.711789,11.911154,358898
-2.908955,4.7524905,11.654974,363872
-2.7365725,4.7788267,11.355699,368877
-2.6384103,4.805163,10.824186,373882
-2.566584,4.8267107,9.931149,378887
-2.5713725,4.7979803,9.222465,383892
-2.6431987,4.793192,8.463503,388896
-2.765303,4.781221,7.735666,393871
-2.9233203,4.805163,6.9958572,398876
-3.1411927,4.8219223,6.1890116,403881
-3.2632968,4.853047,5.616797,408886
-3.3638535,4.817134,5.1666875,413890
-3.4380736,4.7884035,4.891354,418895
-3.430891,4.747702,4.7620673,423900
-3.3686419,4.6902413,4.807557,428875
-3.3303347,4.7022123,5.0134583,433879
-3.3279405,4.6662993,5.365406,438884
-3.3662477,4.6232033,5.8442464,443889
-3.4237084,4.5920787,6.4044895,448894
-3.4955344,4.560954,7.1706343,453899
-3.5697548,4.5418005,7.7548194,458873
-3.6272156,4.5154643,8.429984,463878
-3.6703112,4.486734,9.141062,468883
-3.6750996,4.4580035,9.672575,473888
-3.667917,4.381389,10.055647,478893
-3.5362358,4.256891,10.383653,483898
-3.4284968,4.146757,10.498574,488872
-3.3423057,4.000711,11.492168,493877
-3.1268275,3.86903,12.069171,498882
-3.1507695,4.1826706,10.907983,503887
-3.3087866,4.6399627,9.840169,508892
-3.3159695,4.984728,8.726865,513896
-3.1962593,5.255273,7.8505874,518871
-2.791639,5.2624555,7.419631,523876
-2.2720973,5.070919,7.290344,528881
-1.8555063,4.807557,7.1275387,533886
-1.7621324,4.673482,7.1131735,538891
-1.7836803,4.687847,7.1251445,543895
-1.8986019,4.7429137,7.2209125,548900
-2.0350714,4.7764325,7.2592196,553875
-2.2098482,4.7548847,7.261614,558879
-2.3918076,4.7548847,7.2448545,563884
-2.5833437,4.76925,7.204153,568889
-2.7868507,4.781221,7.216124,573894
-2.8778305,4.771644,7.249643,578899
