x,y,z,timestamp
-2.8179753,3.6487634,10.642226,826
-2.813187,3.6367924,10.469844,5800
-2.801216,3.6032736,10.292673,10805
-2.80361,3.6272156,10.101137,15810
-2.8299465,3.6727054,9.957485,20815
-2.813187,3.7253778,9.859323,25820
-2.7629087,3.763685,9.679757,30825
-2.6408045,3.799598,9.55047,35799
-2.4708161,3.8474822,9.528923,40804
-2.2816741,3.881001,9.442732,45809
-2.0590134,3.916914,9.23683,50813
-1.8746599,3.9839516,8.99741,55818
-1.7621324,4.084508,8.836999,60823
-1.6448165,4.1922474,8.7292595,65798
-1.5442601,4.3263226,8.504205,70803
-1.484405,4.4196963,8.3390045,75807
-1.436521,4.477157,8.238448,80812
-1.4197617,4.570531,8.106767,85817
-1.4053963,4.6471453,7.9511437,90822
-1.4532804,4.7548847,7.8793178,95827
-1.5059528,4.855441,7.905654,100801
-1.6328455,4.9320555,8.046912,105806
-1.733402,4.9943047,8.298303,110811
-1.8219875,5.0182467,8.463503,115816
-1.8602947,4.9775453,8.719683,120821
-1.9129672,4.9105077,8.899248,125826
-1.9847932,4.8147397,8.9519205,130800
-2.111686,4.7429137,8.899248,135805
-2.195483,4.6591167,8.825027,140810
-2.2984335,4.5801077,8.588001,145815
-2.4827871,4.63278,8.288726,150820
-2.5953147,4.6686935,7.9128366,155825
-2.6072857,4.685453,7.517793,160799
-2.6144683,4.6926355,7.1107793,165804
-2.6503813,4.699818,6.8689647,170809
-2.7102363,4.7261543,6.682217,175813
-2.7102363,4.7429137,6.4882865,180818
-2.6479871,4.8003745,6.385336,185823
-2.5450363,4.8841715,6.279991,190798
-2.3558946,5.0038815,6.066907,195803
-2.267309,5.092467,6.0381765,200807
-2.327164,5.17387,6.337452,205812
-2.4779987,5.195418,6.6630635,210817
-2.4947581,5.1786585,6.8091097,215822
-2.432509,5.056554,6.8210807,220827
-2.5091233,4.9464207,6.8426285,225801
-2.6503813,4.8482585,6.8282633,230806
-2.755726,4.8386817,6.739678,235811
-2.8083985,4.8841715,6.6870055,240816
-2.7844565,4.8985367,6.6965823,245821
-2.7341783,4.8602295,6.694188,250826
-2.72939,4.819528,6.6415157,255800
-2.825158,4.759673,6.5505357,260805
-2.956839,4.6806645,6.531382,265810
-3.074155,4.5777135,6.5744777,270815
-3.1435869,4.501099,6.576872,275820
-3.2225955,4.474763,6.603208,280825
-3.2992098,4.462792,6.801927,285799
-3.3183637,4.4460325,7.0940194,290804
-3.122039,4.4005427,7.6255326,295809
-2.9352913,4.355053,8.109161,300813
-2.717419,4.343082,8.597578,305818
-2.5689783,4.2999864,9.028535,310823
-2.5019407,4.24492,9.442732,315798
-2.504335,4.211401,9.785102,320803
-2.5258827,4.1802764,9.976639,325808
-2.4612393,4.1371803,10.005369,330812
-2.408567,4.120421,9.92636,335817
-2.3894134,4.1156325,9.758766,340822
-2.3774424,4.146757,9.440337,345827
-2.4013844,4.175488,9.052477,350801
-2.3630772,4.1659107,8.688558,355806
-2.3439236,4.1276035,8.310274,360811
-2.3798366,4.0916905,7.965509,365816
-2.4277205,4.0653543,7.6111674,370821
-2.4971523,4.036624,7.129933,375826
-2.528277,4.039018,6.861782,380800
-2.4899697,4.027047,6.682217,385805
-2.4157495,4.000711,6.6175733,390810
-2.3295584,3.9624038,6.7109475,395815
-2.2409728,3.8857894,7.0221934,400820
-2.2385786,3.8163576,7.3166804,405825
-2.2601264,3.7325604,7.7332716,410799
-2.3535004,3.6894648,8.207323,415804
-2.4899697,3.6176388,8.75799,420809
-2.6192567,3.5290532,9.466674,425813
-2.6168625,3.4117374,9.945514,430818
-2.5617957,3.3542767,10.338163,435823
-2.4971523,3.3135753,10.589554,440798
-2.4540567,3.3087866,10.745177,445803
-2.4229321,3.3423057,10.903194,450808
-2.4061728,3.3734303,10.96305,455812
-2.3870192,3.394978,10.977415,460817
-2.3463178,3.4141316,11.070788,465822
-2.2625206,3.4404678,11.092337,470827
-2.1763294,3.4883518,10.984597,475801
-2.1332338,3.514688,10.931925,480806
-2.0757728,3.5482068,10.87207,485811
-2.0135236,3.596091,10.78109,490816
-1.9009962,3.643975,10.673351,495821
-1.7908629,3.6727054,10.565612,500826
-1.6903064,3.691859,10.390836,505800
-1.6807296,3.679888,10.180145,510805
-1.7429788,3.667917,9.995792,515810
-1.8674773,3.6511576,9.785102,520815
-2.1452048,3.6296098,9.473856,525820
-2.372654,3.58412,9.174581,530825
-2.6192567,3.5122938,9.500193,535799
-2.516306,3.2848446,10.565612,540804
-2.5570073,3.3207579,9.813833,545809
-3.0550013,3.4644098,8.822633,550813
-3.1124623,3.5889084,7.8865004,555818
-2.8323407,3.6583402,7.40766,560823
-2.2936451,3.596091,7.469909,565798
-1.7501614,3.4763808,7.656657,570803
-1.4030021,3.430891,7.7452426,575808
-1.2761095,3.550601,7.764396,580812
-1.2737153,3.6990416,7.8050976,585817
-1.3982137,3.7684734,7.884106,590822
-1.5682021,3.7684734,8.104373,595827
-1.7190368,3.7301662,8.418014,600801
-1.7621324,3.7421372,8.856153,605806
-1.7669208,3.7301662,9.169792,610811
-1.8243817,3.7014358,9.452309,615816
-1.9273324,3.632004,9.64145,620821
-2.0709844,3.5793316,9.698911,625826
-2.2361844,3.5793316,9.646238,630800
-2.315193,3.5865142,9.519346,635805
-2.3630772,3.5889084,9.416395,640810
