x,y,z,timestamp
-2.7748797,2.2960393,10.769119,774
-2.4971523,2.2290018,11.046846,5779
-2.5785553,2.4396915,11.252748,10783
-2.9376855,2.2409728,11.295844,15788
-3.0789435,2.2816741,11.001357,20763
-2.9376855,2.492364,10.807426,25768
-2.540248,2.621651,10.460267,30772
-2.825158,1.946486,9.682152,35777
-2.456451,1.9249382,9.483433,40782
-2.219425,1.9728222,9.284714,45787
-1.9416976,2.2697031,9.069236,50761
-1.8698715,2.552219,8.956709,55766
-1.8052281,3.0142999,8.640674,60771
-1.7118542,3.3303347,8.298303,65776
-1.400608,3.9360676,7.8386164,70781
-1.1061212,4.0318356,7.639898,75786
-0.830788,3.8594532,6.43322,80760
-0.60333884,3.7684734,5.9304376,85765
-0.3854665,3.9959226,5.9783216,90770
-0.25139117,4.426879,6.227319,95775
-0.33758244,4.8698063,6.5122285,100780
-0.5267244,5.1690817,6.691794,105785
-0.6631939,5.207389,6.871359,110759
-0.6368576,5.073313,7.1347213,115764
-0.61530983,4.9464207,7.345411,120769
-0.6823475,4.876989,7.5561004,125774
-0.93373865,4.7500963,7.632715,130779
-1.4891934,4.656722,7.7667904,135783
-1.8507179,4.5178585,7.979874,140788
-2.4468741,4.6112323,8.178593,145763
-3.0597897,4.618415,8.219295,150768
-3.3925838,4.596867,7.9152308,155772
-3.7062242,4.4915223,7.776367,160777
-3.9336734,4.4436383,7.9870567,165782
-4.2401314,4.5034933,8.2169,170787
-4.5681367,4.7261543,8.358158,175761
-4.9200845,5.0374002,8.429984,180766
-5.2385135,5.3821654,8.271967,185771
-5.3678,5.5497594,7.9272017,190776
-5.470751,5.4204726,7.4723034,195781
-5.57849,5.2480903,6.933608,200786
-5.554548,4.927267,6.471527,205760
-5.533,4.55856,6.0525417,210765
-5.4779334,4.297592,5.7748146,215770
-5.5617304,4.225766,5.6982,220775
-5.695806,4.268862,5.6551046,225780
-5.875371,4.378995,5.6551046,230785
-6.090849,4.5298295,5.877765,235759
-6.2345014,4.8626237,6.030994,240764
-6.291962,5.1116204,6.2847795,245769
-6.361394,5.116409,6.6415157,250774
-6.4164605,5.0302176,6.921637,255779
-6.3350577,5.0182467,7.177817,260783
-6.1626754,5.011064,7.5082164,265788
-6.0764837,5.0541596,7.675811,270763
-5.920861,5.020641,7.8505874,275768
-5.7963624,4.9655743,7.795521,280772
-5.5401826,4.9583917,7.5441294,285777
-5.2863975,4.644751,7.1466923,290782
-4.9105077,4.2784386,6.6989765,295787
-4.831499,4.0581717,6.6391215,300761
-5.149928,4.2066126,6.517017,305766
-5.4420204,4.4580035,6.184223,310771
-5.8562174,4.8219223,5.829881,315776
-6.229713,5.149928,5.434838,320781
-6.600814,5.437232,5.0613422,325786
-6.861782,5.568913,4.697424,330760
-7.053318,5.556942,4.3287168,335765
-7.204153,5.463568,2.56419,340770
-7.795521,5.681441,0.78769237,345775
-8.358158,5.9064956,0.059855044,350780
