x,y,z,timestamp
-2.6527755,2.7269957,11.528081,4924
-2.7389667,2.7605145,11.394006,9929
-2.7605145,2.7700913,11.204864,14934
-2.7389667,2.777274,11.039664,19939
-2.813187,2.8491,10.850522,24913
-2.815581,2.930503,10.733206,29918
-2.837129,3.0142999,11.001357,34923
-2.7102363,3.0693667,11.200075,39928
-2.5689783,3.0813377,11.140221,44933
-2.4420857,3.0382419,10.9822035,49937
-2.3247697,2.944868,10.730812,54912
-2.2481554,2.885013,10.409989,59917
-2.3080103,2.885013,10.120291,64922
-2.3750482,2.9712043,9.799467,69926
-2.408567,3.1124623,9.536105,74931
-2.2122424,3.2704794,9.11712,79936
-1.982399,3.3542767,8.628703,84941
-1.9512744,3.454833,8.453926,89915
-1.99437,3.5865142,8.180987,94920
-2.1380222,3.787627,8.288726,99925
-2.360683,4.072537,8.348581,104930
-2.5474305,4.3358994,8.24563,109935
-2.695871,4.55856,8.322245,114940
-2.7269957,4.721366,8.23366,119914
-2.731784,4.781221,8.1881695,124919
-2.80361,4.7788267,8.48984,129924
-2.8514943,4.7620673,8.6334915,134929
-2.8754363,4.7668557,8.511387,139934
-3.0023289,4.7644615,8.422802,144939
-3.157952,4.7309427,8.487445,149913
-3.2082303,4.654328,8.271967,154918
-3.1986535,4.594473,8.085219,159923
-3.2034419,4.534618,7.860164,164928
-3.1603463,4.5298295,7.4483614,169932
-3.1172507,4.5441947,6.981492,174937
-3.071761,4.6136265,6.229713,179912
-3.0023289,4.6950297,5.781997,184917
-2.8275523,4.879383,5.5018754,189922
-2.5354595,5.1642933,5.985504,194926
-2.918532,5.085284,5.0996494,199931
-3.2106245,4.948815,4.9440265,204936
-3.193865,4.9895163,5.0014873,209941
-3.0238767,5.121197,4.8865657,214915
-2.7605145,5.3318872,4.0198646,219920
-2.7605145,5.8322754,2.5713725,224925
-3.5170822,6.054936,3.8666358,229930
-3.478775,5.74369,5.3223104,234935
-3.5003228,5.6407394,5.6766524,239940
-3.560178,5.674258,5.78918,244914
-3.4476504,5.722142,5.973533,249919
-3.2082303,5.7484784,6.349423,254924
-3.1411927,5.683835,6.7109475,259929
-3.1627405,5.554548,6.933608,264934
-3.2106245,5.4300494,7.062895,269939
-3.3279405,5.327099,7.062895,274913
-3.5482068,5.3438582,6.8785415,279918
-3.6343982,5.5162406,6.5840545,284923
-3.53863,5.5521536,6.2632318,289928
-3.3638535,5.4204726,5.8634,294932
-3.277662,5.2289367,5.427655,299937
-3.4404678,5.106832,5.0493712,304912
-3.7181952,5.085284,4.7070007,309917
-4.039018,5.159505,4.654328,314922
-4.331111,5.281609,4.7405195,319926
-4.5322237,5.365406,4.924873,324931
-4.5872903,5.427655,5.2121773,329936
-4.5034933,5.4420204,5.60722,334941
-4.3287168,5.415684,5.935226,339915
-4.110844,5.3845596,6.2464724,344920
-3.9432502,5.3701944,6.5218053,349925
-3.799598,5.327099,6.7612257,354930
-3.6104562,5.29358,6.9503675,359935
-3.4500446,5.2504845,7.1730285,364940
-3.2992098,5.2265425,7.5441294,369914
-3.107674,5.1786585,8.025364,374919
-2.906561,5.142745,8.525752,379924
-2.681506,5.1116204,9.085996,384929
-2.5953147,5.056554,9.399636,389934
-2.566584,4.9943047,9.64145,394939
-2.6671407,4.9105077,9.821015,399913
-2.7724855,4.8123455,9.835381,404918
-2.9520507,4.6902413,9.65821,409923
-3.2130187,4.642357,9.478644,414928
-3.359065,4.537012,9.11712,419933
-3.41892,4.429273,8.422802,424937
-3.4380736,4.39336,7.627927,429912
-3.514688,4.3861775,6.9024835,434917
-3.5553896,4.378995,6.5816603,439922
-3.4859576,4.309563,6.375759,444926
-3.277662,4.201824,6.1507044,449931
-3.0550013,4.0892963,5.837064,454936
-2.825158,4.036624,5.7005944,459941
-2.6527755,4.048595,5.746084,464915
-2.5258827,4.039018,5.911284,469920
-2.408567,3.9791632,6.14831,474925
-2.303222,3.8594532,6.5146227,479930
-2.1787236,3.6248214,6.967127,484935
-2.1212628,3.4045548,7.3286514,489940
-2.1140802,3.2010477,7.704541,494914
-2.1380222,3.0382419,8.034941,499919
-2.2242134,2.9041667,8.415619,504924
-2.4253263,2.7700913,8.875306,509929
-2.6001031,2.5713725,9.3421755,514934
-2.717419,2.4468741,9.885659,519939
-2.813187,2.3750482,10.426748,524913
-2.870648,2.360683,10.936713,529918
-2.9640217,2.3989902,11.523293,534923
-3.0550013,2.420538,12.332533,539928
-3.0430303,2.4516625,12.777855,544933
-3.0262709,2.4636335,13.10586,549937
-3.040636,2.4660277,13.364434,554912
-3.086126,2.432509,13.532028,559917
-3.1627405,2.3989902,13.587094,564922
-3.3039982,2.3391352,13.462596,569926
-3.490746,2.3391352,13.158532,574931
-3.6631286,2.3295584,12.741941,579936
-3.8666358,2.348712,12.181698,584941
-3.9504328,2.4133554,11.360487,589915
-3.952827,2.4468741,10.594342,594920
-3.8594532,2.4779987,9.739613,599925
-3.6607344,2.5570073,8.990228,604930
-3.3854012,2.621651,8.506598,609935
-2.861071,2.6120741,9.765948,614940
-2.3750482,2.6072857,9.325416,619914
-2.3223755,2.7509377,8.540117,624919
-2.456451,2.9879637,8.051701,629924
-2.4732103,3.2273839,7.4004774,634929
-2.3654714,3.241749,7.297527,639934
-2.1906946,3.0573955,7.6853876,644939
-2.0518308,2.8658595,8.082825,649913
-2.0566192,2.7868507,8.403648,654918
-2.1691468,2.8083985,8.65025,659923
-2.3175871,2.8682537,8.889671,664928
-2.456451,2.846706,9.090784,669932
-2.5713725,2.7485435,9.267955,674937
-2.693477,2.6719291,9.421184,679912
-2.7988217,2.5833437,9.55047,684917
-2.9281087,2.56419,9.677363,689922
-3.0334535,2.6072857,9.80665,694926
-3.0813377,2.6288335,9.835381,699931
-3.0334535,2.6144683,9.854534,704936
-2.966416,2.5953147,9.7563715,709941
-2.89459,2.621651,9.607931,714915
-2.837129,2.6599581,9.404425,719920
