x,y,z,timestamp
-1.9680338,3.4476504,10.524911,2973
-2.066196,3.4620156,10.5704,7978
-2.111686,3.442862,10.515334,12952
-2.0973208,3.4117374,10.402806,17957
-2.1188686,3.4165258,10.151415,22962
-2.1571758,3.3806129,9.940725,27967
-2.1787236,3.347094,9.698911,32972
-2.2290018,3.371036,9.459491,37977
-2.2720973,3.4165258,9.330204,42951
-2.1811178,3.4093432,9.198523,47956
-2.054225,3.4021606,8.973468,52961
-1.8555063,3.4045548,8.743625,57966
-1.6639702,3.3901896,8.525752,62971
-1.532289,3.3973722,8.389283,67976
-1.4556746,3.4380736,8.358158,72950
-1.3910311,3.5051112,8.377312,77955
-1.376666,3.560178,8.451532,82960
-1.364695,3.6296098,8.59279,87965
-1.3790601,3.6774938,8.75799,92970
-1.3934253,3.7373488,8.968679,97975
-1.4293385,3.7852328,9.212888,102979
-1.4676456,3.7828386,9.394848,107954
-1.4700398,3.727772,9.483433,112959
-1.5275006,3.7181952,9.610326,117963
-1.541866,3.8019924,9.730036,122968
-1.4939818,3.9336734,9.701305,127973
-1.4413095,3.9719806,9.667787,132978
-1.3838485,3.9145198,9.753978,137952
-1.3431472,3.8426938,10.005369,142957
-1.2952632,3.8043866,10.261548,147962
-1.352724,3.6703112,10.462662,152967
-1.4556746,3.5817258,10.486604,157972
-1.4556746,3.4883518,10.2974615,162977
-1.4820108,3.406949,9.986216,167951
-1.5801731,3.3806129,9.598354,172956
-1.769315,3.3806129,9.143456,177961
-1.8914193,3.442862,8.865729,182966
-1.9608512,3.4859576,8.528147,187971
-1.9776106,3.5434184,8.200141,192976
-1.9991584,3.5577838,7.819463,197950
-2.0159178,3.5865142,7.517793,202955
-1.9871874,3.632004,6.9886746,207960
-1.9656396,3.608062,6.6079965,212965
-2.0326772,3.6415808,6.5840545,217970
-2.1260512,3.6343982,6.8162923,222975
-2.1499932,3.6224272,7.0700774,227979
-2.1452048,3.6296098,7.1993647,232954
-2.2337902,3.620033,7.477092,237959
-2.2625206,3.58412,7.955932,242964
-2.1906946,3.5625722,8.477868,247968
-2.0757728,3.5314474,8.992621,252973
-1.9512744,3.5482068,9.205706,257978
-1.8315643,3.6248214,9.299079,262952
-1.721431,3.8139634,9.222465,267957
-1.5825673,3.857059,9.050082,272962
-1.3838485,3.799598,8.808268,277967
-1.3096284,3.6583402,8.62152,282972
-1.3670892,3.608062,8.485051,287977
-1.4939818,3.572149,8.3150625,292951
-1.685518,3.5889084,8.123527,297956
-1.8866309,3.655946,8.001422,302961
-2.0446482,3.7900212,8.0445175,307966
-2.1092918,3.8402996,8.101978,312971
-2.1332338,3.8498764,8.207323,317976
-2.1404164,3.7972038,8.39886,322950
-2.1308396,3.727772,8.655039,327955
-2.0494366,3.6056678,8.968679,332960
-1.9656396,3.5098996,9.203311,337965
-1.8962077,3.454833,9.397242,342970
-1.8124107,3.4213142,9.516952,347975
-1.7262194,3.4356794,9.528923,352979
-1.6711528,3.442862,9.435549,357954
-1.6759412,3.4476504,9.380483,362959
-1.6448165,3.4404678,9.284714,367963
-1.6280571,3.4500446,9.138668,372968
-1.5586253,3.5051112,9.004593,377973
-1.5035586,3.5553896,8.853758,382978
-1.4748282,3.5793316,8.748413,387952
-1.42455,3.5913026,8.676587,392957
-1.3575124,3.5936968,8.669404,397962
-1.3383588,3.5482068,8.7532015,402967
-1.3311762,3.5075054,8.767567,407972
-1.3694834,3.4763808,8.724471,412977
-1.4676456,3.4811692,8.719683,417951
-1.5849615,3.4644098,8.779537,422956
-1.697489,3.4404678,8.841787,427961
-1.8459295,3.4093432,8.908825,432966
-1.9560628,3.347094,8.990228,437971
-1.9680338,3.2824504,9.093178,442976
-1.9752164,3.2225955,9.179369,447950
-2.0709844,3.2034419,9.296685,452955
-2.0638018,3.1675289,9.404425,457960
-2.066196,3.1268275,9.454702,462965
-2.1260512,3.1196449,9.428367,467970
-2.1883004,3.1052797,9.394848,472975
-2.255338,3.1268275,9.414001,477979
-2.3247697,3.1866825,9.459491,482954
-2.3798366,3.2393548,9.504981,487959
-2.3511062,3.1747115,10.575189,492963
-2.066196,3.0933087,11.305421,497968
-2.0446482,3.1292217,10.723629,502973
-2.1092918,3.169923,10.0987425,507978
-2.0350714,3.301604,9.782708,512952
-1.970428,3.4237084,9.574412,517957
-1.8195933,3.4620156,9.497798,522962
-1.6017209,3.4141316,9.354146,527967
-1.3742718,3.3925838,9.030929,532972
-1.2354081,3.4452562,8.6813755,537977
-1.1324574,3.5290532,8.4347725,542951
-1.1061212,3.5745432,8.271967,547956
-1.1587936,3.5649664,8.171411,552961
-1.1563994,3.5218706,8.149862,557966
-1.1420342,3.4691982,8.1642275,562971
-1.1731589,3.478775,8.224083,567976
-1.2521675,3.4883518,8.346188,572950
-1.376666,3.5194764,8.5473,577955
-1.496376,3.5122938,8.810662,582960
-1.6232687,3.4572272,9.095572,587965
-1.685518,3.3973722,9.332599,592970
-1.7070658,3.3566709,9.497798,597975
-1.733402,3.2872388,9.593566,602979
-1.745373,3.2872388,9.639056,607954
