x,y,z,timestamp
-2.7700913,2.8107927,10.955867,305
-2.9017725,2.8107927,11.20247,5310
-2.9472623,2.815581,11.269507,10284
-2.9712043,2.8634653,11.259931,15289
-2.9975405,2.9233203,11.235989,20294
-2.9783869,2.944868,11.171345,25299
-2.9472623,3.0142999,11.109096,30304
-2.9113493,3.0478187,10.994174,35308
-2.861071,3.0454245,10.879252,40283
-2.9496565,3.0813377,11.058818,45288
-2.944868,3.110068,11.209652,50292
-2.920926,3.1364043,11.286267,55297
-2.89459,3.1603463,11.267113,60302
-2.882619,3.1890767,11.341333,65307
-2.7269957,3.2154129,11.216835,70282
-2.4588451,3.2513258,10.929531,75287
-2.2242134,3.2632968,10.4171715,80291
-1.9895816,3.335123,9.581595,85296
-1.9249382,3.4596214,8.815451,90301
-1.9273324,3.632004,8.034941,95306
-2.0326772,3.8833952,7.3885064,100311
-2.1021092,4.144363,6.8545995,105285
-2.2601264,4.462792,6.361394,110290
-2.291251,4.7261543,6.181829,115295
-2.2409728,4.8817773,6.2464724,120300
-2.123657,4.9895163,6.4763155,125305
-2.0087352,5.0158525,6.739678,130310
-1.958457,5.0254292,7.043741,135284
-1.9680338,4.996699,7.3430166,140289
-2.0925324,5.0014873,7.7548194,145294
-2.2744915,5.035006,8.346188,150299
-2.456451,5.046977,8.772355,155303
-2.5594015,5.0158525,8.956709,160308
-2.6288335,4.9823337,9.035717,165283
-2.6479871,4.924873,9.016563,170288
-2.6288335,4.8578353,8.901642,175292
-2.6408045,4.84347,8.848969,180297
-2.6599581,4.8219223,8.875306,185302
-2.6408045,4.8602295,8.6095495,190307
-2.6240451,4.903325,8.159439,195282
-2.6240451,4.936844,7.704541,200286
-2.6144683,4.96318,7.285556,205291
-2.5498247,4.9943047,6.6750345,210296
-2.5689783,5.0493712,6.0764837,215301
-2.5689783,5.044583,5.391742,220306
-2.6192567,5.1786585,4.807557,225311
-2.7389667,5.305551,4.5418005,230285
-2.846706,5.4922986,4.3598413,235290
-2.885013,5.6359506,4.3023806,240295
-2.9017725,5.734113,4.3263226,245300
-2.8754363,5.781997,4.283227,250305
-2.6647465,5.753267,3.5936968,255310
-3.0214825,5.9424086,3.6056678,260284
-3.0909145,5.9400144,4.6160207,265289
-3.0573955,5.8346696,5.2863975,270294
-3.0071173,5.777209,5.592855,275299
-2.9281087,5.7987566,5.6886234,280303
-2.8658595,5.8945246,5.662287,285308
-2.80361,5.9424086,5.6120086,290283
-2.717419,5.8945246,5.4300494,295288
-2.6767175,5.837064,5.2648497,300292
-2.633622,5.791574,5.044583,305297
-2.6288335,5.741296,4.7907977,310302
-2.6599581,5.6766524,4.309563,315307
-2.6743233,5.6335564,3.8881836,320282
-2.7485435,5.6096144,3.4955344,325286
-2.8538885,5.57849,3.2728736,330291
-2.966416,5.5497594,3.3614593,335296
-3.0621839,5.475539,3.8283286,340301
-3.0119057,5.363012,4.4364557,345306
