x,y,z,timestamp
-2.6384103,2.9161377,11.307815,2359
-2.7389667,2.9592333,11.235989,7364
-2.707842,3.0095115,11.183316,12369
-2.870648,3.265691,11.130644,17374
-2.6599581,3.2321723,11.286267,22379
-2.3558946,3.1651347,11.520899,27383
-2.1571758,3.107674,11.544841,32358
-1.946486,3.0693667,11.434708,37363
-1.7429788,3.0262709,11.252748,42367
-2.0135236,2.5833437,10.97502,47372
-1.8148049,2.542642,10.644621,52377
-1.6519991,2.6240451,10.079589,57382
-1.3239936,2.8323407,9.370906,62357
-0.9600749,3.0765493,8.532935,67362
-0.7685388,3.1531637,7.6470804,72366
-1.1540052,2.7222073,6.8330517,77371
-0.8331822,2.420538,5.619191,82376
-0.8523358,2.5091233,5.3438582,87381
-0.8451532,2.6791117,5.281609,92355
-0.37110126,2.3391352,5.0134583,97360
-0.23463176,2.5378537,5.2648497,102365
-0.9983821,3.347094,5.379771,107370
-1.7836803,4.0533834,5.734113,112375
-2.3678656,4.6136265,6.399701,117380
-2.5115175,4.984728,7.0245876,122354
-2.171541,5.209783,7.515399,127359
-1.4413095,5.473145,7.989451,132364
-0.6655881,6.126762,8.7292595,137369
-0.24181437,6.7731967,10.395624,142374
-0.80205756,7.015011,11.070788,147379
-1.6903064,7.079654,11.899182,152383
-2.1428106,6.897695,11.688493,157358
-2.3630772,6.4739213,11.398794,162363
-2.7820623,5.959168,11.022904,167367
-3.2010477,5.415684,10.433931,172372
-3.572149,4.88896,9.615114,177377
-4.027047,4.4843397,8.317456,182382
-4.2664676,4.5681367,7.1849995,187357
-4.5274353,5.1930237,6.10282,192362
-5.104438,6.397307,5.1259856,197366
-4.948815,6.576872,4.9919105,202371
-4.596867,6.619968,4.560954,207376
-4.280833,6.5098343,4.4316673,212381
-4.2161894,6.4260373,4.4580035,217355
-4.187459,6.327875,4.747702,222360
-4.261679,6.1507044,5.269638,227365
-4.4795513,6.114791,5.765238,232370
-4.7141833,6.184223,6.045359,237375
-5.08289,6.1938,6.2943563,242380
-5.3079453,5.9041014,6.6534867,247354
-5.439626,5.638345,6.9240313,252359
-5.4779334,5.518635,7.321469,257364
-5.485116,5.33907,7.9726915,262369
-5.5760956,5.4180784,8.267179,267374
-5.753267,5.861006,8.240842,272379
-5.8586116,5.9663506,8.219295,277383
-5.841852,5.925649,7.9966335,282358
-5.6239796,5.935226,7.3645644,287363
-5.4803276,5.932832,6.7851677,292367
-5.29358,5.837064,6.3302693,297372
-5.1571107,5.793968,5.841852,302377
-5.0278234,5.849035,5.2744265,307382
-4.9296613,6.0118403,4.6710877,312357
-4.8578353,6.0956373,4.259285,317362
-4.697424,6.232107,2.8658595,322366
-4.8219223,6.5122285,-0.35673606,327371
-4.9344497,6.679823,-1.8387469,332376
-4.63278,6.6103907,-0.4261679,337381
-4.5418005,6.6079965,0.2896984,342355
-4.5753193,6.5625067,1.1994951,347360
-4.596867,6.5481415,2.4708161,352365
-4.6782703,6.576872,3.904943,357370
-4.999093,6.6103907,5.3845596,362375
-5.3678,6.6534867,6.0405707,367380
-5.865794,6.6630635,6.2584434,372354
-6.421249,6.6391215,6.0836663,377359
-6.921637,6.579266,5.60722,382364
-7.264008,6.4978633,4.819528,387369
-7.4962454,6.483498,4.213795,392374
-7.6255326,6.5720835,3.7828386,397379
-7.639898,6.742072,3.5673606,402383
-7.5082164,6.919243,3.4931402,407358
-7.0820484,7.103596,3.466804,412363
-6.543353,7.2209125,3.442862,417367
-5.9663506,7.3166804,3.4213142,422372
-5.425261,7.4268136,3.3973722,427377
-4.9105077,7.539341,3.394978,432382
-4.343082,7.728483,3.4380736,437357
-3.9312792,7.831434,3.5218706,442362
-3.679888,7.797915,3.763685,447366
-3.4237084,7.608773,4.1491513,452371
-3.095703,7.309498,4.3263226,457376
-2.755726,7.1466923,4.2401314,462381
-2.5929205,6.981492,4.012682,467355
-2.5833437,6.909666,3.9480386,472360
-2.528277,6.7731967,4.036624,477365
-2.4420857,6.6965823,4.321534,482370
-2.4468741,6.5696893,4.7046065,487375
-2.4732103,6.3566055,5.243302,492380
-2.4277205,6.205771,5.875371,497354
-2.1739352,5.8705826,6.459556,502359
-1.3263878,5.032612,7.026982,507364
-1.2354081,4.876989,8.049306,512369
-1.2880806,4.781221,9.143456,517374
-1.3383588,4.795586,9.950302,522379
-1.3096284,4.7979803,10.412383,527383
-1.2761095,4.7644615,10.534488,532358
-1.4915876,4.6016555,10.060435,537363
-1.6711528,4.4125137,9.325416,542367
-1.7286136,4.24492,8.499416,547372
-1.8986019,4.0581717,7.4483614,552377
-2.2409728,4.0773253,6.9264255,557382
-2.719813,4.1012673,7.103596,562357
-3.0382419,3.9576154,7.541735,567362
-3.0334535,3.7373488,7.7452426,572366
-3.6296098,4.060566,8.111555,577371
-3.454833,3.8833952,8.422802,582376
-3.0262709,3.5458126,8.63828,587381
-2.585738,3.1914709,8.7125,592355
-2.3654714,2.9520507,8.643068,597360
-2.2744915,2.7988217,8.487445,602365
-2.303222,2.7365725,8.3868885,607370
-2.3894134,2.779668,8.312668,612375
-2.4971523,2.9400797,8.3821,617380
-2.5761611,3.1723173,8.760384,622354
-2.5929205,3.490746,9.212888,627359
-2.5905263,3.7828386,9.572019,632364
-2.480393,4.0294414,9.797073,637369
-2.2098482,4.132392,10.038888,642374
-1.9776106,4.1180267,10.25676,647379
-1.7980455,4.0078936,10.488997,652383
-1.685518,3.9863458,10.670957,657358
-1.6400281,3.9384618,10.728417,662363
-1.7645266,3.9456444,10.656591,667367
-1.9297266,3.964798,10.522516,672372
-2.0446482,3.9815574,10.25676,677377
-2.087744,4.012682,9.878476,682382
-2.030283,3.98874,9.593566,687357
-2.1188686,4.003105,9.294291,692362
-2.1978772,4.122815,9.112331,697366
-2.2481554,4.209007,8.884883,702371
-2.2481554,4.1922474,8.6813755,707376
-2.1883004,4.1706996,8.520964,712381
-2.0757728,4.1299977,8.408437,717355
-2.006341,4.0653543,8.274361,722360
-1.9656396,4.036624,8.180987,727365
-1.9416976,4.0342298,8.147469,732370
-1.982399,4.050989,8.082825,737375
-1.9536686,4.1036615,8.054094,742380
-1.6376339,3.7612908,10.893618,747354
-1.3814543,3.9336734,9.483433,752359
-1.7980455,4.2185836,8.92319,757364
-2.1188686,4.55856,8.219295,762369
-2.1404164,4.7644615,7.4986396,767374
-1.8890251,4.6375685,7.5201874,772379
-1.541866,4.2521024,7.9583263,777383
-1.2497733,3.8642416,8.511387,782358
-1.1540052,3.6703112,8.834604,787363
-1.2617443,3.679888,8.930372,792367
-1.5179238,3.7469256,8.872911,797372
-1.7597382,3.7349546,8.841787,802377
-1.958457,3.6966474,8.860941,807382
-2.1021092,3.5817258,9.033323,812357
-2.1930888,3.5218706,9.241618,817362
-2.315193,3.4931402,9.471462,822366
-2.408567,3.490746,9.598354,827371
