x,y,z,timestamp
0.09101892,-0.0421497,0.053145275,1869
0.08246681,-0.029932396,0.054367006,6874
0.07086037,-0.016493361,0.055588737,11898
0.059864793,-0.0018325958,0.053145275,16883
0.049480084,0.015271631,0.045814894,21888
0.03970624,0.039095376,0.03481932,26893
0.035430185,0.059864793,0.027488936,31887
0.03176499,0.077579886,0.016493361,36873
0.030543262,0.09162979,0.0036651916,41878
0.034208454,0.10629055,-0.0036651916,46882
0.045814894,0.1301143,-0.009162978,51906
0.061086524,0.14782938,-0.005497787,56892
0.08124508,0.16554448,0.0012217305,61866
0.115453534,0.18142697,0.014049901,66871
0.16065755,0.19364429,0.032986723,71895
0.22602014,0.20586158,0.056199603,76881
0.3115413,0.21746802,0.08674286,81886
0.41233405,0.24129178,0.1160644,86891
0.52778757,0.27183503,0.14721853,91884
0.65057147,0.30176744,0.17470746,96870
0.77946407,0.31520647,0.20341812,101875
0.97005403,0.32253686,0.23945917,106880
1.0928379,0.30787608,0.26511553,111904
1.2125676,0.28710666,0.29443705,116890
1.3225232,0.2950479,0.32375857,121895
1.4202617,0.3213151,0.35796702,126869
1.4996742,0.35735616,0.3921755,131893
1.563815,0.40561453,0.42943826,136879
1.6065756,0.46792278,0.47158796,141883
1.6297885,0.54061574,0.5155703,146888
1.632232,0.6243043,0.55955255,151913
1.5980235,0.75625116,0.61941737,156868
1.5583172,0.8539896,0.65668017,161873
1.5021176,0.960891,0.6933321,166877
1.4367551,1.0763446,0.72692966,171902
1.3573426,1.2027937,0.75686204,176887
1.2657127,1.3457361,0.7800749,181892
1.1685852,1.4789047,0.7984009,186866
1.0769554,1.6016886,0.81122905,191890
0.99387777,1.7311921,0.8216137,196876
0.91813046,1.8686367,0.8240572,201881
0.8222246,2.053729,0.81489426,206886
0.7654142,2.1716259,0.7849618,211910
0.73853606,2.234545,0.7715228,216865
0.7367035,2.2547035,0.77091193,221870
0.766025,2.2229385,0.7831292,226875
0.8222246,2.157576,0.8026769,231899
0.89552844,2.0885482,0.8197812,236885
0.99265605,1.9700404,0.8393288,241890
1.1111639,1.8777997,0.84849185,246895
1.2333369,1.8521434,0.85154617,251888
1.4141531,1.9028453,0.8368854,256874
1.5082263,1.9724839,0.8179486,261879
1.5723672,2.0360138,0.79168135,266883
1.5888605,2.0934353,0.7623598,271908
1.5570955,2.1331415,0.7348709,276893
1.4789047,2.1655173,0.7171558,281868
1.3616186,2.1740694,0.70921457,286873
1.2278391,2.1288655,0.7098254,291899
1.0916162,2.0054705,0.6988298,296882
0.9633345,1.9370537,0.6780604,301887
0.82894415,1.967597,0.6560693,306892
0.68233645,1.8735237,0.63529986,311888
0.59803706,1.8399261,0.61208695,316871
0.5235115,1.813659,0.5748242,321876
0.4550946,1.7831156,0.52412236,326881
0.35430184,1.7165314,0.462425,331905
0.22785273,1.509448,0.39461896,336891
0.13805555,1.1997393,0.31520647,341865
0.08246681,0.87109387,0.23273966,346870
0.05131268,0.56382865,0.15393804,351896
0.03359759,0.31703907,0.07391469,356880
0.044593163,0.06963864,-0.036651913,361885
0.062308256,-0.06719518,-0.09407325,366890
0.07391469,-0.20341812,-0.14844026,371916
0.07819075,-0.32803464,-0.19058995,376869
0.07269296,-0.4447099,-0.226631,381874
0.05497787,-0.54611355,-0.25717425,386879
0.018325957,-0.63529986,-0.29138273,391905
-0.03848451,-0.71837753,-0.3304781,396888
-0.12217305,-0.79351395,-0.37384954,401893
-0.23151793,-0.86132,-0.41599923,406868
-0.43371433,-0.95417154,-0.47342056,411894
-0.5907067,-0.9987647,-0.5045747,416878
-0.7635816,-1.0268645,-0.5296202,421882
-0.9468411,-1.0415252,-0.5497787,426887
-1.1368202,-1.0464121,-0.571159,431913
-1.328021,-1.0555751,-0.59498274,436866
-1.5167783,-1.0751228,-0.625526,441871
-1.6896533,-1.1386528,-0.6542367,446876
-1.8283197,-1.255328,-0.6774496,451903
-1.9211712,-1.4330899,-0.6713409,456886
-1.9657644,-1.7250835,-0.6743952,461891
-1.9486601,-1.8503108,-0.7067711,466865
-1.8918496,-1.8918496,-0.75625116,471890
-1.8075503,-1.8674151,-0.81061816,476875
-1.7073684,-1.8246545,-0.8588765,481880
-1.6022996,-1.7886134,-0.8979719,486885
-1.505172,-1.7751744,-0.9443977,491909
-1.4257594,-1.78617,-1.0005972,496894
-1.3634512,-1.8197676,-1.0647382,501869
-1.3035865,-1.8674151,-1.1276573,506874
-1.2125676,-1.9724839,-1.2027937,511898
-1.1441506,-2.0604484,-1.2382239,516883
-1.0629056,-2.1374176,-1.2620476,521889
-0.9761627,-2.1887302,-1.2748758,526893
-0.88086766,-2.1966715,-1.2748758,531887
-0.7861836,-2.1649065,-1.2663237,536873
-0.6945538,-2.1001546,-1.2479976,541877
-0.61636305,-2.0164661,-1.2229522,546882
-0.5503896,-1.922393,-1.1911873,551906
-0.50701815,-1.817935,-1.1545353,556892
-0.47952923,-1.6737708,-1.1087204,561867
-0.48930305,-1.3982705,-1.0146471,566871
-0.52106804,-1.2479976,-0.93584555,571895
-0.5693264,-1.1246029,-0.852157,576881
-0.6310238,-1.029308,-0.7648033,581886
-0.6963864,-0.95172805,-0.68416905,586891
-0.766025,-0.86498517,-0.6133087,591884
-0.82711154,-0.7690793,-0.552833,596870
-0.8790351,-0.6627888,-0.5021312,601875
-0.9071349,-0.56016344,-0.462425,606880
-0.91813046,-0.46181414,-0.43004912,611904
