x,y,z,timestamp
0.40378192,-0.1685988,0.08368854,1312
0.552833,-0.3286455,0.13500121,6336
0.70066243,-0.4538729,0.19120082,11291
0.8527679,-0.5363397,0.25167647,16296
1.0005972,-0.5564982,0.30543262,21301
1.1429288,-0.5131268,0.35063666,26325
1.2767084,-0.41416663,0.38362336,31311
1.396438,-0.27122417,0.40500367,36315
1.5656476,-0.047647487,0.43371433,41290
1.677436,0.115453534,0.45631635,46315
1.7947221,0.35735616,0.49418998,51300
1.9413297,0.6432411,0.5369505,56304
2.0934353,0.8912524,0.6114761,61309
2.2241604,1.029308,0.7318166,66334
2.3243423,1.1844677,0.8472701,71319
2.3780985,1.368949,0.9266826,76293
2.3854287,1.4819591,0.9633345,81299
2.3469443,1.4764613,0.9718866,86323
2.1954496,1.5699236,0.93767816,91308
2.1068742,1.7935003,0.91874135,96313
2.0378466,2.0690005,0.9108001,101318
1.9694295,2.2901337,0.90224797,106312
1.8832976,2.538756,0.8894198,111297
1.7867808,2.7708848,0.8729264,116302
1.6829338,2.9290988,0.86009824,121307
1.5845845,2.9901853,0.8546005,126334
1.505172,2.987131,0.86376345,131316
1.4654657,2.9211576,0.90102625,136291
1.4514158,2.8539624,0.9578367,141296
1.4477507,2.8588493,1.0598512,146322
1.4453071,2.886949,1.106277,151306
1.4343116,2.850908,1.1246029,156311
1.4208726,2.7488935,1.110553,161316
1.4110987,2.615725,1.0665708,166311
1.4092661,2.4623978,1.001819,171295
1.4214834,2.2632558,0.9315695,176300
1.4471397,1.9975294,0.86193085,181304
1.4850134,1.717753,0.79412484,186331
1.5283848,1.4660766,0.72326446,191314
1.5894713,1.1435398,0.6462954,196319
1.604743,0.9761627,0.6267477,201294
1.5839735,0.93218035,0.6585127,206318
1.518611,0.8185594,0.6976081,211303
1.4245378,0.67073005,0.71959925,216308
1.3255776,0.54428095,0.71776664,221313
1.2400564,0.45570546,0.70005155,226337
1.1636983,0.4251622,0.67073005,231292
1.0928379,0.39950588,0.63591075,236297
1.0225884,0.35369098,0.6010914,241302
0.93645644,0.3200934,0.56688297,246326
0.8949176,0.31703907,0.5503896,251312
0.86926126,0.31215215,0.5290093,256317
0.8552113,0.30604348,0.5015204,261291
0.8564331,0.2669481,0.4642576,266317
0.87964594,0.19853121,0.42210788,271301
0.92057395,0.15515977,0.37507126,276306
0.97005403,0.1600467,0.3549127,281311
1.0103711,0.14782938,0.34697145,286368
1.0396926,0.13439035,0.35308012,291290
1.0512991,0.14721853,0.3726278,296295
1.0390818,0.17104226,0.37384954,301300
1.0036516,0.20769419,0.36468655,306324
0.9443977,0.29138273,0.3659083,311309
0.8576548,0.3652974,0.36163223,316314
0.7507534,0.41538838,0.35369098,321319
0.6395759,0.48502702,0.34391713,326313
0.52778757,0.5497787,0.3268129,331298
0.42455134,0.57726765,0.2932153,336303
0.3390302,0.5858198,0.24923302,341308
0.16126843,0.70738196,0.16432275,346332
-0.01282817,0.77396625,0.111177474,351318
-0.19120082,0.70921457,0.057421334,356292
-0.31520647,0.5338962,-0.002443461,361297
-0.3585779,0.32742378,-0.06780604,366321
-0.32375857,0.14355333,-0.13255776,371307
-0.23579398,-0.014660766,-0.18203785,376312
-0.1282817,-0.15699236,-0.21197024,381317
-0.029321533,-0.27550024,-0.22602014,386313
0.040317107,-0.35979962,-0.22296582,391296
0.070249505,-0.40133846,-0.20463985,396301
0.043982297,-0.40011674,-0.15882497,401306
-0.0061086523,-0.37507126,-0.12339478,406330
-0.07147124,-0.33841935,-0.089186326,411315
-0.14844026,-0.29565877,-0.061086524,416290
-0.22785273,-0.25350907,-0.04337143,421295
-0.31031954,-0.22540927,-0.028710667,426319
-0.39461896,-0.21135938,-0.022602014,431304
-0.48502702,-0.21013765,-0.018936822,436309
-0.57848936,-0.21563543,-0.020158553,441314
-0.68111473,-0.2406809,-0.018936822,446338
-0.8436049,-0.30848694,-0.021380283,451293
-0.95111716,-0.35735616,-0.031154128,456298
-1.056186,-0.40622538,-0.04886922,461303
-1.1594223,-0.4550946,-0.07147124,466327
-1.2620476,-0.5119051,-0.1020145,471313
-1.3591752,-0.5681047,-0.1386664,476318
-1.4581354,-0.61453044,-0.18448131,481292
-1.5473217,-0.64934975,-0.23701571,486316
-1.6310102,-0.6774496,-0.29749137,491302
-1.7030923,-0.71959925,-0.35735616,496307
-1.7849482,-0.8790351,-0.43310347,501312
-1.8270979,-0.9963212,-0.516792,506339
-1.8594738,-1.1123856,-0.61941737,511291
-1.8741345,-1.2137892,-0.73364913,516296
-1.8649716,-1.2779301,-0.84421575,521301
-1.8411479,-1.2907583,-0.95294976,526328
-1.8032742,-1.287093,-1.0488557,531311
-1.7617353,-1.2974777,-1.1362094,536315
-1.7281377,-1.3347405,-1.2174544,541290
-1.7104226,-1.3988814,-1.3072516,546317
-1.7263051,-1.5351044,-1.4972308,551300
-1.7562376,-1.6395624,-1.6151277,556304
-1.8148806,-1.7238617,-1.7244726,561310
-1.8955148,-1.863139,-1.808772,566336
-1.9956968,-2.0781636,-1.8680259,571319
-2.0964894,-2.3176227,-1.9089539,576293
-2.1923954,-2.5124888,-1.930945,581298
-2.276084,-2.6218336,-1.9333885,586325
-2.3377812,-2.6218336,-1.9107865,591308
-2.3848178,-2.5363126,-1.8759671,596313
-2.411696,-2.4495697,-1.8258762,601318
-2.388483,-2.488665,-1.690875,606312
-2.302962,-2.6316075,-1.5662584,611297
-2.1539109,-2.734233,-1.4428637,616302
-1.9566014,-2.7061331,-1.3353515,621307
-1.7263051,-2.5332582,-1.2498302,626331
-1.4807373,-2.2510383,-1.1814134,631317
-1.2382239,-1.9364429,-1.1166617,636291
-1.0409144,-1.6902641,-0.9859365,641296
-0.84482664,-1.4129313,-0.8454375,646320
-0.64996064,-1.1215485,-0.7171558,651306
-0.37201694,-0.7672467,-0.5332854,656311
-0.21563543,-0.6236934,-0.41416663,661316
-0.09468412,-0.5497787,-0.2919936,666309
-0.013439035,-0.54367006,-0.16493362,671295
0.017715093,-0.5907067,-0.042760566,676300
-0.0067195175,-0.66706485,0.070249505,681304
-0.07147124,-0.7556403,0.15821409,686329
-0.16126843,-0.8368854,0.21013765,691314
-0.2510656,-0.88208944,0.23823744,696319
-0.33841935,-0.8680395,0.24740042,701294
-0.47342056,-0.74097955,0.2321288,706320
