x,y,z,timestamp
0.23701571,-0.026267206,0.14110987,4755
0.3885103,-0.09162979,0.19242255,9740
0.49541172,-0.112399206,0.22174409,14745
0.6078109,-0.111177474,0.24678956,19750
0.7171558,-0.084910266,0.26816985,24774
0.82344633,-0.03604105,0.28527406,29729
0.9108001,0.018325957,0.29871312,34734
0.9755518,0.064751714,0.30909783,39739
1.0183123,0.09773844,0.31948254,44763
1.0464121,0.14049901,0.3268129,49749
1.0604621,0.20830505,0.32986724,54753
1.0445796,0.34208453,0.32559118,59728
1.0079277,0.4288274,0.31887165,64752
0.95417154,0.50823987,0.31031954,69738
0.8943067,0.59742624,0.30543262,74743
0.83199847,0.70188415,0.29871312,79748
0.7678576,0.79717916,0.29565877,84772
0.7031059,0.88025683,0.29260445,89727
0.6469063,0.95233893,0.29565877,94732
0.60048056,1.0115929,0.30298916,99736
0.5729916,1.0506883,0.31581733,104761
0.5674938,1.1068878,0.3408628,109746
0.57848936,1.1417072,0.35613444,114751
0.60231316,1.1643091,0.3726278,119756
0.63713247,1.169807,0.38789943,124750
0.68477994,1.1679744,0.408058,129735
0.7440339,1.1490375,0.4269948,134740
0.8008443,1.106277,0.44715336,139745
0.8509353,1.0311406,0.45998153,144769
0.8881981,0.9334021,0.46731192,149755
0.90285885,0.81489426,0.46792278,154729
0.8961393,0.68600166,0.45570546,159734
0.8399397,0.4978552,0.4166101,164761
0.7861836,0.38423425,0.38362336,169744
0.70921457,0.26145032,0.33108896,174749
0.6017023,0.07269296,0.26939157,179753
0.47891834,-0.14966199,0.21013765,184749
0.35308012,-0.31215215,0.15210545,189733
0.2406809,-0.38728857,0.10140363,194738
0.15393804,-0.4196644,0.07880162,199743
0.06780604,-0.44226643,0.064751714,204769
-0.02443461,-0.44898596,0.03848451,209752
-0.15515977,-0.38789943,-0.02687807,214727
-0.22113322,-0.32803464,-0.07513642,219732
-0.27977628,-0.2761111,-0.124005646,224758
-0.3378085,-0.24251351,-0.16920967,229741
-0.38973203,-0.23945917,-0.2125811,234746
-0.43799037,-0.25289822,-0.24862215,239751
-0.48563787,-0.2779437,-0.2742785,244778
-0.5369505,-0.3145956,-0.29077184,249730
-0.59620446,-0.36468655,-0.2932153,254735
-0.6621779,-0.43249258,-0.28710666,259740
-0.75991637,-0.539394,-0.26328292,264766
-0.8222246,-0.6010914,-0.24373524,269750
-0.87964594,-0.6542367,-0.22540927,274755
-0.93401295,-0.6994407,-0.21197024,279729
-0.98349303,-0.73792523,-0.20586158,284756
-1.0268645,-0.7519751,-0.20219639,289739
-1.0574077,-0.7440339,-0.2003638,294744
-1.074512,-0.7189884,-0.19914207,299749
-1.0836749,-0.68783426,-0.20158553,304773
-1.078788,-0.66339964,-0.21074851,309728
-1.047023,-0.6444628,-0.23273966,314733
-1.0012082,-0.65057147,-0.25167647,319738
-0.9431759,-0.6658431,-0.27183503,324762
-0.8765916,-0.68294734,-0.29138273,329748
-0.80756384,-0.6976081,-0.30787608,334752
-0.74097955,-0.7110472,-0.32436943,339727
-0.6835582,-0.72387534,-0.33414328,344751
-0.63713247,-0.7367035,-0.34208453,349736
-0.59681535,-0.7452556,-0.34330627,354741
-0.5571091,-0.72326446,-0.3359759,359746
-0.5002986,-0.61208695,-0.3200934,364771
-0.46853364,-0.5235115,-0.30604348,369756
-0.45204028,-0.42394048,-0.2968805,374730
-0.44593164,-0.33414328,-0.28710666,379735
-0.44348818,-0.25228736,-0.27183503,384760
-0.43493605,-0.16187929,-0.2565634,389745
-0.41905355,-0.069027774,-0.23823744,394750
-0.3933972,0.016493361,-0.22052236,399755
-0.35735616,0.09468412,-0.19792034,404748
-0.30848694,0.16493362,-0.17715092,409734
-0.24984388,0.2180789,-0.15454891,414739
-0.15821409,0.28160888,-0.124005646,419744
-0.09590584,0.30787608,-0.10140363,424768
-0.036651913,0.30848694,-0.08246681,429753
0.017104227,0.28221974,-0.06291912,434728
0.06169739,0.2302962,-0.053145275,439733
0.09896017,0.15760323,-0.047036625,444757
0.12705997,0.07391469,-0.044593163,449743
0.1563815,-0.017715093,-0.049480084,454748
0.27000242,-0.10262536,-0.06169739,459752
0.3268129,-0.25045475,-0.093462385,464746
0.25534168,-0.5186246,-0.10262536,469732
0.172264,-0.5656612,-0.10262536,474736
0.0720821,-0.51923543,-0.09896017,479741
-0.027488936,-0.4392121,-0.09773844,484766
-0.11484267,-0.35369098,-0.09407325,489751
-0.19303341,-0.26083946,-0.08857546,494756
-0.25289822,-0.15760323,-0.08307768,499730
-0.28588495,-0.044593163,-0.08368854,504754
-0.2950479,0.06047566,-0.084910266,509740
-0.2883284,0.13622294,-0.081855945,514745
-0.267559,0.17654006,-0.069027774,519750
-0.24740042,0.16737708,-0.054367006,524774
-0.22174409,0.13561209,-0.032986723,529729
-0.18692477,0.087964594,-0.014049901,534734
