x,y,z,timestamp
0.7367035,0.4166101,0.18753563,4231
0.89369583,0.3640757,0.2144137,9217
1.0354166,0.30970868,0.24678956,14191
1.151481,0.24678956,0.28160888,19196
1.287704,0.16371189,0.34697145,24220
1.3579534,0.13683382,0.398895,29206
1.4129313,0.12461651,0.45448375,34211
1.4575244,0.13072516,0.50823987,39216
1.4880677,0.17287487,0.5516113,44209
1.5027285,0.25167647,0.5907067,49195
1.5039502,0.3481932,0.6261369,54200
1.4941764,0.44898596,0.6579019,59205
1.4721853,0.5497787,0.6780604,64229
1.4453071,0.6401868,0.69027776,69214
1.4129313,0.74036866,0.68600166,74189
1.3591752,0.8979719,0.64873886,79194
1.3249667,0.9841039,0.6114761,84219
1.2864822,1.0751228,0.56382865,89203
1.246776,1.1441506,0.5137377,94208
1.210124,1.1936307,0.46853364,99213
1.174083,1.2589933,0.4269948,104240
1.1386528,1.3072516,0.3903429,109192
1.097114,1.3304645,0.3475823,114198
1.047023,1.3139712,0.3036,119202
0.98715824,1.273654,0.26206118,124229
0.90102625,1.1991285,0.21868975,129212
0.85154617,1.146594,0.20280726,134217
0.79290307,1.0891727,0.18997909,139191
0.7324274,1.0054842,0.1826487,144218
0.6731735,0.9016371,0.17959438,149201
0.6188065,0.75808376,0.1685988,154206
0.54305923,0.5479461,0.13316862,159211
0.43982297,0.2510656,0.099571034,164237
0.3463606,-0.0580322,0.07574729,169190
0.26267207,-0.2669481,0.047647487,174195
0.13622294,-0.39400807,-0.0067195175,179200
0.04520403,-0.42760566,-0.03726278,184226
-0.03970624,-0.44409904,-0.061086524,189210
-0.1142318,-0.44837508,-0.0842994,194215
-0.1826487,-0.44532076,-0.108123146,199189
-0.23884831,-0.43493605,-0.13072516,204215
-0.2864958,-0.40622538,-0.16126843,209199
-0.33414328,-0.33964106,-0.19547687,214203
-0.37812558,-0.24923302,-0.2321288,219208
-0.42943826,-0.16187929,-0.2669481,224235
-0.5180137,-0.077579886,-0.29138273,229218
-0.5839872,-0.056199603,-0.28710666,234193
-0.6597345,-0.06658431,-0.27183503,239197
-0.7348709,-0.112399206,-0.24556783,244224
-0.81000733,-0.19181168,-0.21746802,249207
-0.8698721,-0.29871312,-0.1881465,254212
-0.90102625,-0.40683624,-0.15271631,259217
-0.8961393,-0.4886922,-0.12461651,264210
-0.8539896,-0.54550266,-0.10629055,269196
-0.7770206,-0.5864306,-0.10140363,274201
-0.6291912,-0.61575216,-0.10995574,279206
-0.52290064,-0.63407815,-0.12095132,284230
-0.4196644,-0.6585127,-0.13683382,289216
-0.32559118,-0.6914995,-0.15454891,294190
-0.2406809,-0.7275405,-0.17531833,299195
-0.1685988,-0.76174897,-0.19608775,304219
-0.11484267,-0.79351395,-0.2180789,309205
-0.081855945,-0.83016586,-0.24129178,314210
-0.076358154,-0.86315256,-0.26450464,319214
-0.09162979,-0.8912524,-0.28771752,324208
-0.13683382,-0.9120218,-0.30970868,329194
-0.2565634,-0.9193522,-0.33353242,334199
-0.36774087,-0.90469146,-0.3481932,339203
-0.49968776,-0.870483,-0.3585779,344230
-0.6469063,-0.8191703,-0.37201694,349213
-0.8063421,-0.7495316,-0.3811799,354218
-0.97127575,-0.6731735,-0.39278635,359192
-1.1343768,-0.5919284,-0.4025602,364219
-1.2852604,-0.50335294,-0.4092797,369202
-1.4104879,-0.41722095,-0.41355577,374207
-1.4978416,-0.344528,-0.4098906,379212
-1.5577064,-0.24984388,-0.38912117,384236
-1.5430456,-0.204029,-0.36102137,389191
-1.4837917,-0.17104226,-0.3231477,394196
-1.3836098,-0.13622294,-0.28221974,399201
-1.2504412,-0.095294975,-0.23884831,404225
-1.0897835,-0.062308256,-0.20708331,409211
-0.9114109,-0.036651913,-0.18692477,414216
-0.72509706,-0.021991149,-0.1777618,419190
-0.535118,-0.02565634,-0.18142697,424215
-0.34697145,-0.040927973,-0.18997909,429200
-0.084910266,-0.087964594,-0.20830505,434205
0.06047566,-0.12644911,-0.22296582,439210
0.22357668,-0.15821409,-0.22602014,444234
0.3659083,-0.19975294,-0.22907446,449189
0.40317106,-0.3005457,-0.226631,454194
0.36468655,-0.41783184,-0.21197024,459199
0.29871312,-0.47525316,-0.1777618,464223
0.20952678,-0.46914452,-0.1423316,469208
0.10323623,-0.4447099,-0.103847094,474214
-0.009162978,-0.4166101,-0.070249505,479218
-0.16737708,-0.3323107,-0.020158553,484212
-0.26939157,-0.25411993,0.0036651916,489197
-0.3659083,-0.17837265,0.020158553,494202
-0.45753807,-0.10567969,0.029321533,499207
-0.54367006,-0.035430185,0.040317107,504231
-0.6053675,0.02321288,0.05131268,509217
-0.6469063,0.065973446,0.05497787,514191
-0.65301496,0.1001819,0.04886922,519196
-0.6267477,0.12644911,0.035430185,524221
-0.57543504,0.13988814,0.016493361,529206
-0.50701815,0.1423316,-0.0012217305,534211
-0.3866777,0.118507855,-0.03359759,539216
-0.3036,0.09101892,-0.051923547,544210
-0.2180789,0.0580322,-0.064751714,549195
