x,y,z,timestamp
0.65668017,0.59620446,0.41355577,868
0.7996226,0.5681047,0.56382865,5873
0.9450085,0.5510005,0.711658,10878
1.0830641,0.5198463,0.8717047,15902
1.2168436,0.5271767,1.0189233,20857
1.3567317,0.56077427,1.1520919,25862
1.4966198,0.6230826,1.2669345,30867
1.6859881,0.784351,1.4086553,35891
1.7886134,0.92179567,1.4746287,40876
1.8643607,1.0238101,1.5204436,45881
1.89918,1.0635164,1.5534303,50856
1.890017,1.0781772,1.577254,55880
1.8344283,1.0903945,1.572978,60865
1.7391334,1.1050552,1.5387696,65870
1.613906,1.1545353,1.4795157,70875
1.4801265,1.2388347,1.3903292,75900
1.3591752,1.3671165,1.2705997,80855
1.2229522,1.6462818,1.0897835,85859
1.1545353,1.8356501,0.9663888,90864
1.0885619,1.9755383,0.82833326,95889
1.028697,2.111761,0.64934975,100874
0.97249746,2.1923954,0.47219884,105879
0.9260717,2.2369885,0.3182608,110853
0.9138544,2.3261747,0.22907446,115880
0.9309586,2.4611762,0.2125811,120863
0.95111716,2.593123,0.2443461,125868
0.96944314,2.6578746,0.28221974,130873
0.9786061,2.6297748,0.30665436,135899
0.9737192,2.5234842,0.3042109,140883
0.97249746,2.3774874,0.2932153,145857
0.99265605,2.2272146,0.2742785,150862
1.0305296,2.0787745,0.2510656,155886
1.0781772,1.9248364,0.22113322,160872
1.1246029,1.7867808,0.18325958,165876
1.1539245,1.6890424,0.1441642,170881
1.1673635,1.6187929,0.12583824,175879
1.1563679,1.5723672,0.13744467,180860
1.1001683,1.5125023,0.19058995,185866
1.0500773,1.5039502,0.23884831,190870
0.9950995,1.5351044,0.28588495,195930
0.9309586,1.5607607,0.32559118,200880
0.86620694,1.582141,0.3549127,205855
0.8002335,1.5668694,0.3659083,210859
0.7360926,1.563815,0.36468655,215888
0.6768387,1.564426,0.3567453,220869
0.61575216,1.5399913,0.33841935,225874
0.552833,1.4727961,0.3145956,230879
0.50946164,1.3726143,0.27916542,235877
0.4801401,1.1979067,0.22418754,240858
0.47769663,1.1233811,0.1966986,245863
0.48075095,1.087951,0.1826487,250868
0.47891834,1.047023,0.16982053,255896
0.47952923,0.9822713,0.15210545,260878
0.48624873,0.9211848,0.14721853,265883
0.50823987,0.8686504,0.15882497,270857
0.5363397,0.8454375,0.1777618,275883
0.57604593,0.874759,0.20463985,280867
0.61269784,0.9120218,0.22907446,285872
0.6579019,0.8949176,0.25961772,290876
0.698219,0.86742866,0.27977628,295905
0.74281216,0.84482664,0.28893927,300856
0.78984874,0.83077675,0.28405234,305861
0.8246681,0.82344633,0.26083946,310865
0.8350528,0.8179486,0.22052236,315894
0.82344633,0.79229224,0.16554448,320875
0.78984874,0.752586,0.09712757,325880
0.7324274,0.74281216,0.031154128,330854
0.63407815,0.7367035,-0.029321533,335881
0.43982297,0.6560693,-0.09162979,340864
0.30909783,0.5656612,-0.11484267,345869
0.19608775,0.46609017,-0.11911872,350874
0.10873401,0.35430184,-0.099571034,355900
0.045814894,0.23273966,-0.055588737,360853
-0.0061086523,0.10751228,0.0018325958,365858
-0.055588737,-0.02565634,0.059253927,370863
-0.115453534,-0.17531833,0.1160644,375889
-0.17959438,-0.34697145,0.17287487,380873
-0.25045475,-0.5345071,0.2321288,385878
-0.3481932,-0.8197812,0.31031954,390882
-0.40744713,-1.0128145,0.34697145,395878
-0.46120325,-1.2278391,0.3707952,400862
-0.51007247,-1.4630222,0.38362336,405867
-0.54061574,-1.6694947,0.38789943,410872
