x,y,z,timestamp
0.7800749,0.2706133,0.54000485,4185
0.9285152,0.2144137,0.6365216,9171
1.087951,0.17470746,0.77213365,14176
1.2327261,0.24312437,0.8875872,19180
1.3573426,0.3622431,0.9663888,24205
1.4630222,0.48930305,1.0274754,29190
1.5552629,0.5674938,1.10139,34165
1.6358972,0.6151413,1.1948525,39170
1.6933185,0.70066243,1.2669345,44194
1.7311921,0.82344633,1.2962561,49180
1.7537941,0.9737192,1.2370021,54184
1.7110336,1.0647382,1.1050552,59189
1.6389514,1.0256428,0.9944886,64183
1.5131133,1.0580186,0.88453287,69168
1.3408492,1.169807,0.7819075,74173
1.128879,1.3121386,0.68477994,79178
0.8906415,1.4660766,0.5674938,84205
0.64873886,1.6371188,0.4269948,89188
0.43554693,1.831374,0.2773328,94162
0.27550024,2.0451767,0.13927728,99167
0.15882497,2.2632558,0.022602014,104193
0.047647487,2.5344799,-0.10445796,109177
0.01038471,2.6603181,-0.15332718,114182
0.0036651916,2.787989,-0.17531833,119187
0.025045475,2.905275,-0.15821409,124211
0.077579886,2.9400945,-0.10445796,129166
0.15210545,2.892447,-0.03970624,134171
0.24617869,2.7635543,0.026267206,139176
0.36957347,2.5784621,0.108123146,144200
0.5180137,2.3964243,0.19120082,149186
0.6713409,2.2284365,0.2687807,154190
0.8875872,1.9602666,0.36957347,159165
1.029308,1.7873917,0.43310347,164189
1.1673635,1.6523905,0.47769663,169175
1.3011429,1.5259414,0.49846604,174179
1.4361442,1.4300356,0.47525316,179184
1.5479325,1.4440855,0.4166101,184208
1.6120734,1.4605788,0.3481932,189164
1.6255124,1.4251486,0.27977628,194168
1.600467,1.3548992,0.21746802,199173
1.5460999,1.3274102,0.16310102,204202
1.4178182,1.3603969,0.100792766,209183
1.287704,1.3775011,0.059864793,214188
1.1386528,1.378112,0.009162978,219162
0.9822713,1.3891076,-0.056199603,224191
0.82650065,1.4239268,-0.11362094,229172
0.6750061,1.4923438,-0.17104226,234177
0.5375614,1.5919148,-0.2302962,239182
0.42760566,1.717753,-0.29138273,244208
0.3494149,1.8723019,-0.35185838,249192
0.30176744,2.02624,-0.41538838,254166
0.2742785,2.1374176,-0.46975538,259171
0.27977628,2.225382,-0.54061574,264197
0.31337386,2.2266037,-0.5681047,269180
0.35796702,2.234545,-0.5723807,274185
0.4147775,2.2308798,-0.5558874,279190
0.47525316,2.2204952,-0.52595496,284186
0.53878313,2.2107213,-0.48624873,289170
0.59986967,2.2204952,-0.44104472,294175
0.6560693,2.239432,-0.3817908,299179
0.7098254,2.2595906,-0.31398472,304206
0.75686204,2.2602015,-0.24190263,309189
0.8155051,2.1991148,-0.12705997,314163
0.84604836,2.1190915,-0.058643065,319168
0.8717047,2.008525,0.0067195175,324195
0.8881981,1.890628,0.059864793,329178
0.8943067,1.7470746,0.10140363,334183
0.7415904,1.3158038,0.15393804,339188
0.36041048,0.6750061,0.24556783,344184
0.11301007,0.32436943,0.30848694,349167
-0.077579886,0.05681047,0.312763,354172
-0.23701571,-0.25900686,0.27183503,359177
-0.31887165,-0.5039638,0.23640485,364203
-0.27977628,-0.46609017,0.2706133,369187
-0.19058995,-0.37140608,0.3286455,374192
-0.07391469,-0.27550024,0.3726278,379166
0.0580322,-0.19792034,0.36957347,384192
0.17715092,-0.14172074,0.31887165,389176
0.26083946,-0.11301007,0.23823744,394180
0.30176744,-0.11484267,0.15393804,399185
0.29626966,-0.13744467,0.07819075,404214
0.25289822,-0.18020524,0.02443461,409165
0.13133603,-0.26328292,-0.032986723,414170
