x,y,z,timestamp
0.70554936,-0.2828306,0.24740042,4162
0.7696902,-0.312763,0.26206118,9137
0.8216137,-0.34025195,0.27366763,14161
0.86620694,-0.3659083,0.27916542,19146
0.8949176,-0.376293,0.27550024,24151
0.915687,-0.3659083,0.2724459,29156
0.9211848,-0.33964106,0.267559,34180
0.91324353,-0.30543262,0.26206118,39166
0.8912524,-0.28099802,0.25228736,44140
0.852157,-0.26389378,0.2406809,49145
0.7837401,-0.25167647,0.22296582,54170
0.7360926,-0.2443461,0.21197024,59155
0.6957755,-0.23579398,0.20097467,64160
0.6646214,-0.226631,0.18997909,69165
0.6407976,-0.21074851,0.18081611,74158
0.6206391,-0.19303341,0.16737708,79144
0.6084218,-0.172264,0.1563815,84149
0.59498274,-0.15515977,0.1423316,89154
0.5858198,-0.1459968,0.12583824,94179
0.57360244,-0.13988814,0.10934488,99163
0.5540548,-0.12767084,0.086132,104138
0.5369505,-0.111177474,0.07391469,109143
0.50579643,-0.092240654,0.06414085,114167
0.46120325,-0.08674286,0.055588737,119152
0.4111123,-0.10323623,0.04520403,124157
0.3659083,-0.13439035,0.034208454,129162
0.33475417,-0.17287487,0.02076942,134157
0.3213151,-0.20952678,0.0036651916,139142
0.32070425,-0.2302962,-0.018325957,144146
0.32742378,-0.24556783,-0.040927973,149151
0.3481932,-0.23823744,-0.06719518,154175
0.36163223,-0.19914207,-0.07086037,159161
0.36835176,-0.13805555,-0.061086524,164166
0.36651915,-0.06658431,-0.03970624,169140
0.36102137,-0.004886922,-0.01038471,174164
0.35185838,0.04642576,0.023823744,179150
0.34391713,0.09162979,0.06169739,184155
0.33964106,0.13500121,0.09468412,189160
0.33841935,0.15699236,0.12644911,194184
0.3390302,0.16371189,0.15454891,199139
0.34269542,0.16798794,0.18753563,204144
0.34880406,0.16676621,0.20647246,209149
0.35979962,0.16982053,0.21991149,214173
0.37690386,0.18753563,0.22602014,219159
0.39706242,0.21074851,0.23090707,224163
0.4202753,0.2846632,0.23396139,229138
0.4373795,0.45265114,0.2302962,234162
0.408058,0.5039638,0.21746802,239148
0.32986724,0.40683624,0.20341812,244152
0.2302962,0.24495697,0.1826487,249158
0.084910266,0.028099801,0.14049901,254184
0.0030543262,-0.06658431,0.118507855,259137
-0.06780604,-0.13988814,0.100792766,264142
-0.12889257,-0.20952678,0.081855945,269146
-0.1863139,-0.27488935,0.0580322,274171
-0.24007004,-0.3115413,0.03359759,279156
-0.2779437,-0.3109304,0.008552114,284161
-0.30298916,-0.26633725,-0.01038471,289166
-0.31764993,-0.19181168,-0.02443461,294160
-0.32742378,-0.081855945,-0.029932396,299145
-0.33964106,0.030543262,-0.039095376,304150
-0.3811799,0.12889257,-0.061086524,309155
-0.43249258,0.124005646,-0.07452556,314179
-0.49663344,0.07452556,-0.081855945,319165
-0.5644395,0.01160644,-0.07941248,324139
-0.62796944,-0.023823744,-0.070249505,329144
-0.689056,-0.047647487,-0.05497787,334170
-0.74281216,-0.080634214,-0.036651913,339154
-0.79229224,-0.1301143,-0.020158553,344159
-0.84116143,-0.19181168,-0.010995574,349164
-0.88331115,-0.25961772,-0.012217305,354157
-0.9297369,-0.3494149,-0.02565634,359143
-0.95294976,-0.39400807,-0.04886922,364148
-0.9718866,-0.41722095,-0.08368854,369153
-0.98532563,-0.4196644,-0.11911872,374177
-1.0012082,-0.40866885,-0.15821409,379162
-1.0067059,-0.38912117,-0.19303341,384137
-1.0042624,-0.36774087,-0.21930063,389142
-0.99204516,-0.3371976,-0.23884831,394166
-0.97005403,-0.30115658,-0.2565634,399151
-0.9419542,-0.25961772,-0.2687807,404156
-0.89919364,-0.17470746,-0.29138273,409161
-0.8735373,-0.09896017,-0.3036,414186
-0.8472701,-0.016493361,-0.30909783,419140
-0.8210029,0.059253927,-0.30909783,424145
-0.79534656,0.12461651,-0.3042109,429150
-0.7672467,0.17898351,-0.2968805,434175
-0.74036866,0.21624629,-0.2883284,439160
-0.7189884,0.24740042,-0.28038713,444165
-0.6951646,0.267559,-0.2742785,449139
-0.66889745,0.28344148,-0.26633725,454163
-0.6243043,0.3109304,-0.25534168,459149
-0.5888741,0.3304781,-0.24495697,464154
-0.5540548,0.35002577,-0.23823744,469159
-0.5186246,0.36713,-0.22602014,474183
-0.4831944,0.3848451,-0.21013765,479138
-0.44776422,0.38973203,-0.18997909,484143
-0.4111123,0.37018433,-0.16065755,489148
-0.37568212,0.3359759,-0.1301143,494172
-0.34330627,0.2846632,-0.09468412,499157
-0.3042109,0.22479841,-0.05375614,504162
-0.2657264,0.1704314,-0.018936822,509137
0.008552114,0.15821409,0.015271631,514161
0.20463985,0.115453534,0.004886922,519146
0.26939157,-0.0012217305,0.007330383,524151
0.29138273,-0.106901415,0.014660766,529156
0.29993483,-0.14355333,0.026267206,534180
0.29626966,-0.1301143,0.049480084,539166
0.28099802,-0.103847094,0.08857546,544140
0.26206118,-0.08307768,0.124005646,549145
0.23701571,-0.06169739,0.14844026,554169
0.20219639,-0.020158553,0.14966199,559155
0.12339478,0.065973446,0.1160644,564160
0.059864793,0.11728613,0.08002335,569165
-0.007941248,0.14966199,0.04337143,574159
-0.06963864,0.16126843,0.016493361,579144
-0.115453534,0.16187929,-0.002443461,584149
-0.14294247,0.14966199,-0.02076942,589154
-0.15454891,0.12767084,-0.036651913,594178
-0.15332718,0.09040806,-0.051923547,599163
-0.14538592,0.048258353,-0.06352998,604138
