x,y,z,timestamp
0.84421575,0.6621779,0.36835176,669
0.98837996,0.6939429,0.4196644,5643
1.1258247,0.729984,0.4538729,10648
1.2492194,0.7703011,0.47647488,15673
1.3542882,0.82772243,0.48380527,20658
1.4422529,0.90469146,0.47891834,25663
1.536326,1.0329732,0.47158796,30668
1.568702,1.0983357,0.4728097,35692
1.5735888,1.1490375,0.48808134,40647
1.5509869,1.2027937,0.5137377,45652
1.5015068,1.2797627,0.552833,50657
1.4239268,1.3836098,0.59559363,55681
1.3249667,1.5088371,0.6462954,60667
1.210735,1.6719382,0.71593404,65671
1.1038336,1.8228219,0.8032878,70646
1.0103711,1.9181169,0.90469146,75670
0.91751957,1.9865338,0.9950995,80656
0.7910705,2.035403,1.0958922,85660
0.7287622,2.0476203,1.1233811,90665
0.689056,2.0409007,1.1178834,95689
0.68294734,1.9926424,1.078788,100645
0.71776664,1.8820758,0.99387777,105649
0.7867944,1.78617,0.8875872,110654
0.88086766,1.8209893,0.79473567,115678
1.0079277,1.9028453,0.7458665,120664
1.146594,2.026851,0.73731434,125669
1.2559389,2.1227567,0.7293731,130643
1.3542882,2.081218,0.6988298,135668
1.3860532,1.9278907,0.6786713,140653
1.3946054,1.7470746,0.657291,145658
1.3793337,1.5656476,0.62858033,150663
1.3494014,1.3775011,0.589485,155689
1.2883148,1.282817,0.5357288,160673
1.2082914,1.2027937,0.4783075,165647
1.1111639,1.1679744,0.43249258,170652
0.9957104,1.2009611,0.40011674,175678
0.86193085,1.2541064,0.37201694,180662
0.6609562,1.2528846,0.312763,185666
0.5467244,1.2260065,0.24984388,190671
0.45814893,1.2284501,0.18692477,195667
0.39584067,1.3090842,0.13133603,200651
0.33964106,1.4135422,0.092240654,205655
0.28710666,1.486846,0.06352998,210660
0.24556783,1.4990633,0.042760566,215687
0.22113322,1.4746287,0.028710667,220670
0.22907446,1.4031575,0.018936822,225644
0.27488935,1.3182472,0.009773844,230649
0.3885103,1.2363913,-0.025045475,235676
0.47586402,1.1673635,-0.06291912,240659
0.5674938,1.042747,-0.116675265,245664
0.6536258,0.8918633,-0.172264,250669
0.72692966,0.75686204,-0.24190263,255665
0.77457714,0.6401868,-0.2932153,260648
0.8032878,0.49602258,-0.33108896,265653
0.8142834,0.3885103,-0.35124752,270658
0.80573124,0.32742378,-0.34697145,275684
0.77824235,0.26816985,-0.33108896,280668
0.7305948,0.21624629,-0.30665436,285672
0.6444628,0.1863139,-0.2510656,290647
0.5852089,0.18509217,-0.20097467,295675
0.5363397,0.19058995,-0.14966199,300657
0.4972443,0.19730948,-0.09468412,305661
0.47342056,0.20097467,-0.04520403,310666
0.45265114,0.21624629,-0.0067195175,315695
0.43554693,0.22602014,0.021380283,320646
0.41722095,0.23335053,0.03604105,325650
0.35796702,0.31031954,0.029321533,330655
0.25534168,0.38545597,0.007941248,335682
0.07391469,0.2968805,-0.022602014,340665
-0.021380283,0.15271631,-0.054367006,345670
-0.08979719,0.045814894,-0.089186326,350644
-0.12950343,-0.019547688,-0.111177474,355673
-0.15210545,-0.077579886,-0.12950343,360654
-0.15271631,-0.16493362,-0.13561209,365659
-0.1386664,-0.25961772,-0.12156218,370664
-0.1282817,-0.33658674,-0.08735373,375692
-0.124005646,-0.40439278,-0.039095376,380643
-0.13439035,-0.4642576,0.007941248,385648
-0.18142697,-0.5363397,0.05681047,390653
-0.22418754,-0.56382865,0.07391469,395681
-0.27855456,-0.5729916,0.07574729,400663
-0.34208453,-0.5748242,0.06169739,405668
-0.41905355,-0.5656612,0.04153884,410673
-0.516792,-0.5467244,0.007941248,415668
-0.62980205,-0.5222898,-0.03604105,420652
-0.7629707,-0.50823987,-0.08307768,425657
-0.9114109,-0.50701815,-0.13500121,430661
-1.0647382,-0.5180137,-0.19242255,435688
-1.2944235,-0.5497787,-0.27672195,440671
-1.4220943,-0.6597345,-0.3304781,445646
-1.5088371,-0.83260936,-0.39522982,450651
-1.5381587,-1.0458013,-0.46670106,455677
-1.500285,-1.2699889,-0.54550266,460660
