x,y,z,timestamp
0.36957347,0.58459806,0.5002986,1758
0.593761,0.36468655,0.5687156,6813
0.7165449,0.21135938,0.67011917,11737
0.8588765,0.15149458,0.7470882,16742
1.0219775,0.14294247,0.79534656,21747
1.1960741,0.16798794,0.8210029,26772
1.3707817,0.19242255,0.829555,31757
1.5430456,0.19547687,0.82833326,36762
1.709201,0.18997909,0.838718,41767
1.8625281,0.20341812,0.8527679,46761
1.9645426,0.28038713,0.8594874,51746
2.026851,0.39584067,0.9034697,56751
1.994475,0.47769663,0.9401216,61756
1.8863518,0.56077427,0.9633345,66781
1.7061466,0.6206391,0.956615,71766
1.4703526,0.68294734,0.92179567,76740
1.210124,0.8142834,0.86132,81745
0.9388999,1.0403035,0.7678576,86771
0.64812803,1.287093,0.59864795,91755
0.38606682,1.4764613,0.42271876,96759
0.1685988,1.6303993,0.24495697,101764
-0.030543262,1.9468275,0.032986723,106761
-0.08368854,2.2369885,-0.044593163,111744
-0.06658431,2.5332582,-0.032375857,116748
0.0061086523,2.7366762,0.064751714,121754
0.1142318,2.8264735,0.21013765,126780
0.23518312,2.7721064,0.35613444,131763
0.35735616,2.6108382,0.47219884,136737
0.4886922,2.3774874,0.548557,141743
0.6414085,2.1197023,0.59742624,146767
0.81183994,1.9297233,0.61758476,151752
1.069625,1.813659,0.6151413,156757
1.2205088,1.7831156,0.6291912,161762
1.3231341,1.6792686,0.67256266,166786
1.3793337,1.5717562,0.7293731,171741
1.3860532,1.4349225,0.7812967,176746
1.3579534,1.2767084,0.8014552,181751
1.3249667,1.1557571,0.7825184,186777
1.2999213,1.138042,0.72387534,191761
1.2815952,1.2223413,0.6389651,196766
1.2638801,1.3341297,0.54061574,201740
1.2388347,1.4294246,0.4392121,206766
1.1753048,1.4807373,0.3109304,211750
1.1270463,1.4306464,0.2510656,216755
1.0830641,1.3622295,0.21685717,221760
1.0525209,1.2950343,0.20158553,226786
1.0274754,1.2260065,0.19486602,231739
1.0024298,1.1264355,0.18692477,236744
0.9841039,0.9767735,0.16310102,241749
0.9737192,0.8179486,0.13500121,246775
0.97249746,0.657291,0.10629055,251758
0.9779953,0.5015204,0.07696902,256763
0.98899084,0.2669481,0.04153884,261738
0.9957104,0.14844026,0.026267206,266764
0.99082345,0.06169739,0.017104227,271747
0.9737192,-0.0067195175,0.009773844,276752
0.9401216,-0.04153884,0.0067195175,281757
0.8943067,-0.04886922,0.0061086523,286783
0.84421575,-0.05681047,0.01038471,291767
0.8045095,-0.039095376,0.02443461,296741
0.7788532,0.04337143,0.062308256,301746
0.76052725,0.15271631,0.1142318,306775
0.72265357,0.36468655,0.18387043,311756
0.6963864,0.5448918,0.22174409,316761
0.66645396,0.7367035,0.25411993,321766
0.63529986,0.88331115,0.2846632,326764
0.6096435,0.9841039,0.31948254,331745
0.6010914,1.061073,0.34697145,336750
0.61086524,1.0940597,0.3640757,341755
0.6401868,1.0910053,0.37201694,346781
0.68477994,1.0684034,0.37690386,351764
0.73731434,1.0158689,0.37751472,356739
0.81306165,0.90469146,0.35735616,361744
0.8582657,0.838718,0.34513888,366770
0.88270026,0.75625116,0.33169982,371753
0.8863655,0.65301496,0.3145956,376758
0.8753699,0.5552765,0.30115658,381763
0.8509353,0.4813618,0.28955013,386757
0.7556403,0.516792,0.25961772,391742
0.5656612,0.58276546,0.23396139,396747
0.33169982,0.52778757,0.2125811,401752
0.12034045,0.35796702,0.1863139,406776
-0.04153884,0.16554448,0.16187929,411762
-0.14172074,-0.1142318,0.12217305,416767
-0.1282817,-0.3304781,0.07513642,421741
-0.07269296,-0.54000485,0.02076942,426767
0.0012217305,-0.6945538,-0.018936822,431751
0.06414085,-0.7825184,-0.040317107,436756
0.10323623,-0.8216137,-0.04153884,441761
0.11178834,-0.83199847,-0.021991149,446787
0.09101892,-0.81489426,0.002443461,451740
0.056199603,-0.78801614,0.037873644,456745
0.004886922,-0.7519751,0.06841691,461750
-0.06780604,-0.6835582,0.10323623,466776
-0.11789699,-0.63346726,0.12644911,471759
-0.16310102,-0.6017023,0.15821409,476764
-0.2144137,-0.59742624,0.19364429,481739
-0.27305678,-0.6224717,0.23090707,486765
-0.34513888,-0.66645396,0.26083946,491748
-0.43249258,-0.72692966,0.2742785,496753
-0.5369505,-0.79168135,0.27000242,501758
-0.6542367,-0.8588765,0.24556783,506783
-0.78984874,-0.9193522,0.20097467,511738
-0.9975429,-1.0012082,0.11178834,516742
-1.1313224,-1.0445796,0.03604105,521747
-1.2547172,-1.0769554,-0.03848451,526771
-1.3695599,-1.1148291,-0.11728613,531757
-1.4721853,-1.16492,-0.18081611,536762
-1.563815,-1.2516629,-0.23579398,541767
-1.645671,-1.3243558,-0.3109304,546760
-1.7440202,-1.3787229,-0.40866885,551746
-1.844813,-1.4391985,-0.5131268,556751
-1.954158,-1.464244,-0.6224717,561756
-2.112372,-1.432479,-0.7837401,566782
-2.2101104,-1.368949,-0.88270026,571766
-2.2992969,-1.3298537,-0.96883225,576740
-2.3793201,-1.3878858,-1.0054842,581745
-2.4514022,-1.5241088,-1.0079277,586772
-2.521041,-1.645671,-1.0775663,591755
-2.5870142,-1.745242,-1.1746938,596759
-2.652377,-1.7947221,-1.2974777,601764
-2.7189612,-1.8356501,-1.4263704,606759
-2.7818804,-1.8655825,-1.5540411,611744
-2.8857274,-1.8069394,-1.7446312,616748
-2.955977,-1.7183639,-1.8515326,621754
-3.0164526,-1.6701056,-1.917506,626778
-3.0622675,-1.65911,-1.9370537,631763
-3.0940325,-1.6389514,-1.9236146,636737
-3.1202996,-1.6297885,-1.9095647,641743
-3.1477885,-1.6688838,-1.9126191,646767
-3.1850514,-1.749518,-1.9321668,651752
-3.2143729,-1.8839084,-1.9462167,656757
-3.222925,-2.085494,-1.9022343,661762
-3.1716123,-2.204002,-1.8393153,666786
-2.9956832,-2.0372355,-1.7195857,671741
-2.8069258,-1.7476854,-1.6181821,676746
-2.5674667,-1.4312572,-1.5125023,681751
-2.2766948,-1.1502593,-1.4123205,686775
-1.954158,-0.9224065,-1.3371841,691761
-1.6120734,-0.75502944,-1.2516629,696766
-1.2565498,-0.6243043,-1.1435398,701740
-0.8894198,-0.52106804,-1.0177015,706764
-0.5155703,-0.43554693,-0.88025683,711750
0.048258353,-0.64996064,-0.68966687,716755
0.91324353,-0.6951646,-0.3359759,721760
1.201572,-0.2724459,-0.31520647,726784
1.4807373,-0.080634214,-0.30543262,731739
1.6652187,-0.017104227,-0.28344148,736744
1.8246545,0.0061086523,-0.23823744,741748
1.9394971,0.029321533,-0.18509217,746773
2.0073032,0.06414085,-0.13622294,751758
2.0286834,0.077579886,-0.09162979,756763
1.9883664,0.040927973,-0.048258353,761738
1.8686367,-0.052534413,-0.005497787,766762
1.5332718,-0.23090707,0.0580322,771747
1.2479976,-0.29932398,0.10567969,776752
0.96577793,-0.27488935,0.15699236,781757
0.7049385,-0.1600467,0.20097467,786783
0.4709771,0.013439035,0.23396139,791767
0.25900686,0.19242255,0.2510656,796741
0.058643065,0.3323107,0.24984388,801746
-0.12156218,0.41783184,0.23457226,806770
-0.28221974,0.46853364,0.21685717,811756
-0.40561453,0.5009095,0.20830505,816761
-0.50579643,0.44776422,0.23457226,821766
-0.37384954,0.37751472,0.2565634,826759
-0.24495697,0.23335053,0.23823744,831745
-0.2302962,0.007330383,0.2284636,836750
-0.22724187,-0.16371189,0.2321288,841755
-0.22113322,-0.19486602,0.22785273,846779
-0.20525073,-0.18081611,0.21746802,851764
-0.17654006,-0.21135938,0.20891592,856739
-0.12705997,-0.3286455,0.19792034,861744
-0.05681047,-0.5015204,0.18325958,866768
0.05009095,-0.66828656,0.16310102,871753
0.26206118,-0.8350528,0.13683382,876758
0.42332962,-0.91813046,0.1282817,881763
0.5907067,-0.9639453,0.12522738,886757
0.75136423,-0.95417154,0.13072516,891742
0.8979719,-0.89675015,0.14721853,896747
