x,y,z,timestamp
0.50762904,0.31581733,0.14905111,2742
0.6114761,0.25900686,0.18081611,7716
0.7263188,0.22418754,0.22785273,12740
0.852157,0.21746802,0.27855456,17726
0.98471475,0.23457226,0.33658674,22731
1.1856894,0.27855456,0.42210788,27735
1.3200798,0.31215215,0.47952923,32760
1.450805,0.3622431,0.5338962,37745
1.5717562,0.45631635,0.5839872,42720
1.6676621,0.58459806,0.6224717,47724
1.7385225,0.7104363,0.6554584,52749
1.7721201,0.8393288,0.6774496,57734
1.7708983,0.9828822,0.6945538,62739
1.7348573,1.1203269,0.7141015,67744
1.668273,1.2431108,0.73548174,72738
1.541213,1.4074335,0.7678576,77723
1.4471397,1.5241088,0.7855727,82728
1.3530666,1.6444492,0.8026769,87733
1.2565498,1.7476854,0.81245077,92757
1.1453724,1.8692477,0.7819075,97743
1.042747,1.9480493,0.7538077,102717
0.960891,1.9737056,0.729984,107722
0.9034697,1.9737056,0.7165449,112746
0.8729264,1.9566014,0.7244862,117732
0.8686504,1.9199494,0.75319684,122737
0.9016371,1.8515326,0.8197812,127742
0.9388999,1.8270979,0.86254174,132735
0.9804387,1.808772,0.89369583,137721
1.0268645,1.7831156,0.90224797,142726
1.0793989,1.7299703,0.8772025,147731
1.1239921,1.72264,0.8240572,152755
1.1484267,1.7702875,0.7635816,157740
1.1704178,1.7489072,0.71593404,162745
1.187522,1.6756034,0.689056,167720
1.1905763,1.5888605,0.6780604,172744
1.1655309,1.486846,0.66706485,177729
1.1215485,1.4581354,0.64873886,182765
1.0622946,1.4117095,0.6243043,187739
0.9963212,1.3494014,0.59742624,192765
0.9224065,1.2993103,0.5693264,197718
0.84238315,1.2724323,0.54183745,202723
0.75808376,1.260215,0.50823987,207728
0.6737844,1.2516629,0.47525316,212754
0.5907067,1.2370021,0.43554693,217738
0.51068336,1.2082914,0.39584067,222743
0.43799037,1.1673635,0.35185838,227717
0.33536503,1.1117748,0.28771752,232744
0.24740042,1.0775663,0.23884831,237727
0.14172074,0.9914343,0.19303341,242732
0.05375614,0.8051204,0.16065755,247737
-0.01282817,0.55771995,0.13194689,252763
-0.049480084,0.30848694,0.10262536,257716
-0.061086524,0.10140363,0.06963864,262721
-0.045814894,-0.049480084,0.031154128,267726
-0.017715093,-0.1563815,-0.0012217305,272752
0.01160644,-0.24617869,-0.027488936,277735
0.029321533,-0.37751472,-0.055588737,282740
0.015882496,-0.46670106,-0.08124508,287745
-0.019547688,-0.54000485,-0.12156218,292741
-0.07696902,-0.60048056,-0.17531833,297725
-0.15271631,-0.6469063,-0.23518312,302730
-0.24923302,-0.6743952,-0.29565877,307734
-0.36163223,-0.6872234,-0.35246924,312761
-0.49418998,-0.6921103,-0.40194935,317744
-0.64751714,-0.70188415,-0.44715336,322718
-0.8167268,-0.71959925,-0.4886922,327723
-1.0763446,-0.77579886,-0.54428095,332750
-1.2363913,-0.8313876,-0.5766568,337733
-1.368949,-0.8961393,-0.6047566,342738
-1.4556919,-0.97127575,-0.6230826,347743
-1.4892895,-1.074512,-0.6310238,352736
-1.459968,-1.2082914,-0.62980205,357722
-1.3793337,-1.3365731,-0.6267477,362727
-1.241889,-1.428203,-0.6206391,367732
-1.065349,-1.4862351,-0.6114761,372756
-0.86620694,-1.518611,-0.5821546,377742
-0.5656612,-1.5088371,-0.548557,382716
-0.39767328,-1.4660766,-0.5357288,387721
-0.25473082,-1.423316,-0.52656585,392745
-0.13683382,-1.3952162,-0.51007247,397731
-0.042760566,-1.3970488,-0.48991394,402736
0.01282817,-1.41904,-0.47158796,407740
0.02687807,-1.4514158,-0.46792278,412765
0.0030543262,-1.4727961,-0.4831944,417720
-0.06047566,-1.4892895,-0.51251596,422725
-0.15210545,-1.4996742,-0.5491679,427729
-0.32436943,-1.5143349,-0.6010914,432756
-0.4636467,-1.5149459,-0.6450737,437739
-0.6230826,-1.4978416,-0.70188415,442744
-0.7984009,-1.4819591,-0.76174897,447718
-0.97494096,-1.4605788,-0.8191703,452745
-1.1502593,-1.4202617,-0.8698721,457728
-1.3158038,-1.3640621,-0.9077458,462733
-1.4636332,-1.2950343,-0.93279123,467738
-1.5888605,-1.2205088,-0.9450085,472762
-1.6859881,-1.1624765,-0.9492846,477717
-1.7519615,-1.1209377,-0.9456194,482722
-1.7873917,-1.0641272,-0.9285152,487727
-1.7696766,-0.9969321,-0.9089675,492751
-1.7263051,-0.8857546,-0.87964594,497737
-1.6603317,-0.743423,-0.8454375,502742
-1.5778649,-0.60231316,-0.8026769,507716
-1.4764613,-0.4972443,-0.7538077,512740
-1.359786,-0.43860126,-0.70188415,517726
-1.2272283,-0.4184427,-0.6450737,522731
-1.0855075,-0.4202753,-0.5839872,527735
-0.93584555,-0.43004912,-0.52839845,532760
-0.7104363,-0.44898596,-0.45265114,537745
-0.5729916,-0.45875978,-0.41538838,542720
-0.4447099,-0.46914452,-0.38606682,547724
-0.33414328,-0.47708577,-0.3567453,552749
-0.2406809,-0.48991394,-0.33414328,557734
-0.16493362,-0.50640726,-0.31642818,562739
-0.11056661,-0.51923543,-0.3115413,567744
-0.08735373,-0.52290064,-0.31520647,572738
-0.09407325,-0.50701815,-0.32498032,577723
-0.1337795,-0.45937067,-0.33475417,582728
-0.23090707,-0.34880406,-0.34269542,587733
-0.3109304,-0.24923302,-0.34025195,592757
-0.39461896,-0.13988814,-0.3286455,597743
-0.48502702,-0.03176499,-0.31215215,602717
-0.5729916,0.087964594,-0.28588495,607722
-0.6469063,0.20280726,-0.25228736,612746
-0.6957755,0.3115413,-0.20952678,617732
-0.7153232,0.41355577,-0.16676621,622737
-0.6536258,0.5222898,-0.11178834,627742
-0.38545597,0.6267477,-0.07452556,632735
-0.21563543,0.46670106,-0.053145275,637721
-0.16798794,0.24678956,-0.013439035,642726
-0.14721853,0.11056661,0.028710667,647731
-0.124005646,0.059864793,0.06047566,652755
-0.08674286,0.013439035,0.07819075,657740
-0.040927973,-0.06352998,0.08674286,662746
0.0018325958,-0.14966199,0.08124508,667720
0.039095376,-0.20158553,0.07391469,672744
0.065973446,-0.20952678,0.069027774,677729
0.070249505,-0.19853121,0.06536258,682734
0.053145275,-0.17959438,0.06414085,687739
