x,y,z,timestamp
0.23762658,0.3921755,0.16493362,3561
0.3042109,0.37568212,0.19547687,8547
0.3707952,0.37568212,0.22296582,13551
0.4288274,0.38789943,0.24740042,18526
0.48197266,0.3933972,0.267559,23550
0.5271767,0.40317106,0.28893927,28535
0.57848936,0.44776422,0.3145956,33540
0.6041457,0.48991394,0.33536503,38546
0.62125,0.53878313,0.35369098,43570
0.63224554,0.602924,0.37201694,48525
0.6414085,0.6927212,0.3921755,53530
0.6450737,0.7984009,0.40378192,58534
0.6389651,0.9034697,0.4111123,63559
0.6267477,0.9963212,0.4147775,68544
0.60231316,1.0830641,0.4184427,73549
0.5674938,1.1575897,0.4202753,78554
0.4905248,1.2431108,0.4251622,83550
0.43188173,1.287093,0.42760566,88533
0.37140608,1.3371841,0.42821655,93538
0.31337386,1.3903292,0.42638394,98543
0.2602286,1.4337007,0.42577308,103569
0.2144137,1.5039502,0.4251622,108553
0.17837265,1.5974126,0.43188173,113527
0.15271631,1.6737708,0.44837508,118532
0.1386664,1.7458528,0.4783075,123556
0.13316862,1.8258762,0.5112942,128542
0.15210545,1.9529362,0.5674938,133547
0.1777618,2.0347922,0.6114761,138551
0.20525073,2.08977,0.65057147,143545
0.23884831,2.1252003,0.6872234,148531
0.27488935,2.1533,0.71959925,153535
0.30848694,2.1789563,0.7324274,158541
0.32498032,2.2107213,0.7324274,163567
0.3371976,2.1655173,0.7257079,168550
0.3390302,2.0983222,0.70616025,173525
0.33658674,2.031127,0.6743952,178530
0.32253686,1.8863518,0.602924,183556
0.3115413,1.7305813,0.5412266,188539
0.3286455,1.3267993,0.4550946,193544
0.3549127,0.7703011,0.34330627,198549
0.35369098,0.34025195,0.27000242,203575
0.33475417,-0.07880162,0.21930063,208528
0.29565877,-0.44043383,0.15393804,213533
0.24373524,-0.6774496,0.09285152,218538
0.20219639,-0.7892379,0.061086524,223564
0.16920967,-0.81061816,0.052534413,228548
0.13744467,-0.79779,0.05009095,233553
0.095294975,-0.7635816,0.021380283,238527
0.07086037,-0.729984,-0.023823744,243553
0.04886922,-0.68539083,-0.09040806,248537
0.021991149,-0.63285637,-0.1685988,253542
-0.01160644,-0.58032197,-0.25228736,258547
-0.05375614,-0.5369505,-0.3359759,263573
-0.09896017,-0.5149594,-0.4147775,268526
-0.15149458,-0.50579643,-0.48197266,273531
-0.21013765,-0.52534413,-0.539394,278536
-0.2773328,-0.571159,-0.58032197,283562
-0.398895,-0.70371675,-0.6200282,288545
-0.49296826,-0.8210029,-0.634689,293550
-0.59131753,-0.947452,-0.63713247,298525
-0.6957755,-1.0781772,-0.63224554,303553
-0.8026769,-1.2119566,-0.6206391,308534
-0.9083566,-1.3408492,-0.6072,313539
-1.0091494,-1.464244,-0.589485,318544
-1.0958922,-1.5705346,-0.5687156,323573
-1.1667526,-1.6530013,-0.5479461,328554
-1.2168436,-1.6994271,-0.5271767,333528
-1.2406673,-1.7006488,-0.50518554,338533
-1.2266175,-1.6487253,-0.5002986,343557
-1.1844677,-1.5723672,-0.49418998,348543
-1.1215485,-1.4899004,-0.49602258,353548
-1.0384709,-1.3952162,-0.49663344,358553
-0.93767816,-1.2938126,-0.5027421,363546
-0.82344633,-1.1917981,-0.50762904,368532
-0.70005155,-1.1007792,-0.5204572,373537
-0.58276546,-1.0231993,-0.5338962,378542
-0.47586402,-0.97066486,-0.5369505,383566
-0.32070425,-0.86132,-0.52473325,388551
-0.19058995,-0.7501425,-0.50946164,393526
-0.058643065,-0.6444628,-0.48502702,398531
0.06658431,-0.571159,-0.45753807,403555
0.17592919,-0.54244834,-0.43249258,408540
0.25411993,-0.5479461,-0.4111123,413545
0.30298916,-0.5723807,-0.39584067,418550
0.32559118,-0.6096435,-0.37812558,423544
0.32986724,-0.6450737,-0.34880406,428530
0.32436943,-0.6609562,-0.31581733,433565
0.3115413,-0.65057147,-0.28160888,438539
0.2742785,-0.5870415,-0.23823744,443563
0.23396139,-0.5216789,-0.22113322,448549
0.18020524,-0.44532076,-0.20525073,453554
0.12095132,-0.3707952,-0.18570304,458528
0.05131268,-0.30482176,-0.1563815,463552
-0.018936822,-0.25228736,-0.12217305,468538
-0.08857546,-0.20525073,-0.08552113,473543
-0.050701816,-0.1685988,-0.03726278,478548
0.07941248,-0.16615535,-0.01038471,483572
0.09590584,-0.25534168,0.01282817,488527
0.03970624,-0.38973203,0.05375614,493532
-0.022602014,-0.36468655,0.08307768,498537
-0.084910266,-0.28955013,0.105068825,503561
-0.1337795,-0.20463985,0.111177474,508546
-0.16615535,-0.1337795,0.105068825,513551
-0.18448131,-0.0720821,0.09590584,518526
-0.19730948,-0.010995574,0.08735373,523550
-0.20769419,0.05009095,0.077579886,528535
-0.20891592,0.11178834,0.07391469,533540
-0.204029,0.16187929,0.06719518,538545
-0.1704314,0.19242255,0.059864793,543570
-0.14172074,0.1704314,0.05497787,548524
-0.10873401,0.12156218,0.045814894,553529
-0.07269296,0.06352998,0.036651913,558534
-0.035430185,0.0018325958,0.02687807,563558
-6.1086525E-4,-0.0580322,0.02076942,568544
0.029321533,-0.10995574,0.016493361,573549
