x,y,z,timestamp
0.50701815,0.32986724,0.17287487,3205
0.55955255,0.28405234,0.20769419,8191
0.6059783,0.2443461,0.24617869,13196
0.657291,0.19975294,0.29443705,18200
0.7134906,0.15821409,0.34513888,23194
0.7690793,0.13744467,0.3933972,28180
0.82833326,0.12889257,0.4447099,33185
0.8906415,0.15515977,0.49846604,38190
0.95539325,0.23090707,0.5571091,43214
1.0170907,0.33353242,0.61819565,48199
1.0903945,0.51251596,0.6988298,53204
1.1227703,0.6395759,0.7440339,58179
1.1319333,0.7703011,0.7825184,63203
1.1307116,0.9089675,0.8185594,68188
1.1087204,1.0567969,0.8472701,73193
1.0604621,1.2449434,0.8368854,78198
0.98471475,1.4746287,0.80939645,83222
0.9224065,1.6780468,0.806953,88177
0.8680395,1.8735237,0.8344419,93182
0.81122905,2.0744984,0.870483,98187
0.6976081,2.411696,0.90469146,103214
0.60903263,2.638938,0.89919364,108197
0.5137377,2.8496864,0.8680395,113202
0.4147775,3.0213394,0.81489426,118176
0.321926,3.1343496,0.7483099,123203
0.24556783,3.1917708,0.679893,128186
0.19914207,3.1716123,0.6114761,133191
0.17654006,3.140458,0.54428095,138196
0.18753563,3.095865,0.49174652,143220
0.23823744,2.9999592,0.4642576,148175
0.3200934,2.8930578,0.46181414,153180
0.47036624,2.7317894,0.48808134,158185
0.57360244,2.6047294,0.5143485,163209
0.66706485,2.4678955,0.5381723,168195
0.7470882,2.3408356,0.55833083,173200
0.81306165,2.2375994,0.5748242,178204
0.86926126,2.1551325,0.58459806,183198
0.91629785,2.1007655,0.5919284,188184
0.9560041,2.0885482,0.6010914,193188
0.9773844,2.1013765,0.6114761,198193
0.9804387,2.1343632,0.62125,203222
0.9419542,2.1875083,0.6218608,208203
0.8894198,2.2266037,0.61575216,213178
0.8228355,2.2785273,0.6053675,218182
0.7440339,2.334727,0.5919284,223211
0.66706485,2.375655,0.57787853,228192
0.5858198,2.3903158,0.56382865,233197
0.5137377,2.3634377,0.54428095,238202
0.45998153,2.2907448,0.5198463,243200
0.43004912,2.20278,0.46975538,248181
0.42088616,2.1465805,0.39767328,253186
0.40683624,2.053118,0.3463606,258191
0.40500367,1.8936822,0.3286455,263217
0.35185838,1.4294246,0.28527406,268200
0.23701571,0.7086037,0.2406809,273175
0.18325958,0.22968534,0.21135938,278180
0.15943582,-0.096516706,0.16982053,283206
0.116675265,-0.33536503,0.10751228,288190
0.055588737,-0.50640726,0.06291912,293195
-0.0030543262,-0.61269784,0.057421334,298199
-0.04153884,-0.63041294,0.07147124,303226
-0.04886922,-0.56016344,0.06658431,308179
-0.021991149,-0.50335294,0.03726278,313184
0.013439035,-0.44104472,-0.007941248,318188
0.04520403,-0.38973203,-0.059864793,323215
0.05681047,-0.36285394,-0.11728613,328198
0.048258353,-0.3640757,-0.1704314,333203
0.02076942,-0.376293,-0.21502456,338177
-0.02076942,-0.41599923,-0.24617869,343204
-0.08246681,-0.4886922,-0.27550024,348187
-0.16310102,-0.5748242,-0.3115413,353192
-0.25595254,-0.66889745,-0.34391713,358197
-0.4129449,-0.8210029,-0.38240165,363223
-0.5204572,-0.9401216,-0.40378192,368176
-0.6261369,-1.0812315,-0.4269948,373181
-0.7287622,-1.2400564,-0.45753807,378186
-0.8240572,-1.4294246,-0.49480084,383212
-0.8949176,-1.6646078,-0.5381723,388196
-0.93462384,-1.9358319,-0.5870415,393201
-0.9285152,-2.2162192,-0.634689,398175
-0.88025683,-2.4733934,-0.68233645,403201
-0.8002335,-2.7000244,-0.73731434,408185
-0.65240407,-2.9926288,-0.8038987,413220
-0.5448918,-3.1202996,-0.82894415,418195
-0.44837508,-3.169169,-0.8454375,423221
-0.38240165,-3.137404,-0.8558222,428204
-0.3286455,-3.07815,-0.8539896,433179
-0.2864958,-3.0219505,-0.84482664,438184
-0.25717425,-2.9895744,-0.8393288,443210
-0.24495697,-2.9743028,-0.84116143,448193
-0.25411993,-2.968805,-0.84788096,453198
-0.267559,-2.9907963,-0.84299403,458203
-0.30482176,-3.0482175,-0.79045963,463199
-0.3494149,-3.0286698,-0.77213365,468182
-0.4098906,-2.9596422,-0.7629707,473187
-0.48197266,-2.837469,-0.7611381,478192
-0.552833,-2.6841419,-0.7611381,483218
-0.6261369,-2.5082128,-0.7770206,488202
-0.70005155,-2.3377812,-0.8020661,493176
-0.7684685,-2.2192733,-0.8350528,498181
-0.8338311,-2.103209,-0.86620694,503207
-0.8918633,-1.9908098,-0.88331115,508191
-0.9560041,-1.8521434,-0.8906415,513196
-0.97249746,-1.7757853,-0.8863655,518200
-0.9645562,-1.6878207,-0.8729264,523194
-0.9370673,-1.568702,-0.8588765,528180
-0.8918633,-1.4202617,-0.8454375,533185
-0.829555,-1.2699889,-0.83016586,538190
-0.75991637,-1.1246029,-0.81000733,543214
-0.68477994,-0.98899084,-0.7806858,548199
-0.6084218,-0.86559606,-0.7281514,553204
-0.5320636,-0.7440339,-0.65668017,558179
-0.42638394,-0.54367006,-0.50579643,563203
-0.3707952,-0.39461896,-0.3848451,568188
-0.32742378,-0.24007004,-0.26450464,573193
-0.29077184,-0.087964594,-0.14844026,578198
-0.25900686,0.05375614,-0.0421497,583222
-0.22296582,0.17837265,0.051923547,588177
-0.18325958,0.2773328,0.1337795,593182
-0.14477506,0.34391713,0.19425514,598187
-0.11178834,0.3830125,0.23457226,603211
-0.08857546,0.39706242,0.26083946,608197
-0.07086037,0.3817908,0.27122417,613202
-0.06047566,0.30604348,0.26328292,618176
0.08246681,0.23762658,0.25289822,623200
0.2321288,0.09712757,0.19853121,628186
0.1966986,-0.13133603,0.14477506,633191
0.12034045,-0.3182608,0.12339478,638196
0.022602014,-0.3933972,0.115453534,643222
-0.081855945,-0.4202753,0.10262536,648175
-0.17654006,-0.43676865,0.077579886,653180
-0.2602286,-0.42088616,0.039095376,658185
-0.3359759,-0.36285394,-0.008552114,663211
-0.43371433,-0.20830505,-0.06536258,668195
-0.49663344,-0.081855945,-0.09162979,673199
-0.5571091,0.037873644,-0.10629055,678204
-0.6133087,0.13683382,-0.116675265,683198
-0.6585127,0.204029,-0.11728613,688184
-0.6939429,0.24373524,-0.11728613,693189
-0.72021013,0.24373524,-0.11056661,698193
-0.73853606,0.21197024,-0.10262536,703217
-0.7507534,0.15149458,-0.09468412,708203
-0.75441855,0.06658431,-0.084910266,713177
-0.7330383,-0.13439035,-0.06291912,718182
