x,y,z,timestamp
0.15821409,0.06047566,0.07819075,3256
0.2864958,-0.0036651916,0.1160644,8261
0.42638394,-0.04337143,0.1459968,13285
0.6389651,-0.047036625,0.1881465,18240
0.7678576,-0.043982297,0.22113322,23245
0.88514376,-0.05131268,0.2602286,28250
0.9993755,-0.073303826,0.30604348,33274
1.1148291,-0.07513642,0.3463606,38260
1.2198979,-0.026267206,0.37690386,43264
1.310306,0.05009095,0.39645153,48239
1.3671165,0.13500121,0.4007276,53263
1.382999,0.21746802,0.39461896,58249
1.3408492,0.2968805,0.376293,63254
1.1814134,0.40683624,0.34513888,68259
1.0311406,0.49846604,0.33108896,73285
0.86926126,0.6102544,0.33475417,78238
0.7104363,0.73914695,0.34391713,83243
0.55833083,0.86254174,0.35246924,88247
0.4147775,0.9841039,0.3567453,93274
0.28527406,1.0934488,0.3585779,98257
0.172264,1.187522,0.35796702,103262
0.080634214,1.251052,0.35308012,108267
0.014660766,1.2993103,0.344528,113263
-0.036651913,1.3341297,0.32986724,118246
-0.040317107,1.3060299,0.3200934,123251
-0.025045475,1.2247849,0.2932153,128256
0.009773844,1.0885619,0.2602286,133282
0.059864793,0.9138544,0.21502456,138266
0.12644911,0.7122689,0.1740966,143240
0.20525073,0.50701815,0.1301143,148245
0.28038713,0.26267207,0.08735373,153272
0.31703907,-0.05497787,0.050701816,158255
0.3408628,-0.37934732,0.02565634,163260
0.36102137,-0.6059783,0.01282817,168264
0.37995818,-0.70616025,0.01038471,173260
0.3640757,-0.70554936,0.009773844,178244
0.33292156,-0.6963864,0.0036651916,183249
0.2883284,-0.6719518,-0.014049901,188254
0.2406809,-0.62125,-0.032375857,193280
0.18997909,-0.5571091,-0.056199603,198263
0.13072516,-0.49235737,-0.0842994,203238
0.062308256,-0.44898596,-0.12156218,208243
-0.014660766,-0.43249258,-0.16310102,213269
-0.09773844,-0.4392121,-0.19730948,218252
-0.21685717,-0.47952923,-0.23335053,223257
-0.2950479,-0.5174029,-0.24495697,228262
-0.37995818,-0.56199604,-0.24678956,233289
-0.46731192,-0.59742624,-0.24740042,238241
-0.5589417,-0.625526,-0.24740042,243246
-0.64812803,-0.6249151,-0.24312437,248251
-0.7330383,-0.5888741,-0.23823744,253277
-0.81306165,-0.52473325,-0.23396139,258261
-0.88697636,-0.4636467,-0.226631,263266
-0.95172805,-0.4098906,-0.22052236,268240
-1.0177015,-0.33353242,-0.21624629,273267
-1.0390818,-0.28160888,-0.21563543,278250
-1.0421361,-0.24190263,-0.2180789,283255
-1.0305296,-0.21563543,-0.22113322,288260
-1.0036516,-0.20586158,-0.22479841,293284
-0.9596693,-0.20769419,-0.226631,298239
-0.89552844,-0.2180789,-0.22418754,303244
-0.8222246,-0.23457226,-0.21685717,308249
-0.7348709,-0.25473082,-0.21013765,313273
-0.6414085,-0.28160888,-0.20341812,318259
-0.50335294,-0.3378085,-0.19853121,323263
-0.4166101,-0.37507126,-0.19486602,328238
-0.3475823,-0.40439278,-0.19608775,333262
-0.29932398,-0.43004912,-0.19425514,338247
-0.27000242,-0.44715336,-0.18936823,343252
-0.25473082,-0.46120325,-0.18387043,348257
-0.24862215,-0.4709771,-0.1740966,353282
-0.2443461,-0.46853364,-0.16126843,358267
-0.23762658,-0.43676865,-0.14538592,363241
-0.22235495,-0.35979962,-0.12889257,368246
-0.19242255,-0.23579398,-0.099571034,373271
-0.18081611,-0.16798794,-0.08124508,378256
-0.17165314,-0.11362094,-0.06841691,383261
-0.15515977,-0.06169739,-0.055588737,388266
-0.12767084,-0.0036651916,-0.042760566,393260
-0.09040806,0.06536258,-0.029321533,398245
-0.04642576,0.12095132,-0.009162978,403250
-0.014660766,0.15882497,0.004276057,408255
0.042760566,0.17654006,0.02076942,413279
0.25778514,0.18448131,0.017715093,418264
0.31764993,0.017715093,-0.002443461,423239
0.2779437,-0.33292156,0.021380283,428244
0.226631,-0.40317106,0.035430185,433268
0.18081611,-0.36774087,0.06169739,438254
0.13133603,-0.31642818,0.07819075,443259
0.06780604,-0.2919936,0.08002335,448263
-0.0030543262,-0.27122417,0.059864793,453257
-0.07880162,-0.19975294,0.029932396,458243
-0.14782938,-0.077579886,0.0012217305,463247
-0.20219639,0.07696902,-0.016493361,468252
-0.24251351,0.20708331,-0.02443461,473277
-0.25961772,0.30665436,-0.02565634,478262
-0.24617869,0.3036,-0.02565634,483267
-0.22540927,0.25961772,-0.022602014,488241
-0.20097467,0.19242255,-0.023823744,493266
-0.17165314,0.111177474,-0.018325957,498251
-0.14110987,0.031154128,-0.007941248,503256
-0.111177474,-0.04520403,6.1086525E-4,508261
