x,y,z,timestamp
0.30970868,0.0580322,0.07391469,1420
0.38912117,-0.009162978,0.095294975,6425
0.4569272,-0.06841691,0.10873401,11449
0.51251596,-0.10995574,0.11728613,16435
0.5589417,-0.13255776,0.12950343,21409
0.6059783,-0.13927728,0.14172074,26414
0.64996064,-0.12461651,0.15393804,31439
0.6945538,-0.08124508,0.16187929,36424
0.73975784,-0.018325957,0.16615535,41429
0.79045963,0.0983493,0.1740966,46434
0.80878556,0.17287487,0.18020524,51458
0.81061816,0.23701571,0.18509217,56413
0.80756384,0.29932398,0.18875736,61418
0.7910705,0.3830125,0.18936823,66423
0.7733554,0.48197266,0.18875736,71447
0.7464773,0.57910025,0.18509217,76433
0.71837753,0.66706485,0.17654006,81437
0.6921103,0.7452556,0.16310102,86412
0.67256266,0.8142834,0.1441642,91436
0.64996064,0.9101892,0.124005646,96422
0.63529986,0.9663888,0.11789699,101427
0.6236934,1.0189233,0.12217305,106431
0.61391956,1.0512991,0.14049901,111456
0.6065892,1.0775663,0.17104226,116411
0.60231316,1.102001,0.21013765,121416
0.602924,1.1209377,0.258396,126420
0.60903263,1.1276573,0.30482176,131445
0.61086524,1.1172725,0.344528,136430
0.6041457,1.0812315,0.36713,141435
0.5888741,1.0305296,0.3744604,146409
0.5467244,0.93523467,0.35369098,151436
0.50885075,0.8533788,0.3213151,156419
0.45631635,0.75319684,0.27672195,161424
0.40378192,0.63285637,0.2284636,166429
0.36651915,0.5027421,0.17470746,171455
0.31581733,0.31642818,0.111177474,176439
0.2443461,0.04337143,0.05681047,181413
0.17531833,-0.23823744,0.02321288,186418
0.12522738,-0.43310347,0.0012217305,191444
0.08735373,-0.5155703,-0.008552114,196428
0.031154128,-0.5345071,-0.007330383,201432
-0.007941248,-0.52290064,-0.012217305,206437
-0.0421497,-0.48624873,-0.032375857,211433
-0.070249505,-0.43310347,-0.059864793,216417
-0.100792766,-0.37934732,-0.1020145,221422
-0.13439035,-0.33292156,-0.1459968,226427
-0.16920967,-0.29810223,-0.18875736,231453
-0.20769419,-0.29016098,-0.226631,236436
-0.24984388,-0.30787608,-0.25350907,241411
-0.29810223,-0.34574974,-0.27000242,246415
-0.37934732,-0.4098906,-0.27000242,251442
-0.44226643,-0.4465425,-0.26083946,256425
-0.5131268,-0.4831944,-0.2443461,261430
-0.59315014,-0.52534413,-0.22907446,266435
-0.6780604,-0.5742133,-0.21319197,271431
-0.7666359,-0.6084218,-0.20158553,276414
-0.8546005,-0.625526,-0.19120082,281419
-0.9407325,-0.6261369,-0.18448131,286424
-1.0213667,-0.61269784,-0.18448131,291450
-1.0910053,-0.5870415,-0.17898351,296434
-1.1575897,-0.5308419,-0.17654006,301439
-1.1759156,-0.49174652,-0.17592919,306413
-1.1685852,-0.47342056,-0.18387043,311437
-1.1386528,-0.46670106,-0.19975294,316423
-1.0873401,-0.47219884,-0.21868975,321428
-1.0164797,-0.48563787,-0.24373524,326433
-0.9309586,-0.50518554,-0.26939157,331457
-0.84116143,-0.51923543,-0.2950479,336412
-0.7470882,-0.5161811,-0.31337386,341417
-0.6591236,-0.50335294,-0.3286455,346422
-0.54367006,-0.4654793,-0.3268129,351446
-0.47708577,-0.43249258,-0.31398472,356431
-0.41599923,-0.39706242,-0.28955013,361436
-0.36713,-0.3659083,-0.26267207,366411
-0.3359759,-0.33964106,-0.2321288,371435
-0.31398472,-0.31887165,-0.20280726,376420
-0.29810223,-0.29077184,-0.17470746,381425
-0.28038713,-0.2565634,-0.14782938,386430
-0.25289822,-0.2180789,-0.124005646,391455
-0.22235495,-0.17837265,-0.099571034,396409
-0.18387043,-0.12767084,-0.080634214,401414
-0.12339478,-0.04337143,-0.055588737,406419
-0.084910266,0.014049901,-0.03726278,411443
-0.050701816,0.059253927,-0.014660766,416429
-0.022602014,0.08368854,0.0067195175,421434
-0.0061086523,0.08552113,0.020158553,426439
0.014660766,0.077579886,0.02687807,431433
0.14966199,0.06352998,0.019547688,436418
0.21074851,-0.048258353,-0.010995574,441423
0.17898351,-0.23762658,-0.014660766,446428
0.1282817,-0.3494149,-0.01282817,451452
0.03481932,-0.32253686,-0.0030543262,456437
-0.02321288,-0.2669481,0.012217305,461412
-0.076358154,-0.23762658,0.021380283,466417
-0.12767084,-0.21930063,0.015271631,471441
-0.17592919,-0.18570304,-0.0030543262,476427
-0.21868975,-0.12095132,-0.029932396,481431
-0.2510656,-0.0421497,-0.058643065,486436
-0.2779437,0.027488936,-0.08002335,491430
-0.29565877,0.0720821,-0.09040806,496416
-0.29871312,0.09101892,-0.09101892,501420
-0.26450464,0.08979719,-0.08307768,506425
-0.22602014,0.06414085,-0.070249505,511450
-0.18509217,0.013439035,-0.056199603,516435
-0.14294247,-0.051923547,-0.04153884,521409
-0.105068825,-0.11056661,-0.02443461,526414
-0.07147124,-0.15943582,-0.007330383,531439
