x,y,z,timestamp
0.61208695,0.3481932,0.39706242,380
0.66339964,0.34391713,0.4288274,5355
0.70432764,0.3622431,0.45814893,10359
0.74036866,0.40439278,0.49235737,15384
0.7678576,0.47586402,0.52412236,20369
0.79290307,0.5558874,0.55833083,25374
0.81122905,0.6414085,0.593761,30379
0.8185594,0.7470882,0.625526,35372
0.80573124,0.8943067,0.61819565,40358
0.7806858,1.0341948,0.6041457,45363
0.7360926,1.2241739,0.593761,50368
0.70371675,1.3341297,0.6096435,55392
0.6792821,1.4294246,0.64812803,60378
0.65179324,1.5198327,0.698219,65383
0.6249151,1.6071864,0.75441855,70357
0.59803706,1.6994271,0.81061816,75381
0.5674938,1.8044959,0.8539896,80367
0.5338962,1.9065105,0.8900307,85372
0.4978552,1.990199,0.91507614,90376
0.45570546,2.0622811,0.9315695,95401
0.3866777,2.1594086,0.92057395,100356
0.3475823,2.1783454,0.8900307,105361
0.31337386,2.2015584,0.84238315,110365
0.29016098,2.230269,0.78984874,115390
0.2828306,2.2437081,0.7367035,120375
0.2968805,2.2369885,0.6927212,125380
0.32620203,2.1978931,0.6579019,130355
0.36896262,2.140472,0.63591075,135379
0.41905355,2.0720549,0.6169739,140364
0.4746423,1.9865338,0.6065892,145369
0.5503896,1.8344283,0.59559363,150374
0.5925393,1.7281377,0.589485,155398
0.62796944,1.6291776,0.5858198,160353
0.6536258,1.536937,0.58032197,165358
0.6786713,1.4624114,0.57543504,170363
0.6945538,1.3988814,0.5693264,175387
0.70066243,1.3622295,0.55771995,180373
0.6945538,1.3750577,0.539394,185378
0.6762278,1.428203,0.5174029,190383
0.6432411,1.486846,0.4905248,195376
0.59986967,1.5326608,0.45204028,200362
0.5332854,1.5393804,0.40194935,205367
0.49968776,1.5748106,0.37812558,210372
0.4728097,1.640784,0.3475823,215398
0.4538729,1.7037032,0.3213151,220381
0.44165558,1.7507398,0.30543262,225356
0.42821655,1.7641789,0.2864958,230360
0.41722095,1.7391334,0.28771752,235387
0.41172317,1.690875,0.29871312,240370
0.41355577,1.632232,0.3109304,245375
0.4184427,1.5528195,0.3304781,250380
0.4269948,1.4086553,0.3903429,255407
0.43127087,1.2956452,0.44165558,260359
0.4147775,1.0690142,0.4886922,265364
0.32620203,0.5326745,0.539394,270369
0.24801129,0.049480084,0.5870415,275396
0.21685717,-0.2724459,0.61636305,280379
0.19120082,-0.57726765,0.5925393,285353
0.16065755,-0.8222246,0.5314528,290358
0.1301143,-0.95478237,0.4831944,295387
0.10751228,-0.99265605,0.46120325,300368
0.08307768,-0.956615,0.47342056,305373
0.086132,-0.9120218,0.47219884,310378
0.09896017,-0.86437434,0.45081854,315406
0.12034045,-0.8155051,0.40317106,320357
0.13622294,-0.75441855,0.33108896,325362
0.14844026,-0.679893,0.2406809,330367
0.15332718,-0.6102544,0.14172074,335393
0.1459968,-0.5558874,0.04520403,340376
0.12461651,-0.51068336,-0.048258353,345381
0.09040806,-0.47158796,-0.13316862,350356
0.005497787,-0.41416663,-0.24678956,355384
-0.07391469,-0.38545597,-0.312763,360365
-0.17165314,-0.37812558,-0.37140608,365371
-0.28221974,-0.39950588,-0.42455134,370375
-0.408058,-0.45142943,-0.46670106,375402
-0.5375614,-0.5332854,-0.50579643,380355
-0.66706485,-0.63041294,-0.5375614,385359
-0.78984874,-0.7641924,-0.5644395,390364
-0.8906415,-0.9627236,-0.5876524,395393
-0.9663888,-1.1881329,-0.6078109,400374
-1.0048733,-1.5845845,-0.625526,405379
-0.98349303,-1.8661933,-0.6450737,410353
-0.93645644,-2.125811,-0.6609562,415377
-0.8698721,-2.3286183,-0.68233645,420363
-0.784351,-2.470339,-0.7012733,425368
-0.6914995,-2.5686884,-0.70554936,430373
-0.59437186,-2.6615398,-0.66523224,435397
-0.49846604,-2.6914723,-0.6310238,440383
-0.4092797,-2.6975808,-0.61941737,445357
-0.3408628,-2.6920831,-0.6383542,450362
-0.29443705,-2.6920831,-0.6817256,455386
-0.24556783,-2.701857,-0.77091193,460372
-0.22357668,-2.6951375,-0.83016586,465376
-0.20463985,-2.660929,-0.88514376,470381
-0.19303341,-2.588847,-0.93523467,475375
-0.19608775,-2.4599543,-0.9810496,480361
-0.22052236,-2.2773056,-1.0219775,485366
-0.25961772,-2.08977,-1.061073,490370
-0.3042109,-1.917506,-1.0793989,495395
-0.34513888,-1.758681,-1.0616838,500380
-0.39522982,-1.6328428,-1.0549643,505355
-0.50518554,-1.5118915,-1.0842859,510359
-0.5858198,-1.4459181,-1.1007792,515384
