x,y,z,timestamp
0.02321288,0.47158796,0.1563815,1113
0.14966199,0.49113566,0.21135938,6098
0.23335053,0.5180137,0.24740042,11103
0.3109304,0.552833,0.28221974,16108
0.3885103,0.59559363,0.32436943,21132
0.4654793,0.63346726,0.3652974,26118
0.539394,0.6835582,0.41416663,31092
0.61453044,0.73548174,0.46181414,36097
0.68661255,0.7867944,0.50946164,41121
0.75869465,0.84238315,0.5522222,46107
0.8246681,0.906524,0.5925393,51112
0.9193522,1.0054842,0.64996064,56117
0.9798279,1.0793989,0.68111473,61141
1.0311406,1.1844677,0.6945538,66096
1.0818423,1.310306,0.70921457,71101
1.1319333,1.4483615,0.7312057,76106
1.1844677,1.5876387,0.7623598,81130
1.2290609,1.7299703,0.79229224,86116
1.2632693,1.8936822,0.8155051,91120
1.287093,2.0512855,0.82527894,96095
1.2944235,2.1862867,0.8216137,101119
1.2852604,2.3493876,0.7849618,106104
1.2596041,2.4373524,0.7483099,111110
1.2235631,2.5240953,0.7098254,116114
1.1814134,2.5827382,0.6719518,121139
1.142318,2.5772405,0.63346726,126094
1.1123856,2.5240953,0.58459806,131099
1.0867293,2.4874432,0.5357288,136103
1.0812315,2.3823745,0.50579643,141127
1.0983357,2.2730296,0.5021312,146113
1.1313224,2.1960607,0.51923543,151118
1.1820242,2.1337523,0.56199604,156092
1.1997393,2.1062634,0.57910025,161119
1.1899655,2.071444,0.5742133,166102
1.1533136,2.0329595,0.5540548,171107
1.0885619,1.9779817,0.52595496,176112
1.0030408,1.9046779,0.49968776,181140
0.9108001,1.8124372,0.4783075,186122
0.8191703,1.700038,0.4605924,191096
0.743423,1.600467,0.44409904,196101
0.6774496,1.5228871,0.42332962,201129
0.6151413,1.4477507,0.38056904,206111
0.5870415,1.4178182,0.34880406,211116
0.5662721,1.3750577,0.321926,216120
0.539394,1.3164146,0.30176744,221118
0.5119051,1.2284501,0.2828306,226100
0.48075095,1.1410962,0.25717425,231104
0.45204028,1.087951,0.24007004,236109
0.42271876,1.0726794,0.20891592,241138
0.39461896,1.070236,0.172264,246119
0.37568212,1.0647382,0.13744467,251094
0.36774087,1.0543534,0.10140363,256098
0.37323865,1.0189233,0.059864793,261127
0.3921755,0.9737192,0.05131268,266108
0.40317106,0.8509353,0.058643065,271113
0.39095375,0.6249151,0.08124508,276118
0.36896262,0.3744604,0.13133603,281114
0.344528,0.13988814,0.20219639,286097
0.3109304,-0.06719518,0.29016098,291102
0.2657264,-0.226631,0.37323865,296107
0.20708331,-0.3304781,0.4147775,301133
0.13988814,-0.38606682,0.4166101,306117
