x,y,z,timestamp
0.60231316,0.14477506,0.19181168,4859
0.7464773,0.12767084,0.23273966,9864
0.8949176,0.10629055,0.2761111,14888
1.0403035,0.08246681,0.31642818,19873
1.2498302,0.07513642,0.37751472,24878
1.3787229,0.096516706,0.42332962,29883
1.4978416,0.1337795,0.46914452,34877
1.5986344,0.1777618,0.50885075,39862
1.677436,0.2144137,0.54611355,44867
1.7336355,0.24495697,0.5852089,49872
1.7611245,0.28710666,0.6224717,54896
1.7654005,0.33108896,0.6585127,59882
1.745242,0.3933972,0.6969972,64856
1.6963727,0.48258355,0.7275405,69861
1.5790867,0.6597345,0.7611381,74885
1.4770721,0.7910705,0.77091193,79871
1.3707817,0.91690874,0.77946407,84876
1.2626585,1.0403035,0.77763146,89880
1.1588113,1.1685852,0.7666359,94874
1.0659598,1.3011429,0.7458665,99860
0.9798279,1.4337007,0.7141015,104865
0.9034697,1.5467108,0.6719518,109869
0.8393288,1.6383406,0.6261369,114894
0.7861836,1.7061466,0.5821546,119879
0.7501425,1.745242,0.54000485,124884
0.7189884,1.8277088,0.4831944,129859
0.7134906,1.890017,0.453262,134883
0.73548174,1.9016235,0.44898596,139868
0.7825184,1.8839084,0.462425,144904
0.8472701,1.858863,0.49418998,149878
0.91813046,1.8338175,0.54061574,154902
0.9822713,1.8124372,0.59437186,159857
1.0464121,1.772731,0.6450737,164862
1.0940597,1.7525724,0.6908886,169867
1.1325442,1.749518,0.72326446,174891
1.1636983,1.7513506,0.75625116,179877
1.1673635,1.754405,0.7703011,184882
1.1569787,1.7806722,0.77274454,189856
1.1301007,1.8368717,0.7715228,194880
1.0891727,1.8967366,0.7678576,199866
1.0354166,1.9419407,0.7684685,204871
0.9737192,1.9462167,0.7678576,209876
0.9095783,1.9321668,0.7684685,214902
0.8399397,1.9193386,0.7611381,219855
0.7684685,1.9065105,0.7440339,224860
0.66889745,1.8576412,0.7079928,229865
0.61636305,1.7977765,0.675617,234891
0.5748242,1.7061466,0.6267477,239874
0.54611355,1.6175711,0.57604593,244879
0.5131268,1.5436565,0.52534413,249884
0.44959682,1.4391985,0.48502702,254880
0.38728857,1.2235631,0.45142943,259863
0.35430184,0.92485,0.4184427,264868
0.33353242,0.6206391,0.38728857,269873
0.3182608,0.36957347,0.35369098,274900
0.29016098,0.12522738,0.2883284,279883
0.2742785,6.1086525E-4,0.23579398,284857
0.2510656,-0.10262536,0.19058995,289862
0.22235495,-0.2125811,0.15088372,294888
0.19181168,-0.30543262,0.116675265,299872
0.16798794,-0.3707952,0.09040806,304877
0.14355333,-0.4007276,0.06414085,309882
0.1142318,-0.40133846,0.040317107,314878
0.07574729,-0.38545597,0.01038471,319861
0.018325957,-0.36896262,-0.034208454,324866
-0.09712757,-0.376293,-0.09101892,329871
-0.19181168,-0.40011674,-0.18753563,334897
-0.29871312,-0.4343252,-0.24801129,339881
-0.41355577,-0.47647488,-0.30543262,344855
-0.54244834,-0.52412236,-0.3555236,349860
-0.68600166,-0.5717699,-0.39950588,354884
-0.852157,-0.61391956,-0.43982297,359869
-1.0256428,-0.6872234,-0.47891834,364875
-1.2082914,-0.75686204,-0.5198463,369879
-1.4001031,-0.8038987,-0.5656612,374904
-1.5906931,-0.8564331,-0.61758476,379859
-1.8600847,-0.98532563,-0.70249504,384864
-2.012801,-1.1074986,-0.7635816,389868
-2.1233675,-1.2675453,-0.8246681,394895
-2.175902,-1.4721853,-0.87781334,399878
-2.1569653,-1.6823229,-0.9236283,404883
-2.0751092,-1.8472565,-0.96761054,409857
-1.9394971,-1.9523253,-1.0030408,414881
-1.7684549,-1.9920316,-1.0354166,419867
-1.5748106,-1.9663752,-1.0574077,424872
-1.368949,-1.8942931,-1.0684034,429877
-1.0635164,-1.7519615,-1.069625,434901
-0.87781334,-1.6756034,-1.061073,439856
-0.7128797,-1.6438384,-1.0390818,444861
-0.5729916,-1.6566665,-1.010982,449866
-0.46670106,-1.6951511,-0.9969321,454890
-0.39400807,-1.7434094,-0.99204516,459876
-0.3481932,-1.7873917,-0.9957104,464881
-0.33475417,-1.7953329,-1.0005972,469855
-0.34513888,-1.767844,-1.0054842,474879
-0.37690386,-1.7238617,-1.0048733,479865
-0.45937067,-1.641395,-0.99082345,484870
-0.5375614,-1.5784758,-0.9786061,489874
-0.6310238,-1.5076154,-0.9651671,494899
-0.73731434,-1.41904,-0.95478237,499884
-0.852157,-1.319469,-0.9388999,504859
-0.9682214,-1.2137892,-0.92485,509864
-1.0818423,-1.1050552,-0.9089675,514888
-1.1856894,-0.98715824,-0.89369583,519873
-1.2712106,-0.87109387,-0.8741482,524878
-1.3298537,-0.7672467,-0.8527679,529883
-1.368949,-0.6462954,-0.820392,534877
-1.3610078,-0.5919284,-0.7959574,539862
-1.3267993,-0.55771995,-0.77274454,544867
-1.2742649,-0.5320636,-0.7489208,549872
-1.2070698,-0.5015204,-0.72509706,554896
-1.1301007,-0.45814893,-0.7012733,559882
-1.0482447,-0.3915646,-0.6750061,564856
-0.9651671,-0.32436943,-0.6401868,569861
-0.8765916,-0.27000242,-0.59498274,574885
-0.7855727,-0.22785273,-0.5412266,579871
-0.68477994,-0.19486602,-0.48075095,584876
-0.52778757,-0.15027285,-0.3866777,589881
-0.41783184,-0.12217305,-0.32375857,594874
-0.3109304,-0.09773844,-0.26328292,599860
-0.20769419,-0.08002335,-0.20769419,604865
-0.10445796,-0.069027774,-0.15760323,609869
-0.015271631,-0.059253927,-0.11911872,614894
0.06047566,-0.05497787,-0.08552113,619879
0.112399206,-0.0580322,-0.061086524,624884
0.14110987,-0.061086524,-0.03970624,629859
0.15393804,-0.06719518,-0.021380283,634883
0.312763,-0.0580322,0.0067195175,639868
0.39278635,-0.10262536,0.0061086523,644873
0.37201694,-0.23151793,0.004886922,649878
0.31703907,-0.35918877,0.009162978,654902
0.24740042,-0.38728857,0.010995574,659857
0.17104226,-0.33292156,0.01160644,664862
0.09896017,-0.24740042,0.015882496,669867
0.035430185,-0.16126843,0.012217305,674891
-0.018325957,-0.08307768,0.009773844,679877
-0.06963864,-0.014660766,0.0036651916,684882
-0.14355333,0.06658431,0.0067195175,689856
-0.19792034,0.09712757,0.015271631,694880
-0.25045475,0.10934488,0.019547688,699866
-0.2883284,0.108123146,0.02076942,704871
-0.30604348,0.1020145,0.01038471,709876
-0.29993483,0.089186326,-0.0061086523,714900
-0.27916542,0.06047566,-0.02443461,719855
-0.24801129,0.01160644,-0.03848451,724860
-0.2144137,-0.05009095,-0.05009095,729865
-0.18509217,-0.11301007,-0.05497787,734889
