x,y,z,timestamp
-0.040317107,-0.08735373,0.0061086523,3314
-0.021991149,-0.09468412,0.0036651916,8300
-0.0061086523,-0.0983493,0.0012217305,13305
0.0061086523,-0.09162979,-0.0012217305,18310
0.009162978,-0.07574729,-0.0036651916,23334
0.0067195175,-0.050701816,-0.004276057,28320
0.0036651916,-0.027488936,-0.004886922,33294
-0.0012217305,-0.007330383,-0.0012217305,38299
0.0012217305,0.008552114,6.1086525E-4,43323
0.019547688,0.037873644,-0.0012217305,48309
0.04337143,0.059253927,-6.1086525E-4,53313
0.07513642,0.07391469,-0.004886922,58318
0.11301007,0.08735373,-0.010995574,63312
0.15210545,0.10140363,-0.019547688,68298
0.19120082,0.119729586,-0.029932396,73302
0.22235495,0.13927728,-0.040317107,78307
0.24678956,0.1459968,-0.05009095,83331
0.26450464,0.14721853,-0.06169739,88317
0.27488935,0.15271631,-0.07452556,93291
0.2773328,0.17470746,-0.084910266,98296
0.2687807,0.19975294,-0.08735373,103321
0.25045475,0.22357668,-0.08368854,108306
0.226631,0.23518312,-0.073303826,113311
0.20097467,0.23884831,-0.0580322,118316
0.17348573,0.24129178,-0.04153884,123340
0.14905111,0.24190263,-0.020158553,128295
0.13561209,0.24129178,-0.0012217305,133300
0.13133603,0.23396139,0.021380283,138305
0.13988814,0.23090707,0.04520403,143329
0.18325958,0.22418754,0.08246681,148315
0.21991149,0.21013765,0.09896017,153319
0.26389378,0.18753563,0.10323623,158294
0.30176744,0.15699236,0.0983493,163318
0.36102137,0.119729586,0.08857546,168304
0.43004912,0.073303826,0.06658431,173309
0.47219884,0.0012217305,0.03176499,178313
0.47952923,-0.09468412,0.0018325958,183338
0.4642576,-0.16676621,-0.01282817,188293
0.43371433,-0.18875736,-0.01282817,193298
0.36346483,-0.14110987,0.012217305,198302
0.3023783,-0.09407325,0.026267206,203326
0.22785273,-0.05681047,0.029932396,208312
0.1441642,-0.027488936,0.023823744,213317
0.051923547,0.0018325958,0.014049901,218291
-0.036651913,0.029932396,0.008552114,223316
-0.12034045,0.056199603,0.004886922,228302
-0.19242255,0.07452556,0.0036651916,233306
-0.24862215,0.07941248,0.007941248,238311
-0.2864958,0.07452556,0.008552114,243335
-0.29993483,0.054367006,0.007330383,248321
-0.2919936,0.004276057,0.005497787,253295
-0.27000242,-0.03970624,0.0067195175,258300
-0.24129178,-0.08368854,0.007330383,263324
-0.20830505,-0.118507855,0.014049901,268310
-0.172264,-0.13988814,0.021991149,273315
-0.13805555,-0.14721853,0.031154128,278319
-0.105068825,-0.1423316,0.03604105,283313
-0.07696902,-0.12461651,0.03848451,288299
-0.05131268,-0.106901415,0.036651913,293304
-0.034208454,-0.08307768,0.032375857,298309
-0.02076942,-0.052534413,0.022602014,303333
-0.017715093,-0.037873644,0.016493361,308319
-0.021991149,-0.02687807,0.009162978,313293
-0.02565634,-0.017715093,0.004276057,318298
-0.03604105,-0.005497787,-0.0061086523,323322
-0.044593163,0.0030543262,-0.015882496,328307
-0.057421334,0.007330383,-0.02565634,333312
-0.070249505,0.0012217305,-0.03726278,338317
-0.077579886,-0.015271631,-0.045814894,343311
-0.08674286,-0.032986723,-0.053145275,348296
-0.09040806,-0.05131268,-0.055588737,353301
-0.09590584,-0.053145275,-0.053145275,358306
-0.1020145,-0.059253927,-0.051923547,363330
-0.10751228,-0.06658431,-0.04642576,368316
-0.12339478,-0.07574729,-0.04520403,373321
-0.13561209,-0.086132,-0.03970624,378295
-0.15271631,-0.095294975,-0.032986723,383319
-0.16554448,-0.105068825,-0.02443461,388305
-0.18203785,-0.11178834,-0.018936822,393310
-0.19853121,-0.11362094,-0.013439035,398315
-0.21991149,-0.103847094,-0.009162978,403339
-0.226631,-0.08857546,-0.009162978,408294
-0.2321288,-0.07147124,-0.01038471,413299
-0.23151793,-0.055588737,-0.007941248,418304
-0.22540927,-0.03726278,-0.007330383,423328
-0.21380283,-0.02076942,-0.005497787,428314
-0.19730948,-0.0061086523,0.0018325958,433318
-0.17654006,0.0067195175,0.008552114,438293
-0.15454891,0.016493361,0.016493361,443317
-0.12950343,0.022602014,0.02443461,448303
-0.08857546,0.009773844,0.029321533,453307
-0.053145275,-0.015882496,0.03359759,458312
-0.014049901,-0.03604105,0.03359759,463336
0.029932396,-0.053145275,0.03176499,468292
0.07269296,-0.0580322,0.029321533,473296
0.10995574,-0.050701816,0.02321288,478301
0.13622294,-0.04153884,0.015271631,483326
0.15149458,-0.032986723,0.004886922,488311
0.14966199,-0.025045475,-0.0030543262,493316
0.13561209,-0.018936822,-0.01038471,498321
0.11178834,-0.023823744,-0.009162978,503314
