x,y,z,timestamp
0.34574974,0.3830125,0.5534439,2250
0.45814893,0.37873647,0.51923543,7236
0.56505036,0.36774087,0.48624873,12240
0.66156703,0.35124752,0.45937067,17245
0.7825184,0.3182608,0.44715336,22269
0.8546005,0.30482176,0.45814893,27225
0.91690874,0.32620203,0.47342056,32229
0.9816604,0.3726278,0.4978552,37234
1.0482447,0.44959682,0.5235115,42259
1.1148291,0.5558874,0.5479461,47244
1.1691961,0.7012733,0.5626069,52249
1.1936307,0.89552844,0.552833,57223
1.2162327,1.0531317,0.5589417,62247
1.2278391,1.1771374,0.5748242,67233
1.210735,1.3206906,0.61636305,72238
1.1704178,1.4129313,0.6395759,77243
1.1081096,1.4837917,0.65484756,82269
1.0201449,1.5406022,0.65484756,87222
0.91874135,1.564426,0.6407976,92227
0.81489426,1.5522085,0.6102544,97232
0.7134906,1.5546521,0.5644395,102258
0.62125,1.5833627,0.50946164,107242
0.5479461,1.6169603,0.45081854,112246
0.49418998,1.6432275,0.3903429,117251
0.45570546,1.681712,0.33353242,122247
0.45142943,1.6969837,0.25717425,127231
0.45631635,1.6701056,0.20463985,132236
0.47219884,1.5925257,0.14172074,137240
0.4868596,1.5961909,0.07880162,142267
0.5155703,1.6224581,0.043982297,147250
0.55833083,1.6200147,0.03176499,152224
0.6084218,1.5674802,0.028710667,157229
0.6609562,1.5039502,0.014660766,162256
0.7110472,1.4697418,-0.004276057,167239
0.76174897,1.4410311,-0.018325957,172244
0.8417723,1.3530666,-0.017104227,177249
0.8881981,1.2956452,-0.002443461,182245
0.9224065,1.2614367,0.018325957,187228
0.93462384,1.2443326,0.048258353,192233
0.9236283,1.2406673,0.084910266,197238
0.8875872,1.2260065,0.12461651,202266
0.83077675,1.210124,0.1600467,207248
0.75625116,1.1887437,0.19181168,212222
0.66889745,1.1630874,0.21746802,217227
0.57787853,1.1294898,0.2321288,222256
0.44409904,1.0775663,0.23701571,227237
0.36346483,1.0690142,0.22113322,232241
0.28771752,1.0934488,0.19547687,237246
0.21685717,1.1368202,0.15882497,242273
0.15027285,1.1716396,0.11911872,247226
0.076358154,1.1844677,0.07391469,252231
-0.03359759,1.1417072,0.03481932,257236
-0.15332718,0.9596693,0.015882496,262262
-0.2443461,0.6536258,0.004276057,267245
-0.30665436,0.32253686,-0.007330383,272250
-0.33353242,-0.03359759,-0.040927973,277224
-0.31581733,-0.13072516,-0.06047566,282251
-0.27672195,-0.16493362,-0.062308256,287234
-0.226631,-0.18387043,-0.045814894,292239
-0.17470746,-0.2180789,-0.023823744,297244
-0.1282817,-0.26083946,-0.004276057,302270
-0.0842994,-0.3042109,-0.0012217305,307224
-0.044593163,-0.3371976,-0.025045475,312228
-0.016493361,-0.36163223,-0.06719518,317233
0.0012217305,-0.38912117,-0.12034045,322259
-0.0018325958,-0.43860126,-0.19425514,327243
-0.027488936,-0.47403142,-0.23090707,332248
-0.08124508,-0.5326745,-0.25900686,337222
-0.15699236,-0.59498274,-0.28344148,342248
-0.258396,-0.6621779,-0.3023783,347232
-0.37384954,-0.7330383,-0.31764993,352237
-0.49846604,-0.8246681,-0.31337386,357241
-0.61941737,-0.95356065,-0.30543262,362270
-0.73853606,-1.0806206,-0.30726522,367252
-0.8405506,-1.1960741,-0.31520647,372226
