x,y,z,timestamp
0.35063666,0.42821655,0.29016098,528
0.43371433,0.39706242,0.3231477,5552
0.5180137,0.3830125,0.35613444,10507
0.6383542,0.38545597,0.39950588,15512
0.7098254,0.38973203,0.42760566,20517
0.77091193,0.39278635,0.45631635,25541
0.820392,0.42210788,0.48991394,30527
0.8668178,0.49174652,0.5271767,35532
0.9071349,0.5839872,0.56505036,40537
0.9437868,0.7031059,0.602924,45530
0.9737192,0.86498517,0.6389651,50516
0.9944886,1.0665708,0.66767573,55521
1.0012082,1.2534955,0.6933321,60526
0.9914343,1.4538593,0.7263188,65550
0.96883225,1.5406022,0.74220127,70535
0.93951076,1.6077974,0.75991637,75510
0.89980453,1.6823229,0.7770206,80515
0.84971356,1.7690657,0.7861836,85541
0.7867944,1.8637499,0.7874053,90524
0.70432764,1.9443841,0.77824235,95529
0.6200282,2.0030272,0.76052725,100535
0.5363397,2.062892,0.7367035,105530
0.45998153,2.140472,0.698219,110513
0.3475823,2.3182335,0.6017023,115518
0.28221974,2.4721715,0.535118,120523
0.23640485,2.6468792,0.49235737,125550
0.20769419,2.7391198,0.48258355,130533
0.19303341,2.7440066,0.49602258,135507
0.1881465,2.7030787,0.5137377,140512
0.19242255,2.6303856,0.5235115,145539
0.20647246,2.5357015,0.5222898,150522
0.22907446,2.4379632,0.50823987,155527
0.26145032,2.339003,0.48747048,160532
0.3109304,2.179567,0.43860126,165558
0.34880406,2.0555615,0.40317106,170511
0.3885103,1.9077321,0.36651915,175516
0.43371433,1.7476854,0.32559118,180521
0.48380527,1.6450601,0.26939157,185547
0.52595496,1.5180001,0.23273966,190531
0.5516113,1.3200798,0.18081611,195535
0.5742133,0.8417723,0.13255776,200510
0.6017023,0.15882497,0.12461651,205538
0.6151413,-0.37995818,0.15699236,210520
0.61208695,-0.7812967,0.16310102,215524
0.52839845,-1.0390818,0.084910266,220530
0.44837508,-1.056186,0.055588737,225558
0.36896262,-1.0421361,0.049480084,230508
0.29016098,-1.0268645,0.039095376,235513
0.21685717,-1.0097603,0.005497787,240519
0.14721853,-0.9816604,-0.05375614,245545
0.084910266,-0.95356065,-0.1423316,250528
0.019547688,-0.9272934,-0.25717425,255533
-0.05375614,-0.9492846,-0.40194935,260508
-0.1337795,-0.9804387,-0.56321776,265534
-0.2443461,-1.0409144,-0.73853606,270517
-0.32070425,-1.0867293,-0.76052725,275522
-0.42332962,-1.133155,-0.76052725,280527
-0.5644395,-1.1808025,-0.7733554,285553
-0.73364913,-1.2370021,-0.7910705,290537
-0.9114109,-1.2974777,-0.8045095,295511
-1.0891727,-1.3603969,-0.81061816,300516
-1.2589933,-1.4239268,-0.8142834,305542
-1.4147639,-1.4789047,-0.820392,310526
-1.5534303,-1.5381587,-0.820392,315531
-1.6859881,-1.6749926,-0.79045963,320536
-1.7079792,-1.7757853,-0.75136423,325529
-1.668273,-1.8741345,-0.7049385,330515
-1.5735888,-1.9602666,-0.66523224,335520
-1.4349225,-2.0237966,-0.63713247,340525
-1.2962561,-2.1044307,-0.6291912,345549
-1.1838568,-2.2101104,-0.6291912,350534
-1.0390818,-2.2369885,-0.6236934,355509
-0.8594874,-2.204002,-0.6151413,360514
-0.65118235,-2.1111503,-0.6047566,365538
-0.28771752,-1.8826867,-0.63346726,370523
-0.03176499,-1.704314,-0.6792821,375528
0.20463985,-1.5552629,-0.7318166,380533
0.41050145,-1.4611896,-0.77396625,385527
0.5699373,-1.4104879,-0.79412484,390512
0.6780604,-1.3842206,-0.78801614,395517
0.7318166,-1.3616186,-0.75686204,400522
0.7324274,-1.3335189,-0.698219,405546
0.68844515,-1.2999213,-0.6273586,410532
0.602924,-1.2541064,-0.5522222,415537
0.49235737,-1.174083,-0.47708577,420511
0.29626966,-0.99265605,-0.37384954,425537
0.1600467,-0.8509353,-0.3145956,430521
0.029321533,-0.7012733,-0.26328292,435526
-0.092240654,-0.55833083,-0.22418754,440531
-0.2003638,-0.42760566,-0.18509217,445555
-0.20830505,-0.33414328,-0.13927728,450510
-0.1142318,-0.3145956,-0.11362094,455515
-0.18325958,-0.40378192,-0.092240654,460520
-0.26328292,-0.53878313,-0.056199603,465544
-0.3371976,-0.57604593,-0.015882496,470529
-0.44593164,-0.5015204,0.044593163,475534
-0.50335294,-0.4251622,0.07574729,480509
-0.54061574,-0.35308012,0.09896017,485533
-0.5699373,-0.2883284,0.112399206,490518
-0.5888741,-0.22357668,0.11484267,495523
-0.59498274,-0.1441642,0.10323623,500528
-0.58459806,-0.058643065,0.096516706,505552
-0.56077427,0.02443461,0.09101892,510507
-0.5180137,0.09468412,0.08552113,515512
-0.462425,0.1337795,0.0842994,520517
-0.36285394,0.11056661,0.09101892,525541
-0.2938262,0.051923547,0.09896017,530527
-0.21930063,-0.023823744,0.10873401,535532
