x,y,z,timestamp
-0.05497787,0.23396139,0.064751714,1018
0.069027774,0.1863139,0.10751228,6023
0.17592919,0.15882497,0.13561209,11047
0.29749137,0.13683382,0.15760323,16032
0.4361578,0.12889257,0.18081611,21037
0.5833763,0.13316862,0.20586158,26012
0.7318166,0.14721853,0.22785273,31036
0.87598073,0.16249016,0.25045475,36021
1.0146471,0.17592919,0.2761111,41026
1.1355985,0.20219639,0.3023783,46031
1.237613,0.24984388,0.3286455,51055
1.3432927,0.32742378,0.36896262,56041
1.3726143,0.37018433,0.3933972,61015
1.3671165,0.40683624,0.41233405,66020
1.3322971,0.46181414,0.43188173,71044
1.2718215,0.53023106,0.453262,76030
1.196685,0.6114761,0.47647488,81035
1.1148291,0.7086037,0.5027421,86040
1.0329732,0.8142834,0.52290064,91035
0.95722586,0.9242391,0.54061574,96019
0.8906415,1.0458013,0.548557,101024
0.80939645,1.210735,0.5522222,106029
0.7703011,1.2950343,0.5479461,111055
0.752586,1.3548992,0.54244834,116038
0.75441855,1.4104879,0.5308419,121013
0.7788532,1.4715744,0.5204572,126018
0.82772243,1.5222762,0.50885075,131042
0.88514376,1.5570955,0.4990769,136027
0.95111716,1.5577064,0.48502702,141032
1.0231993,1.5210545,0.4709771,146037
1.0995574,1.4715744,0.462425,151031
1.2131784,1.3811663,0.4550946,156016
1.278541,1.2938126,0.45448375,161021
1.3316863,1.201572,0.44776422,166026
1.3671165,1.128879,0.43799037,171052
1.382388,1.0708468,0.42577308,176036
1.3732251,1.0189233,0.4166101,181041
1.3316863,0.9786061,0.40439278,186015
1.2699889,0.9315695,0.39095375,191042
1.1930199,0.88086766,0.37995818,196025
1.105666,0.84482664,0.36346483,201030
0.9773844,0.8185594,0.33841935,206035
0.89675015,0.80573124,0.31642818,211061
0.8167268,0.806953,0.29565877,216014
0.7452556,0.8191703,0.2761111,221019
0.6817256,0.8368854,0.25717425,226024
0.62125,0.8558222,0.2406809,231050
0.56382865,0.88208944,0.22296582,236034
0.50762904,0.9126327,0.20647246,241038
0.44593164,0.93584555,0.18753563,246013
0.37568212,0.9963212,0.16676621,251037
0.28038713,1.078788,0.14966199,256023
0.0983493,0.90224797,0.15393804,261027
-0.012217305,0.64873886,0.15699236,266032
-0.100792766,0.43676865,0.15515977,271056
-0.16676621,0.2828306,0.14355333,276012
-0.20952678,0.13683382,0.11789699,281016
-0.23273966,-0.021380283,0.086132,286021
-0.2406809,-0.17348573,0.05131268,291047
-0.24007004,-0.30543262,0.019547688,296031
-0.23273966,-0.41783184,-0.0067195175,301036
-0.22785273,-0.5002986,-0.040317107,306041
-0.23884831,-0.5852089,-0.1301143,311037
-0.267559,-0.6188065,-0.20525073,316020
-0.3200934,-0.6444628,-0.28160888,321025
-0.40011674,-0.6737844,-0.35002577,326030
-0.5021312,-0.70616025,-0.40622538,331054
-0.62858033,-0.7501425,-0.44593164,336040
-0.77640975,-0.79473567,-0.47647488,341014
-0.9431759,-0.8350528,-0.5015204,346019
-1.1178834,-0.87109387,-0.5186246,351043
-1.2907583,-0.9071349,-0.52778757,356029
-1.5344934,-0.94134337,-0.5375614,361034
-1.676825,-0.95233893,-0.5375614,366039
-1.7953329,-0.9645562,-0.53023106,371034
-1.8808541,-1.0085385,-0.5174029,376018
-1.9230038,-1.070236,-0.5039638,381023
-1.9211712,-1.128879,-0.49418998,386028
-1.8796324,-1.1582005,-0.48747048,391052
-1.8063285,-1.1472049,-0.48808134,396037
-1.7024814,-1.1050552,-0.49235737,401012
-1.5851953,-1.0531317,-0.5015204,406017
-1.3866642,-0.99204516,-0.5131268,411041
-1.2504412,-0.9786061,-0.5222898,416026
-1.119716,-0.9877691,-0.5296202,421031
-0.99387777,-1.0134255,-0.54000485,426036
-0.8790351,-1.0403035,-0.5552765,431060
-0.77579886,-1.0592403,-0.5717699,436015
-0.68600166,-1.061073,-0.5888741,441020
-0.6084218,-1.0500773,-0.60048056,446025
-0.5448918,-1.029308,-0.6059783,451049
-0.49418998,-0.9993755,-0.6065892,456035
-0.44348818,-0.94134337,-0.602924,461040
-0.42332962,-0.8943067,-0.60048056,466014
-0.4166101,-0.84421575,-0.5925393,471038
-0.41783184,-0.7959574,-0.5833763,476024
-0.42821655,-0.7470882,-0.5681047,481029
-0.44348818,-0.6957755,-0.5522222,486034
-0.46609017,-0.6401868,-0.5326745,491058
-0.49541172,-0.58032197,-0.5119051,496013
-0.5308419,-0.5198463,-0.49541172,501018
-0.57604593,-0.4569272,-0.47952923,506023
-0.6230826,-0.39584067,-0.45875978,511047
-0.68477994,-0.33353242,-0.41722095,516032
-0.7153232,-0.30848694,-0.38056904,521037
-0.7324274,-0.29138273,-0.3408628,526012
-0.7305948,-0.2846632,-0.29993483,531036
-0.7128797,-0.27488935,-0.258396,536021
-0.68233645,-0.25900686,-0.226631,541026
-0.64812803,-0.2284636,-0.19975294,546031
-0.6102544,-0.19853121,-0.17715092,551055
-0.5681047,-0.17654006,-0.15454891,556041
-0.52534413,-0.16676621,-0.13194689,561015
-0.45937067,-0.14844026,-0.09712757,566020
-0.41172317,-0.13133603,-0.07574729,571044
-0.35918877,-0.112399206,-0.048258353,576030
-0.30787608,-0.08552113,-0.023823744,581035
-0.25473082,-0.05681047,-0.0036651916,586040
-0.21013765,-0.025045475,0.014660766,591033
-0.16737708,-0.01160644,0.021380283,596019
-0.12889257,-0.015882496,0.03481932,601024
-0.08674286,-0.031154128,0.042760566,606029
-0.043982297,-0.044593163,0.055588737,611053
0.022602014,-0.036651913,0.0720821,616039
0.06352998,-0.014049901,0.08246681,621013
0.096516706,0.007330383,0.08735373,626018
0.12522738,0.014660766,0.08979719,631042
0.14782938,0.0067195175,0.09285152,636027
0.16065755,-0.014660766,0.09468412,641032
0.17165314,-0.040317107,0.0983493,646037
0.25595254,-0.042760566,0.10445796,651031
0.44043383,-0.04153884,0.09468412,656016
0.49113566,-0.1704314,0.086132,661021
0.42760566,-0.4288274,0.105068825,666026
0.33475417,-0.4831944,0.11728613,671052
0.22968534,-0.45753807,0.13255776,676036
0.12583824,-0.41172317,0.13133603,681041
0.025045475,-0.37323865,0.1160644,686015
-0.070249505,-0.3323107,0.092240654,691042
-0.16493362,-0.26816985,0.06841691,696025
-0.24984388,-0.17715092,0.04886922,701030
-0.3268129,-0.07880162,0.029932396,706035
-0.39095375,0.009773844,0.018325957,711061
-0.4447099,0.077579886,0.01282817,716014
-0.48441613,0.13683382,0.014660766,721019
-0.4813618,0.15393804,0.012217305,726024
-0.45753807,0.14110987,0.010995574,731048
-0.42332962,0.103847094,0.007330383,736034
-0.37995818,0.05497787,0.0030543262,741038
-0.32803464,-0.004276057,0.0036651916,746013
