x,y,z,timestamp
0.820392,0.43799037,0.08674286,946
0.93279123,0.38728857,0.12095132,5951
1.0500773,0.35796702,0.16737708,10956
1.1661417,0.3475823,0.2180789,15980
1.2767084,0.3549127,0.27183503,20935
1.3756685,0.37568212,0.3182608,25940
1.5015068,0.44898596,0.3811799,30945
1.564426,0.51007247,0.42455134,35969
1.6102408,0.59437186,0.46120325,40955
1.6389514,0.6731735,0.49418998,45959
1.6554449,0.75441855,0.5216789,50934
1.6542231,0.8362745,0.5412266,55958
1.6401732,0.9114109,0.5552765,60943
1.6010778,0.9639453,0.5589417,65949
1.541213,0.99082345,0.5522222,70953
1.4721853,0.99082345,0.535118,75978
1.3671165,0.95478237,0.49480084,80963
1.3078625,0.9560041,0.46853364,85938
1.2577715,0.9993755,0.44409904,90942
1.2040154,1.0775663,0.41783184,95967
1.142318,1.1991285,0.3817908,100952
1.0622946,1.3646729,0.321926,105957
0.99265605,1.4611896,0.2779437,110962
0.9450085,1.4996742,0.25473082,115955
0.9095783,1.5503759,0.25534168,120941
0.88208944,1.6279559,0.26328292,125946
0.8503244,1.7519615,0.2883284,130951
0.8356637,1.8246545,0.3109304,135975
0.8258898,1.8790215,0.33169982,140961
0.84238315,1.8820758,0.3549127,145935
0.8509353,1.9657644,0.37873647,150940
0.8509353,2.0561724,0.41355577,155964
0.8582657,2.05434,0.462425,160950
0.8552113,2.0635028,0.5131268,165955
0.8374963,2.116648,0.5534439,170959
0.8045095,2.162463,0.58032197,175955
0.7593055,2.1514673,0.59559363,180939
0.68477994,2.0842721,0.57726765,185944
0.6310238,2.039679,0.5326745,190948
0.5705481,1.9950858,0.46792278,195975
0.50518554,1.9468275,0.38728857,200958
0.43676865,1.8606955,0.3023783,205963
0.36835176,1.7458528,0.21746802,210938
0.30115658,1.6206255,0.1386664,215964
0.23884831,1.4764613,0.06536258,220947
0.18509217,1.3219124,-0.0018325958,225983
0.13927728,1.1734722,-0.07086037,230957
-0.009773844,0.9462303,-0.12950343,235983
-0.1386664,0.6230826,-0.13316862,240936
-0.20708331,0.26328292,-0.13622294,245941
-0.2144137,-0.057421334,-0.13683382,250946
-0.1826487,-0.28710666,-0.13988814,255972
-0.12950343,-0.39400807,-0.12156218,260956
-0.069027774,-0.43371433,-0.076358154,265961
-0.016493361,-0.47036624,-0.016493361,270935
0.018936822,-0.51923543,0.044593163,275961
0.049480084,-0.5699373,0.09407325,280945
0.096516706,-0.6310238,0.13133603,285950
0.124005646,-0.65179324,0.12095132,290955
0.13744467,-0.6603453,0.09101892,295981
0.13316862,-0.6737844,0.04642576,300934
0.09407325,-0.6914995,6.1086525E-4,305939
0.02565634,-0.72021013,-0.048258353,310943
-0.08002335,-0.75686204,-0.093462385,315970
-0.21380283,-0.8051204,-0.14110987,320953
-0.37507126,-0.8698721,-0.18509217,325958
-0.5589417,-0.9437868,-0.23335053,330963
-0.86132,-1.0567969,-0.3115413,335957
-1.0677924,-1.1337659,-0.36896262,340942
-1.2681563,-1.2095132,-0.42210788,345947
-1.4636332,-1.3084733,-0.4605924,350952
-1.6352862,-1.4899004,-0.48624873,355979
-1.7715092,-1.7470746,-0.52595496,360962
-1.8545868,-2.02624,-0.5644395,365936
-1.8625281,-2.270586,-0.59864795,370941
-1.7977765,-2.4623978,-0.6188065,375965
-1.6701056,-2.5906794,-0.6261369,380951
-1.5112807,-2.6621506,-0.6224717,385956
-1.2596041,-2.6890287,-0.6114761,390961
-1.106277,-2.6743681,-0.61453044,395955
-0.9560041,-2.5955665,-0.6267477,400940
-0.7965683,-2.438574,-0.65484756,405945
-0.63041294,-2.2339342,-0.70616025,410950
-0.48197266,-2.0182989,-0.77946407,415975
-0.35796702,-1.8246545,-0.8680395,420959
-0.26633725,-1.6615535,-0.96577793,425934
-0.21074851,-1.527774,-1.0580186,430939
-0.18875736,-1.4147639,-1.1404854,435963
-0.20097467,-1.2760975,-1.2144,440948
-0.23823744,-1.2034045,-1.2241739,445953
-0.29260445,-1.1410962,-1.2125676,450958
-0.36835176,-1.0665708,-1.1795808,455982
-0.45998153,-0.97066486,-1.1282681,460937
-0.56077427,-0.870483,-1.0635164,465942
-0.6658431,-0.77457714,-0.98654735,470947
-0.77457714,-0.68966687,-0.89736104,475972
-0.883922,-0.6200282,-0.8045095,480957
-0.98837996,-0.54244834,-0.70554936,485962
-1.1435398,-0.376293,-0.5571091,490936
-1.2363913,-0.23640485,-0.46609017,495960
-1.3078625,-0.099571034,-0.38056904,500946
-1.3469579,0.0061086523,-0.3005457,505951
-1.3585643,0.07880162,-0.23335053,510956
-1.3567317,0.115453534,-0.18142697,515980
-1.3518448,0.13072516,-0.1459968,520935
-1.351234,0.13988814,-0.12156218,525940
-1.3445144,0.14294247,-0.10567969,530945
-1.3133603,0.118507855,-0.096516706,535969
-1.1972959,0.054367006,-0.0720821,540955
-1.0763446,0.03848451,-0.04520403,545960
-0.9260717,0.056199603,-0.01038471,550934
-0.75441855,0.086132,0.03604105,555958
-0.56382865,0.10567969,0.08735373,560943
-0.23457226,0.13561209,0.1386664,565948
0.21135938,0.1459968,0.15210545,570953
0.45448375,0.009773844,0.14477506,575978
0.61636305,-0.2302962,0.15149458,580963
0.7263188,-0.398895,0.1600467,585938
0.7507534,-0.47952923,0.14905111,590942
0.7257079,-0.49480084,0.10751228,595966
0.68661255,-0.49602258,0.07391469,600952
0.63346726,-0.45937067,0.040317107,605957
0.55771995,-0.3726278,0.016493361,610962
0.45020768,-0.24678956,0.007941248,615955
0.3145956,-0.11484267,0.02076942,620941
0.1685988,0.02321288,0.050701816,625946
0.025045475,0.16615535,0.09101892,630951
-0.09896017,0.2932153,0.12767084,635975
-0.1881465,0.38606682,0.14905111,640961
-0.27183503,0.42760566,0.15454891,645935
-0.31031954,0.38789943,0.15088372,650940
-0.34330627,0.29993483,0.1423316,655964
-0.3640757,0.18325958,0.13744467,660950
-0.37568212,0.045814894,0.1337795,665955
