x,y,z,timestamp
0.44898596,0.29810223,0.25167647,2574
0.5534439,0.2968805,0.28344148,7560
0.65668017,0.28527406,0.3200934,12565
0.75441855,0.25961772,0.35979962,17570
0.84604836,0.21991149,0.39767328,22594
0.9285152,0.17165314,0.43371433,27549
1.0097603,0.119729586,0.46792278,32554
1.0885619,0.084910266,0.4972443,37559
1.2070698,0.06719518,0.5290093,42583
1.2815952,0.089186326,0.5412266,47568
1.3500122,0.12583824,0.5412266,52573
1.4110987,0.15577064,0.5357288,57548
1.4581354,0.18570304,0.5180137,62572
1.4844025,0.2125811,0.49174652,67557
1.4764613,0.23457226,0.45081854,72562
1.4501941,0.25045475,0.40561453,77567
1.4043792,0.2828306,0.36041048,82592
1.3518448,0.33658674,0.31703907,87546
1.2669345,0.48747048,0.2565634,92551
1.2144,0.62125,0.22418754,97556
1.1636983,0.766025,0.2003638,102581
1.1154399,0.90408057,0.1881465,107566
1.069625,1.0207558,0.17898351,112571
1.029308,1.0977248,0.1826487,117576
0.9957104,1.1459832,0.19364429,122569
0.97005403,1.1777482,0.2003638,127555
0.956615,1.1917981,0.20769419,132560
0.9633345,1.178359,0.21135938,137565
0.9999864,1.1392636,0.21930063,142589
1.0299188,1.1154399,0.22724187,147574
1.0629056,1.0684034,0.23823744,152549
1.0922271,1.0177015,0.24923302,157554
1.1184943,0.97249746,0.26450464,162578
1.1392636,0.9419542,0.27488935,167563
1.1582005,0.9083566,0.28038713,172568
1.1704178,0.89675015,0.27305678,177573
1.1704178,0.9071349,0.25717425,182567
1.1551461,0.9193522,0.23457226,187552
1.0946705,0.9615019,0.20341812,192557
1.0317514,1.006095,0.19364429,197562
0.95905846,1.0274754,0.19181168,202589
0.88331115,1.0403035,0.19730948,207572
0.81000733,1.0616838,0.20280726,212546
0.74097955,1.0793989,0.20280726,217551
0.675617,1.1007792,0.19364429,222578
0.61758476,1.1154399,0.17654006,227561
0.56321776,1.1203269,0.15882497,232566
0.50640726,1.110553,0.1337795,237571
0.408058,1.1856894,0.09285152,242597
0.30726522,1.187522,0.073303826,247550
0.2003638,0.9804387,0.073303826,252555
0.10567969,0.68233645,0.07269296,257560
0.028099801,0.42943826,0.06047566,262586
