x,y,z,timestamp
-0.055588737,0.04642576,0.010995574,710
-0.014660766,0.05009095,0.014660766,5696
0.026267206,0.05681047,0.019547688,10670
0.07086037,0.06291912,0.018325957,15675
0.111177474,0.06780604,0.01160644,20699
0.14721853,0.069027774,0.004886922,25685
0.17715092,0.06780604,-0.0012217305,30690
0.204029,0.061086524,-0.005497787,35695
0.22357668,0.051923547,-0.010995574,40688
0.23762658,0.040317107,-0.015882496,45674
0.24984388,0.02076942,-0.019547688,50679
0.2510656,0.012217305,-0.02443461,55684
0.2443461,0.014049901,-0.028710667,60708
0.23335053,0.016493361,-0.028710667,65694
0.21563543,0.023823744,-0.02565634,70699
0.19242255,0.029321533,-0.021380283,75673
0.16249016,0.045814894,-0.016493361,80697
0.13072516,0.07086037,-0.013439035,85683
0.0983493,0.10567969,-0.014049901,90687
0.069027774,0.14049901,-0.014049901,95692
0.035430185,0.19730948,-0.019547688,100716
0.019547688,0.23335053,-0.02443461,105672
0.009773844,0.25900686,-0.03176499,110676
-0.0012217305,0.2773328,-0.042760566,115681
-0.009162978,0.28710666,-0.05131268,120706
-0.01038471,0.2938262,-0.059253927,125691
-0.010995574,0.3023783,-0.06414085,130696
-0.0067195175,0.30482176,-0.06780604,135670
-0.0012217305,0.30298916,-0.070249505,140695
0.009773844,0.2938262,-0.07086037,145680
0.021380283,0.2742785,-0.07086037,150685
0.040317107,0.23457226,-0.06780604,155690
0.054367006,0.21502456,-0.06169739,160714
0.06352998,0.1966986,-0.05681047,165669
0.06719518,0.17654006,-0.049480084,170674
0.059864793,0.16493362,-0.039095376,175679
0.04520403,0.1563815,-0.029932396,180703
0.025045475,0.15882497,-0.018936822,185689
0.004886922,0.16920967,-0.007330383,190694
-0.012217305,0.17531833,0.01160644,195698
-0.018325957,0.17165314,0.031154128,200692
-0.0018325958,0.16920967,0.06169739,205678
0.023823744,0.16982053,0.07819075,210683
0.047036625,0.17287487,0.092240654,215687
0.100792766,0.17104226,0.10873401,220712
0.16676621,0.14782938,0.10934488,225697
0.19975294,0.059253927,0.096516706,230672
0.19547687,-0.08002335,0.084910266,235676
0.17287487,-0.20280726,0.086132,240700
0.13744467,-0.26511553,0.09468412,245686
0.103847094,-0.27916542,0.11301007,250691
0.042760566,-0.2657264,0.13316862,255696
-0.009162978,-0.25289822,0.13561209,260720
-0.06719518,-0.23823744,0.12095132,265675
-0.1301143,-0.21380283,0.100792766,270680
-0.1966986,-0.16920967,0.07696902,275685
-0.26145032,-0.115453534,0.04520403,280709
-0.31948254,-0.062308256,0.014660766,285695
-0.36957347,-0.010995574,-0.012217305,290669
-0.41050145,0.02687807,-0.0421497,295674
-0.4428773,0.044593163,-0.06719518,300698
-0.47952923,0.028099801,-0.09712757,305684
-0.49357912,-0.0061086523,-0.10140363,310689
-0.5015204,-0.048258353,-0.09896017,315693
-0.50579643,-0.08307768,-0.09162979,320718
-0.50640726,-0.11301007,-0.084910266,325673
-0.5045747,-0.13500121,-0.077579886,330678
-0.49968776,-0.15088372,-0.069027774,335683
-0.4905248,-0.17898351,-0.059253927,340707
-0.48808134,-0.21502456,-0.05131268,345692
-0.462425,-0.22968534,-0.04153884,350697
-0.39584067,-0.21685717,-0.035430185,355672
-0.34025195,-0.172264,-0.025045475,360696
-0.2864958,-0.15699236,0.0030543262,365681
-0.22540927,-0.12705997,-0.0030543262,370686
-0.16737708,-0.1001819,-0.032375857,375691
-0.119729586,-0.081855945,-0.06352998,380715
-0.086132,-0.06963864,-0.08735373,385670
-0.06169739,-0.06169739,-0.106901415,390675
-0.05131268,-0.057421334,-0.12034045,395680
-0.04642576,-0.065973446,-0.12583824,400704
-0.05009095,-0.073303826,-0.1337795,405690
-0.06414085,-0.09285152,-0.15210545,410695
-0.077579886,-0.10751228,-0.17104226,415669
-0.09101892,-0.12217305,-0.19181168,420693
-0.1020145,-0.13500121,-0.21197024,425679
-0.10995574,-0.14110987,-0.22785273,430684
-0.11728613,-0.14110987,-0.23701571,435689
-0.12461651,-0.1386664,-0.24312437,440713
-0.13439035,-0.13133603,-0.24007004,445699
-0.14049901,-0.12522738,-0.2284636,450673
-0.14782938,-0.11301007,-0.21563543,455678
-0.14477506,-0.105068825,-0.19242255,460702
-0.1441642,-0.09040806,-0.18387043,465687
-0.1441642,-0.07269296,-0.17287487,470692
-0.1459968,-0.05375614,-0.16615535,475697
-0.14905111,-0.03359759,-0.1600467,480691
-0.15332718,-0.012217305,-0.1563815,485677
-0.15821409,0.0030543262,-0.1459968,490681
-0.15943582,0.013439035,-0.13744467,495686
-0.15882497,0.016493361,-0.124005646,500711
-0.15210545,0.017715093,-0.10751228,505696
-0.13988814,0.028099801,-0.09040806,510670
-0.14172074,0.045814894,-0.08307768,515675
-0.14782938,0.06352998,-0.08124508,520699
-0.16065755,0.07880162,-0.080634214,525685
-0.1685988,0.08857546,-0.08002335,530690
-0.17470746,0.09590584,-0.08124508,535695
-0.17654006,0.103847094,-0.07513642,540688
-0.1704314,0.108123146,-0.06841691,545674
-0.16249016,0.11911872,-0.061086524,550679
-0.15393804,0.12950343,-0.058643065,555684
-0.14110987,0.13622294,-0.05375614,560708
-0.12889257,0.1301143,-0.049480084,565694
-0.119729586,0.12522738,-0.04520403,570698
-0.103847094,0.12461651,-0.031154128,575673
-0.080634214,0.122783914,-0.012217305,580697
-0.037873644,0.12095132,0.01282817,585683
0.05375614,0.118507855,0.035430185,590687
0.13561209,0.08979719,0.044593163,595692
0.18203785,0.036651913,0.05375614,600716
0.20219639,-0.014660766,0.06414085,605672
0.20769419,-0.04153884,0.07147124,610676
0.19914207,-0.06719518,0.086132,615681
0.18509217,-0.09101892,0.0983493,620706
0.16065755,-0.111177474,0.099571034,625691
0.12461651,-0.111177474,0.092240654,630696
0.081855945,-0.08979719,0.07696902,635670
0.03481932,-0.0580322,0.05681047,640695
-0.014660766,-0.026267206,0.040927973,645680
-0.054367006,-0.0012217305,0.029932396,650685
-0.08368854,0.017104227,0.022602014,655690
-0.103847094,0.025045475,0.019547688,660714
-0.112399206,0.01282817,0.018325957,665669
-0.10629055,-0.0067195175,0.025045475,670674
-0.09162979,-0.032375857,0.036651913,675679
