x,y,z,timestamp
0.32559118,0.8155051,0.4098906,4539
0.4251622,0.6976081,0.44776422,9544
0.4813618,0.5907067,0.4728097,14549
0.51923543,0.4905248,0.5015204,19543
0.5742133,0.4184427,0.5522222,24528
0.65240407,0.3885103,0.63041294,29533
0.7318166,0.47403142,0.689056,34538
0.80756384,0.6249151,0.74281216,39562
0.88208944,0.7654142,0.8014552,44548
0.95539325,0.87964594,0.86193085,49553
1.0134255,0.9804387,0.9236283,54527
1.0476339,1.1386528,0.9798279,59551
1.0256428,1.2559389,0.9841039,64537
0.9786061,1.3548992,0.96577793,69542
0.92179567,1.4776831,0.9260717,74547
0.8570439,1.591304,0.8753699,79572
0.7849618,1.704925,0.8191703,84526
0.711658,1.8228219,0.7495316,89531
0.634689,1.9517145,0.6591236,94536
0.56138515,2.0977113,0.5326745,99560
0.49357912,2.2724187,0.38789943,104545
0.42149702,2.5485299,0.30176744,109550
0.3817908,2.7550023,0.32559118,114525
0.35308012,2.9119947,0.37751472,119551
0.33475417,2.9669726,0.4129449,124534
0.33964106,2.9107728,0.41172317,129540
0.37873647,2.7739391,0.37690386,134544
0.46303585,2.6022859,0.3109304,139568
0.5876524,2.4361305,0.24801129,144524
0.73731434,2.2510383,0.20158553,149528
0.893085,2.0182989,0.18203785,154533
1.0433578,1.7397442,0.1826487,159557
1.241889,1.2895365,0.18997909,164543
1.3494014,1.0616838,0.18570304,169548
1.4202617,0.95233893,0.1863139,174553
1.4495832,0.8741482,0.19364429,179546
1.4459181,0.77640975,0.20769419,184532
1.4147639,0.6750061,0.20708331,189537
1.3665055,0.66950834,0.20525073,194542
1.2986995,0.7134906,0.19975294,199570
1.2247849,0.7501425,0.20219639,204552
1.1527027,0.7996226,0.204029,209526
1.0818423,0.88697636,0.204029,214531
1.0543534,0.9669997,0.20341812,219557
1.0354166,1.0641272,0.204029,224541
1.0115929,1.1716396,0.21135938,229545
0.98899084,1.2345587,0.21624629,234550
0.97005403,1.2608259,0.21013765,239546
0.96577793,1.241889,0.19914207,244529
0.9822713,1.2003502,0.18570304,249535
1.0140363,1.1661417,0.17898351,254539
1.0543534,1.0928379,0.17165314,259596
1.1221595,0.93034774,0.17287487,264549
1.1685852,0.8350528,0.18936823,269524
1.2137892,0.73792523,0.21135938,274528
1.2492194,0.6640105,0.23457226,279557
1.2718215,0.60903263,0.26206118,284538
1.2760975,0.55833083,0.28405234,289543
1.2730432,0.48808134,0.29749137,294548
1.2632693,0.4392121,0.30970868,299576
1.2528846,0.4269948,0.32559118,304527
1.2253957,0.4447099,0.33841935,309532
1.1404854,0.46609017,0.35124752,314537
1.0622946,0.48563787,0.3622431,319563
0.9859365,0.5137377,0.37934732,324547
0.9016371,0.56016344,0.39645153,329552
0.8179486,0.6035349,0.40317106,334526
0.729984,0.6414085,0.40561453,339552
0.6414085,0.66828656,0.40011674,344536
0.54183745,0.6805039,0.39767328,349541
0.43493605,0.68233645,0.4007276,354545
0.32498032,0.6640105,0.40317106,359572
0.22235495,0.6230826,0.39645153,364525
0.09101892,0.54305923,0.3866777,369530
0.021380283,0.46731192,0.3830125,374534
-0.03848451,0.3585779,0.37995818,379561
-0.08002335,0.22785273,0.36651915,384544
-0.10567969,0.10567969,0.3323107,389549
-0.12461651,0.0012217305,0.27672195,394524
-0.12950343,-0.08552113,0.21930063,399548
-0.13561209,-0.15332718,0.16310102,404533
-0.14049901,-0.20769419,0.12461651,409538
-0.15943582,-0.25228736,0.09590584,414543
-0.21991149,-0.32436943,0.076358154,419567
-0.28344148,-0.398895,0.08124508,424553
-0.35002577,-0.49663344,0.086132,429527
-0.408058,-0.602924,0.089186326,434532
-0.44409904,-0.698219,0.08124508,439558
-0.45448375,-0.7733554,0.062308256,444542
-0.44715336,-0.8338311,0.03359759,449547
-0.4343252,-0.8943067,0.0,454552
-0.42210788,-0.956615,-0.029932396,459547
-0.4202753,-1.0115929,-0.051923547,464531
-0.43554693,-1.0763446,-0.07086037,469536
-0.46120325,-1.0983357,-0.07819075,474541
-0.5015204,-1.0995574,-0.086132,479567
-0.5546656,-1.0812315,-0.093462385,484550
-0.61758476,-1.0635164,-0.111177474,489525
-0.68844515,-1.0445796,-0.14172074,494529
-0.76174897,-1.0458013,-0.16982053,499554
-0.83016586,-1.1227703,-0.18570304,504539
-0.89858276,-1.2547172,-0.20525073,509544
-0.979217,-1.4092661,-0.22907446,514549
-1.1392636,-1.645671,-0.2510656,519543
-1.2767084,-1.7831156,-0.26206118,524528
-1.4294246,-1.8930714,-0.27000242,529533
-1.5876387,-1.9798143,-0.29077184,534538
-1.7421877,-2.0451767,-0.32498032,539562
-1.8875736,-2.098933,-0.38240165,544548
-2.0201313,-2.1569653,-0.45875978,549553
-2.1337523,-2.2278256,-0.5564982,554527
-2.2321017,-2.2828035,-0.6603453,559553
-2.3084598,-2.402533,-0.75502944,564537
-2.3542747,-2.6352727,-0.83016586,569542
-2.3231206,-2.9321532,-0.9272934,574547
-2.2510383,-3.0494392,-0.9932669,579574
-2.1429152,-3.1215215,-1.0781772,584526
-2.0182989,-3.1465669,-1.1850786,589531
-1.8820758,-3.1398473,-1.3090842,594536
-1.7489072,-3.1520646,-1.4129313,599561
-1.6792686,-3.2284229,-1.4196508,604545
-1.6120734,-3.1490104,-1.4141531,609550
-1.5485435,-2.9260445,-1.4031575,614525
-1.5033394,-2.5711317,-1.3878858,619549
-1.5149459,-1.9199494,-1.3665055,624534
-1.5131133,-1.6255124,-1.3494014,629539
-1.5027285,-1.4630222,-1.3322971,634544
-1.4886786,-1.4013249,-1.3139712,639569
-1.4795157,-1.3799446,-1.2974777,644524
-1.4764613,-1.3720033,-1.278541,649528
-1.4764613,-1.3573426,-1.2632693,654533
-1.4776831,-1.3267993,-1.2455542,659557
-1.4819591,-1.2993103,-1.2235631,664543
-1.4789047,-1.2779301,-1.1844677,669548
-1.4520267,-1.2492194,-1.0842859,674553
-1.4092661,-1.2589933,-0.98471475,679546
-1.346347,-1.2779301,-0.8686504,684532
-1.2644911,-1.2730432,-0.7483099,689537
-1.1612549,-1.2235631,-0.634689,694542
-1.0500773,-1.1227703,-0.5522222,699566
-0.9297369,-1.0115929,-0.47647488,704552
-0.7984009,-0.89552844,-0.4111123,709526
-0.6560693,-0.77274454,-0.34880406,714531
-0.50579643,-0.6420194,-0.28588495,719555
-0.2761111,-0.41538838,-0.18081611,724541
-0.12461651,-0.26450464,-0.10445796,729545
0.014049901,-0.13683382,-0.030543262,734550
0.1386664,-0.044593163,0.029321533,739544
0.24129178,0.018936822,0.070249505,744529
0.32620203,0.0580322,0.0983493,749534
0.39645153,0.076358154,0.115453534,754539
0.45753807,0.08124508,0.12705997,759564
0.5112942,0.09162979,0.1337795,764549
0.5564982,0.11056661,0.13744467,769524
0.6010914,0.15210545,0.12644911,774528
0.6133087,0.1881465,0.115453534,779552
0.6078109,0.22296582,0.106901415,784538
0.5864306,0.24617869,0.099571034,789543
0.5491679,0.24984388,0.0983493,794548
0.64568454,0.26267207,0.108123146,799572
0.9272934,0.2657264,0.07147124,804527
0.9981538,0.14538592,0.037873644,809532
1.0488557,-0.06291912,0.03481932,814537
1.0256428,-0.26145032,0.04337143,819561
0.93462384,-0.4184427,0.053145275,824547
0.6933321,-0.59131753,0.07941248,829552
0.5045747,-0.6407976,0.09101892,834526
0.32986724,-0.63224554,0.09285152,839552
0.17348573,-0.5491679,0.07819075,844536
0.037873644,-0.4007276,0.043982297,849541
-0.07880162,-0.20952678,0.0067195175,854545
-0.18936823,-0.013439035,-0.02687807,859570
-0.29260445,0.15088372,-0.04886922,864525
-0.3848451,0.25167647,-0.05681047,869530
-0.46181414,0.29871312,-0.073303826,874534
-0.5161811,0.27672195,-0.11362094,879559
-0.5290093,0.21502456,-0.12522738,884544
-0.52473325,0.1142318,-0.13133603,889549
-0.50518554,-0.013439035,-0.13561209,894523
-0.47158796,-0.17531833,-0.14294247,899548
-0.43004912,-0.34330627,-0.1563815,904533
