x,y,z,timestamp
-0.004276057,0.19242255,-0.039095376,296
0.1423316,0.1881465,-0.005497787,5301
0.29565877,0.20280726,0.03481932,10325
0.4550946,0.21991149,0.07513642,15310
0.6096435,0.22418754,0.10567969,20315
0.75441855,0.20463985,0.1301143,25290
0.88453287,0.15882497,0.14477506,30314
1.0054842,0.10873401,0.15515977,35300
1.1099422,0.059864793,0.16432275,40304
1.1954633,0.023823744,0.1685988,45309
1.2760975,-0.009162978,0.16676621,50333
1.2938126,-0.021380283,0.15760323,55319
1.2846496,-0.028710667,0.14782938,60293
1.2473868,-0.027488936,0.13683382,65298
1.1881329,-0.004276057,0.1282817,70325
1.1142182,0.04642576,0.12095132,75308
1.0299188,0.10567969,0.118507855,80313
0.9450085,0.1777618,0.11789699,85318
0.86437434,0.26267207,0.11301007,90314
0.79290307,0.3567453,0.105068825,95297
0.6976081,0.50946164,0.099571034,100302
0.64934975,0.5510005,0.11728613,105307
0.6102544,0.54183745,0.14355333,110331
0.59498274,0.5375614,0.16615535,115317
0.6151413,0.5448918,0.17959438,120291
0.66950834,0.57726765,0.17898351,125296
0.7452556,0.61391956,0.16126843,130320
0.8381071,0.63591075,0.13622294,135306
0.93828905,0.63285637,0.106901415,140311
1.0360274,0.62858033,0.08307768,145316
1.1227703,0.63713247,0.059864793,150309
1.2284501,0.6450737,0.04886922,155295
1.2822062,0.64751714,0.057421334,160300
1.3133603,0.6603453,0.07452556,165305
1.3402383,0.64568454,0.10323623,170329
1.3652838,0.6261369,0.13316862,175314
1.3848315,0.63407815,0.15943582,180319
1.3836098,0.66828656,0.18020524,185294
1.3567317,0.7067711,0.1881465,190320
1.2999213,0.729984,0.19242255,195303
1.2223413,0.72204274,0.19242255,200308
1.0861185,0.6658431,0.18325958,205313
0.9944886,0.62858033,0.1704314,210339
0.9120218,0.6053675,0.14721853,215292
0.8350528,0.60048056,0.11484267,220297
0.7593055,0.61208695,0.07696902,225302
0.6835582,0.63346726,0.04337143,230328
0.60231316,0.66706485,0.014049901,235312
0.49541172,0.7489208,-0.007941248,240317
0.3567453,0.7305948,-0.01282817,245291
0.21380283,0.58093286,-0.015882496,250317
0.04520403,0.3817908,-0.016493361,255301
-0.037873644,0.344528,-0.02687807,260306
-0.105068825,0.30726522,-0.043982297,265311
-0.15454891,0.24495697,-0.06291912,270337
-0.1881465,0.17715092,-0.073303826,275290
-0.20525073,0.1160644,-0.077579886,280295
-0.20891592,0.061086524,-0.064751714,285300
-0.20158553,0.0,-0.05131268,290326
-0.18753563,-0.064751714,-0.03359759,295309
-0.172264,-0.13439035,-0.014049901,300314
-0.14782938,-0.24556783,0.009773844,305319
-0.14477506,-0.30726522,0.0036651916,310315
-0.14966199,-0.3408628,-0.018936822,315298
-0.17898351,-0.3494149,-0.051923547,320303
-0.23273966,-0.36102137,-0.07819075,325308
-0.31031954,-0.38728857,-0.09773844,330334
-0.41599923,-0.42455134,-0.11301007,335349
-0.54305923,-0.462425,-0.12034045,340292
-0.68600166,-0.49418998,-0.12705997,345297
-0.838718,-0.51007247,-0.12583824,350321
-0.9944886,-0.50946164,-0.12583824,355307
-1.2223413,-0.49541172,-0.12644911,360312
-1.3548992,-0.48930305,-0.1282817,365317
-1.4697418,-0.48747048,-0.13316862,370312
-1.5613716,-0.48808134,-0.14049901,375296
-1.6236799,-0.4978552,-0.14844026,380301
-1.6517797,-0.5235115,-0.1563815,385306
-1.6401732,-0.56138515,-0.16982053,390332
-1.5894713,-0.5919284,-0.18509217,395315
-1.4966198,-0.6053675,-0.19853121,400290
-1.3726143,-0.60231316,-0.2125811,405295
-1.138042,-0.57604593,-0.23579398,410319
-0.97494096,-0.5546656,-0.25595254,415304
-0.81489426,-0.5448918,-0.27916542,420309
-0.66706485,-0.54733527,-0.30298916,425314
-0.53878313,-0.5546656,-0.3213151,430338
-0.43249258,-0.5626069,-0.3378085,435293
-0.3475823,-0.57726765,-0.34697145,440298
-0.28221974,-0.5900958,-0.3555236,445303
-0.23945917,-0.60048056,-0.36346483,450328
-0.21074851,-0.6096435,-0.36835176,455313
-0.19425514,-0.6236934,-0.36957347,460318
-0.19853121,-0.62980205,-0.36468655,465292
-0.21380283,-0.63041294,-0.36285394,470316
-0.23701571,-0.6249151,-0.36102137,475302
-0.2773328,-0.6084218,-0.36713,480307
-0.3286455,-0.5674938,-0.37690386,485312
-0.38545597,-0.5155703,-0.3817908,490338
-0.45265114,-0.45814893,-0.3866777,495291
-0.5235115,-0.38240165,-0.38423425,500296
-0.5919284,-0.3023783,-0.36774087,505301
-0.67256266,-0.18387043,-0.32436943,510325
-0.7098254,-0.11728613,-0.2864958,515310
-0.7348709,-0.07574729,-0.25167647,520316
-0.7507534,-0.043982297,-0.22113322,525290
-0.75991637,-0.021380283,-0.19792034,530314
-0.75686204,0.0036651916,-0.17959438,535300
-0.7360926,0.03359759,-0.16310102,540304
-0.698219,0.07269296,-0.14477506,545309
-0.6426302,0.12583824,-0.12767084,550333
-0.5687156,0.1740966,-0.10445796,555319
-0.43371433,0.22724187,-0.06536258,560293
-0.33475417,0.2406809,-0.03726278,565298
-0.23457226,0.2321288,-0.014049901,570323
-0.14110987,0.20769419,0.0036651916,575308
-0.044593163,0.16310102,0.018936822,580313
0.21930063,0.15393804,0.025045475,585318
0.47647488,0.062308256,0.0030543262,590312
0.5644395,-0.21135938,0.002443461,595297
0.5821546,-0.47708577,0.02076942,600302
0.54305923,-0.602924,0.047036625,605307
0.45448375,-0.59742624,0.07696902,610333
0.39400807,-0.57360244,0.08002335,615317
0.3213151,-0.5699373,0.07269296,620291
0.2284636,-0.56382865,0.065973446,625296
0.10995574,-0.52106804,0.056199603,630322
-0.016493361,-0.42760566,0.04642576,635306
-0.13683382,-0.29077184,0.030543262,640310
-0.24251351,-0.14905111,0.007941248,645315
-0.32986724,-0.027488936,-0.023823744,650311
-0.39095375,0.06841691,-0.053145275,655295
-0.42760566,0.13744467,-0.08246681,660300
-0.45142943,0.18875736,-0.10567969,665305
-0.4550946,0.18692477,-0.108123146,670329
-0.45570546,0.15760323,-0.10323623,675314
-0.44898596,0.10629055,-0.09407325,680319
