x,y,z,timestamp
0.31764993,0.41538838,0.2443461,837
0.3885103,0.4147775,0.25167647,5862
0.453262,0.41905355,0.26389378,10847
0.50885075,0.43982297,0.2779437,15852
0.5589417,0.4728097,0.28771752,20826
0.6084218,0.5131268,0.3023783,25851
0.6627888,0.5687156,0.31581733,30836
0.72387534,0.65240407,0.33964106,35841
0.8197812,0.8081747,0.38973203,40846
0.8772025,0.9071349,0.43249258,45870
0.9224065,0.9767735,0.47769663,50825
0.93951076,1.028697,0.5137377,55830
0.93767816,1.0916162,0.5479461,60835
0.90408057,1.183246,0.5815437,65859
0.8570439,1.2675453,0.6151413,70845
0.8032878,1.3359623,0.6536258,75850
0.7507534,1.4110987,0.6969972,80824
0.7122689,1.4947872,0.7318166,85848
0.698219,1.5864171,0.76052725,90834
0.71959925,1.7269161,0.7965683,95839
0.7495316,1.8332067,0.80878556,100844
0.784351,1.9449949,0.81000733,105868
0.8167268,2.0482311,0.8051204,110823
0.8417723,2.121535,0.788627,115828
0.8509353,2.180789,0.77946407,120833
0.86926126,2.1496348,0.7837401,125857
0.8912524,2.1142046,0.79290307,130873
0.91690874,2.112983,0.79717916,135847
0.95233893,2.1154263,0.79901177,140852
0.9987647,2.0952678,0.79290307,145846
1.0134255,2.0470095,0.78984874,150831
0.9999864,1.9804251,0.77274454,155836
0.9578367,1.8924606,0.74464476,160841
0.8881981,1.7977765,0.70249504,165867
0.79717916,1.7318029,0.6426302,170851
0.6963864,1.7159204,0.57604593,175825
0.5876524,1.6560557,0.5198463,180830
0.50762904,1.3206906,0.4569272,185857
0.43554693,0.75625116,0.36346483,190840
0.3109304,0.26083946,0.2846632,195845
0.24129178,0.04153884,0.26145032,200850
0.16737708,-0.118507855,0.2302962,205848
0.092240654,-0.19547687,0.21502456,210829
0.02687807,-0.19303341,0.22357668,215834
-0.025045475,-0.15943582,0.23884831,220839
-0.05681047,-0.15210545,0.24740042,225865
-0.06719518,-0.17959438,0.24007004,230848
-0.049480084,-0.23151793,0.20463985,235823
-0.015882496,-0.28955013,0.14844026,240828
0.03481932,-0.3933972,0.040317107,245854
0.05681047,-0.48747048,-0.037873644,250837
0.058643065,-0.5992588,-0.11301007,255842
0.0421497,-0.7189884,-0.18142697,260847
0.0067195175,-0.8374963,-0.2406809,265874
-0.05375614,-0.95111716,-0.29016098,270826
-0.1423316,-1.0647382,-0.33536503,275831
-0.25717425,-1.1612549,-0.37568212,280836
-0.39584067,-1.2437216,-0.41050145,285861
-0.5540548,-1.3182472,-0.44104472,290846
-0.8032878,-1.4337007,-0.48197266,295851
-0.97494096,-1.5100589,-0.50823987,300825
-1.142318,-1.5864171,-0.5369505,305852
-1.3023647,-1.6639969,-0.5674938,310835
-1.4501941,-1.7373008,-0.59986967,315840
-1.5784758,-1.8057177,-0.63224554,320845
-1.6798794,-1.8674151,-0.6743952,325871
-1.7458528,-1.9285016,-0.7189884,330824
-1.7739527,-1.9804251,-0.7672467,335829
-1.7623463,-2.0048597,-0.8179486,340834
-1.7183639,-2.007914,-0.870483,345859
-1.6187929,-2.0054705,-0.96577793,350844
-1.5473217,-2.0109684,-1.0317514,355849
-1.4789047,-2.0164661,-1.0885619,360823
-1.4288138,-2.0549507,-1.1081096,365848
-1.3762794,-2.0720549,-1.0897835,370833
-1.2932017,-2.0091357,-1.0622946,375837
-1.1814134,-1.8851302,-1.0512991,380842
-1.0512991,-1.7195857,-1.0531317,385867
-0.9138544,-1.5125023,-1.0580186,390852
-0.7861836,-1.2528846,-1.0616838,395826
-0.6407976,-0.84421575,-1.0488557,400831
-0.5687156,-0.6383542,-1.0048733,405856
-0.50762904,-0.51068336,-0.9285152,410841
-0.45020768,-0.45081854,-0.8191703,415846
-0.39584067,-0.4092797,-0.68539083,420851
-0.34269542,-0.3567453,-0.5412266,425845
-0.28405234,-0.27305678,-0.40133846,430830
-0.21930063,-0.16065755,-0.27122417,435835
-0.15515977,-0.055588737,-0.16310102,440840
-0.1001819,0.03604105,-0.07391469,445864
-0.045814894,0.1337795,0.018936822,450850
-0.032986723,0.17531833,0.059864793,455824
-0.019547688,0.19303341,0.09468412,460829
0.20708331,0.21319197,0.12217305,465853
0.398895,0.14477506,0.08979719,470839
0.4092797,-0.116675265,0.06169739,475844
0.3921755,-0.41050145,0.0580322,480848
0.3323107,-0.5687156,0.044593163,485842
0.28527406,-0.5864306,0.028099801,490828
0.25473082,-0.54367006,0.0061086523,495833
0.1966986,-0.5045747,-0.031154128,500837
0.1386664,-0.4886922,-0.056199603,505862
0.062308256,-0.44715336,-0.076358154,510847
-0.021380283,-0.36835176,-0.08552113,515852
-0.10262536,-0.25228736,-0.084910266,520826
-0.17287487,-0.10934488,-0.069027774,525851
-0.22724187,0.029932396,-0.05009095,530836
-0.2602286,0.15027285,-0.03176499,535841
-0.2724459,0.23335053,-0.015882496,540846
-0.2602286,0.28099802,-0.0012217305,545870
-0.22785273,0.28344148,0.013439035,550825
-0.1563815,0.20158553,0.051923547,555830
-0.09407325,0.092240654,0.081855945,560835
-0.022602014,-0.043982297,0.11911872,565859
0.05009095,-0.18325958,0.14782938,570845
